"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Walt Disney Co","20.98","EQUITY","DIS","Large Growth","2003-08-31","1985104","0","Consumer Cyclical","91.49","-0.26|-0.28%","92.61-90.95","7890850","94.5-68.8","United States","3.26","32.96","37.53","24.68","155581.47","USD","3","21.6","21.52","-","-","-"
"Comcast Corp Class A","15.86","EQUITY","CMCSA","Large Core","2006-08-31","2477150","0","Communication Services","55.35","-0.55|-0.98%","55.98-54.98","11362784","57.49-47.74","United States","-1.51","16.66","36.84","27.28","145057.92","USD","2","8.86","17.61","-","-","-"
"Time Warner Inc","9.14","EQUITY","TWX","Large Growth","2006-08-31","994022","-11400","Consumer Cyclical","82.12","-1.19|-1.43%","83.67-82.07","3846836","88.13-60.72","United States","8.95","32.78","37.72","24.69","69854.29","USD","3","26.5","17.4","-","-","-"
"Twenty-First Century Fox Inc Class A","5.04","EQUITY","FOXA","Large Growth","2004-11-30","1264607","0","Consumer Cyclical","36.9","-0.22|-0.58%","37.3-36.47","11823049","38.08-30.67","United States","5.14","14.3","35.23","27.94","80024.51","USD","3","6.24","20.48","-","-","-"
"Time Warner Cable Inc","5.01","EQUITY","TWC","Large Growth","2007-05-31","293969","0","Communication Services","145.12","-2.03|-1.38%","147.51-144.71","1692246","155.32-128.78","United States","-4.11","14.18","35.38","30.19","41274.77","USD","2","10.81","20.66","-","-","-"
"Directv","4.54","EQUITY","DTV","Large Core","2007-09-30","452413","-52700","Communication Services","83.47","-0.43|-0.51%","84.02-83.08","2103482","89.46-64.79","United States","-3.56","25.37","22.13","20.52","42137.66","USD","2","21.49","15.47","-","-","-"
"Live Nation Entertainment Inc","4.14","EQUITY","LYV","Mid Value","2012-03-31","1377800","0","Consumer Cyclical","25.12","-0.46|-1.8%","25.57-25.07","870565","27.42-18.27","United States","8.85","39.71","43.98","26.39","5132.86","USD","-","29.45","496.86","-","-","-"
"CBS Corp Class B","3.58","EQUITY","CBS","Large Core","2009-06-30","570400","24500","Consumer Cyclical","53.48","0.99|1.89%","54.12-51.88","8569347","68.1-48.83","United States","-9.44","-9.26","26.52","31.12","27204.21","USD","3","-16.8","20.32","-","-","-"
"Liberty Global PLC Class C","3.16","EQUITY","LBTYK","Large Growth","2008-07-31","613847","0","Communication Services","46.38","-0.73|-1.55%","47.29-46.31","3409369","50.23-36.98","United Kingdom","12.14","18.29","35.14","34.95","36771.61","USD","-","11.74","-","-","-","-"
"Charter Communications Inc Class A","2.78","EQUITY","CHTR","Large Growth","2014-05-31","151900","0","Communication Services","162.95","-1.21|-0.74%","164.15-161.63","767268","169.85-116.78","United States","3.38","25.49","45.82","-","17937.49","USD","-","20.04","-","-","-","-"
"Madison Square Garden Co Class A","2.19","EQUITY","MSG","Mid Core","2013-01-31","250200","0","Consumer Cyclical","72.52","-0.13|-0.18%","73.15-72.1","130422","77.58-48.16","United States","10.36","31.71","34.54","-","5633.59","USD","-","26.17","28.51","-","-","-"
"DISH Network Corp","2.11","EQUITY","DISH","Large Value","2011-05-31","286200","-9400","Communication Services","70.83","0.22|0.31%","71.34-69.83","1109885","79.28-52.75","United States","6.5","31.34","40.48","28.2","32545.23","USD","1","21.91","39.33","-","-","-"
"Facebook Inc Class A","2.04","EQUITY","FB","Large Growth","2014-02-28","235700","0","Technology","77.83","0.1|0.13%","78.88-77.02","28091617","81.16-50.66","United States","-0.24","57.41","-","-","216699.42","USD","2","42.23","73.55","-","-","-"
"Google Inc Class C","1.79","EQUITY","GOOG","Large Growth","2014-04-30","27700","0","Technology","518.66","-9.68|-1.83%","528.5-518.66","1989117","604.83-502.8","United States","-9.12","-","-","-","358407.72","USD","3","-","28.08","-","-","-"
"Starz Class A","1.59","EQUITY","STRZA","Mid Growth","2013-08-31","444300","0","Consumer Cyclical","28.53","-0.14|-0.49%","29-28.2","662195","34.53-26.38","United States","-8.11","4.52","49.3","60.72","2992.5","USD","-","-1.95","12.35","-","-","-"
"Lions Gate Entertainment Corp","1.46","EQUITY","LGF","Mid Growth","2008-01-31","379877","0","Consumer Cyclical","31.85","-0.99|-3.01%","32.84-31.81","904879","35.75-24.54","Canada","-0.75","16.86","56.53","41.73","4592.4","USD","-","4.26","26.08","-","-","-"
"Liberty Media Corporation Class C","1.42","EQUITY","LMCK","Mid Growth","2014-07-31","256186","0","Consumer Cyclical","34.24","-0.39|-1.13%","34.66-33.86","832969","37.84-30.38","United States","-6.53","-","-","-","11879.66","USD","-","-","6.33","-","-","-"
"Viacom Inc Class B","1.39","EQUITY","VIAB","Large Core","2006-02-28","165400","-278800","Consumer Cyclical","72.96","-0.01|-0.01%","73.92-72.14","3476164","89.76-65.86","United States","-8.28","-8.35","20.42","20.37","29951.77","USD","4","-14.98","13.44","-","-","-"
