"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Visa Inc Class A","15.05","EQUITY","V","Large Growth","2008-03-31","550412","-64800","Financial Services","256.78","-6.34|-2.41%","264.45-256.78","3834640","265.63-194.84","United States","22.63","28.76","40.09","26.97","162675.06","USD","2","18.92","30.53","-","-","-"
"MasterCard Inc Class A","9.17","EQUITY","MA","Large Growth","2006-08-31","966900","-240600","Financial Services","84.13","-3.56|-4.06%","87.32-84.11","6646804","89.87-68.68","United States","16.11","11.48","32.83","29.42","101093.87","USD","3","5.49","30.08","-","-","-"
"Cognizant Technology Solutions Corp Class A","6.86","EQUITY","CTSH","Large Growth","2003-02-28","1238932","-308600","Technology","50.48","-1.03|-2%","51.52-50.45","3571865","54.73-41.51","United States","14.37","10.18","14.09","18.74","31365.35","USD","3","2.02","22.51","-","-","-"
"International Business Machines Corp","6.81","EQUITY","IBM","Large Value","2010-05-31","365650","243900","Technology","155.38","-5.69|-3.53%","160.5-155.33","8611748","199.21-155.33","United States","-15.41","-5.64","-3.97","6.51","159404.61","USD","4","-11.86","10.35","-","-","-"
"Endurance International Group Holdings Inc","4.41","EQUITY","EIGI","-","2013-10-31","2340832","-488818","Technology","15.75","-0.16|-1.01%","16.21-15.69","443918","17.68-10.98","United States","8.16","24.78","-","-","2059.07","USD","-","12.2","-","-","-","-"
"Fidelity National Information Services Inc","4.38","EQUITY","FIS","Large Core","2008-08-31","661800","-165000","Technology","60.33","-0.42|-0.69%","60.75-60.23","1410088","61.96-48.17","United States","6.51","22.63","35.11","21.89","17305.98","USD","2","14.96","31.44","-","-","-"
"Accenture PLC Class A","3.55","EQUITY","ACN","Large Core","2009-09-30","386600","-127800","Technology","81.9","-1.98|-2.36%","83.47-81.86","2784774","87.08-73.79","United States","4.16","15.36","14.9","16.72","54983.55","USD","3","4.39","19.74","-","-","-"
"ExlService Holdings Inc","2.74","EQUITY","EXLS","Small Growth","2011-09-30","865170","-172100","Industrials","27.8","-0.45|-1.59%","28.12-27.7","174119","31.18-24.2","United States","7.82","8.03","5.15","9.89","927.9","USD","-","2.28","23.27","-","-","-"
"Alliance Data Systems Corp","2.73","EQUITY","ADS","Mid Growth","2008-01-31","85148","3100","Industrials","274.32","-3.69|-1.33%","278.43-274.08","680563","300.48-230.52","United States","9.94","14.08","38.92","34.42","16517.06","USD","3","5.74","31.77","-","-","-"
"Web.com Group Inc","2.59","EQUITY","WWWW","Small Core","2012-03-31","1112480","0","Technology","17.65","-0.29|-1.62%","18-17.61","396748","37.72-14.71","United States","-5.83","-35.21","20.99","22.59","942.36","USD","-","-43.57","-","-","-","-"
"Computer Sciences Corp","2.04","EQUITY","CSC","Mid Value","2013-02-28","298400","-74200","Technology","61.32","-1.16|-1.86%","62.55-61.29","1122919","66.99-52.06","United States","4.38","19.71","35.77","3.43","8777.85","USD","3","12.99","14.95","-","-","-"
"CoreLogic, Inc.","1.97","EQUITY","CLGX","Small Growth","2010-10-31","553000","-137700","Industrials","30.6","-0.86|-2.73%","31.34-30.59","709204","36.19-25.54","United States","10.93","-7.63","32.58","11.4","2823.21","USD","3","-11.46","31.34","-","-","-"
"WEX Inc","1.77","EQUITY","WEX","Mid Growth","2006-11-30","137700","-34200","Industrials","95.32","-4.23|-4.25%","99.24-94.45","691318","119.11-78.78","United States","-11.15","3.65","22.62","26.68","3859.39","USD","-","0.53","20.58","-","-","-"
"Booz Allen Hamilton Holding Corp","1.72","EQUITY","BAH","Mid Value","2012-06-30","577600","-143900","Industrials","25.52","-1.21|-4.53%","26.47-25.51","524807","27.82-17.2","United States","17.46","66.63","32.52","-","3992.53","USD","-","52.27","17.38","-","-","-"
