"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Fin Fut Euro$ Cme 09/14/15","75.06","INTEREST RATE FUTURE","-","-","-","12031000000","7288000000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-09-15","0","-"
"Erauslt Trs Equity 1ml+35.5 *Bullet* Brc","31.05","TOTAL RETURN SWAP","-","-","-","5642270","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-04-28","204.55","-"
"Fin Fut Euro$ Cme 12/14/15","31.01","INTEREST RATE FUTURE","-","-","-","4981000000","543000000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-12-15","0","-"
"Erauslt Trs Equity 1ml+45.5 Jpm","12.1","TOTAL RETURN SWAP","-","-","-","2198769","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-01-15","204.39","-"
"US Treasury Note 2.5%","10.21","BOND - GOV'T/TREASURY","-","-","-","406600000","406600000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2024-05-15","2.5","-"
"Erauslt Trs Equity 1ml+27 Cbk","9.68","TOTAL RETURN SWAP","-","-","-","1757852","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2014-10-15","195.56","-"
"Erauslt Trs Equity 1ml+31 *Bullet* Bps","8.74","TOTAL RETURN SWAP","-","-","-","1587684","1587684","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-06-15","211.21","-"
"Erauslt Trs Equity 1ml+45.5 *Bullet* Jpm","8.14","TOTAL RETURN SWAP","-","-","-","1479728","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-02-17","202.78","-"
"Erauslt Trs Equity 1ml+36 Brc","7.87","TOTAL RETURN SWAP","-","-","-","1429078","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2014-10-31","198.04","-"
"Erauslt Trs Equity 1ml+32.5 Jpm","7.42","TOTAL RETURN SWAP","-","-","-","1347375","1347375","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-04-15","216.1","-"
"Erauslt Trs Equity 1ml+30 Boa","6.76","TOTAL RETURN SWAP","-","-","-","1227732","1227732","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-05-29","218.98","-"
"Fin Fut Euro$ Cme 03/14/16","6.07","INTEREST RATE FUTURE","-","-","-","977000000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-03-15","0","-"
"5 Year US Treasury Note Future Sept14","5.33","BOND - TREASURY FUTURE","-","-","-","177400000","177400000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2014-09-30","6","-"
"Erauslt Trs Equity 1ml+38 *Bullet* Brc","4.25","TOTAL RETURN SWAP","-","-","-","771527","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2014-09-30","177.51","-"
"Irs Usd 3.500 12/18/13-30y Cme","-3.8","INTEREST RATE SWAP","-","-","-","145400000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2043-12-18","3.5","-"
"Irs Usd 1.500 03/18/15-1y (Red) Cme","2.99","INTEREST RATE SWAP","-","-","-","117900000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-03-18","1.5","-"
"Cdx Ig22 5y Bp Ice","2.19","CREDIT DEFAULT SWAP","-","-","-","85500000","49500000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2019-06-20","1","-"
"Spanish Govt Bd (Bonos Y Oblig)","2.05","BOND - GOV'T/TREASURY","-","-","-","57300000","6700000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-07-30","4","-"
"FNMA","1.85","BOND - GOV'T AGENCY PASS-THRU","-","-","-","68000000","68000000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2044-07-14","4.5","-"
"NYSE/Liffe 10 Year US Treasury Note Future Sept14","1.81","BOND - TREASURY FUTURE","-","-","-","57600000","57600000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2014-09-26","6","-"
"FNMA","1.66","BOND - GOV'T AGENCY PASS-THRU","-","-","-","61000000","61000000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2044-08-12","4.5","-"
"Spanish Govt Bd (Bonos Y Oblig)","1.47","BOND - GOV'T/TREASURY","-","-","-","40500000","13000000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-07-30","3.3","-"
"Erauslt Trs Equity 1ml+46 Boa","1.4","TOTAL RETURN SWAP","-","-","-","254601","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-01-15","204.39","-"
"Italy(Rep Of) 4.5%","1.39","BOND - GOV'T/TREASURY","-","-","-","38800000","0","-","-","-","-","-","-","-","-","-","-","-","-","EUR","-","-","-","2015-07-15","4.5","-"
"Italy(Rep Of) 3.75%","1.08","BOND - GOV'T/TREASURY","-","-","-","30300000","0","-","-","-","-","-","-","-","-","-","-","-","-","EUR","-","-","-","2015-08-01","3.75","-"
"Bank Of Nova Scotia","0.85","BOND - CORPORATE BOND","-","-","-","36200000","36200000","-","-","-","-","-","-","-","-","-","-","-","-","CAD","-","-","-","-","0","-"
"J P Morgan Chase & Co Mtn Be FRN","0.83","BOND - CORPORATE BOND","-","-","-","32800000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-02-26","0.91","-"
"Ally Auto Recv Tr 2014-1 0.48%","0.82","BOND - ASSET BACKED","-","-","-","32500000","32500000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2017-02-15","0.48","-"
"Deere John Cap Corp Mtns Be FRN","0.77","BOND - CORPORATE BOND","-","-","-","30500000","30500000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-04-12","0.36","-"
"Barclays Bank Plc Sub Jr Sub Rci","0.76","EQUITY","-","-","2013-09-30","12900000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","-","14","-"
"FNMA 0.875%","0.7","BOND - GOV'T AGENCY DEBT","-","-","-","28100000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2017-10-26","0.88","-"
"Sallie Mae 6.25%","0.62","BOND - CORPORATE BOND","-","-","-","23000000","20200000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-01-25","6.25","-"
