"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"American Tower Corp","5.59","EQUITY","AMT","Large Growth","2011-03-31","1952400","-21400","Real Estate","98.58","-0.99|-0.99%","100.28-98.54","1486134","105.2-75.65","United States","2.54","30.14","20.68","20.88","39626.46","USD","3","26.5","54.52","-","-","-"
"Crown Castle International Corp","5.36","EQUITY","CCI","Large Growth","2003-06-30","2174564","26200","Communication Services","75.85","-0.97|-1.26%","76.79-75.8","4770109","84.97-68.44","United States","-4.08","5.03","21.66","16.7","25646.96","USD","4","6.05","145.25","-","-","-"
"Baidu Inc ADR","5.32","EQUITY","BIDU","-","2009-12-31","797300","-22700","Technology","229.32","0.09|0.04%","233.69-225.16","2553053","251.99-140.66","China","4.19","32.32","20.65","40.54","80399.12","USD","3","28.87","39.06","-","-","-"
"Time Warner Cable Inc","5.11","EQUITY","TWC","Large Growth","2009-03-31","1164000","0","Communication Services","145.12","-2.03|-1.38%","147.51-144.71","1692246","155.32-128.78","United States","-4.11","14.18","35.38","30.19","41274.77","USD","2","10.81","20.66","-","-","-"
"Amazon.com Inc","5.07","EQUITY","AMZN","Large Growth","2005-06-30","513500","-12000","Consumer Cyclical","307.32","-0.04|-0.01%","310.64-303.01","3162322","408.06-284","United States","-7.01","-19.58","16.77","18.04","142309.66","USD","4","-22.93","-","-","-","-"
"Priceline Group Inc","5.03","EQUITY","PCLN","Large Growth","2012-09-30","141932","6000","Consumer Cyclical","1103.99","-10.28|-0.92%","1119.82-1103.52","676646","1378.96-1017.28","United States","-5.32","-5.42","32.43","38.24","58338.75","USD","4","-4.14","25.17","-","-","-"
"Verizon Communications Inc","4.55","EQUITY","VZ","Large Value","2012-09-30","2974276","-231300","Communication Services","45.58","-0.78|-1.68%","46.09-45.32","23769096","53.66-45.32","United States","-4.28","0.02","11.02","12.33","192381.19","USD","3","-1.3","10.02","-","-","-"
"Liberty Global PLC Class C","4.37","EQUITY","LBTYK","Large Growth","2014-03-31","3485021","0","Communication Services","46.38","-0.73|-1.55%","47.29-46.31","3409369","50.23-36.98","United Kingdom","12.14","18.29","35.14","34.95","36771.61","USD","-","11.74","-","-","-","-"
"Facebook Inc Class A","4.14","EQUITY","FB","Large Growth","2013-03-31","1713500","49800","Technology","77.83","0.1|0.13%","78.88-77.02","28091617","81.16-50.66","United States","-0.24","57.41","-","-","216699.42","USD","2","42.23","73.55","-","-","-"
"Google Inc","2.87","EQUITY","GOOG","Large Growth","2014-06-30","162700","0","Technology","518.66","-9.68|-1.83%","528.5-518.66","1989117","604.83-502.8","United States","-9.12","-","-","-","358407.72","USD","3","-","28.08","-","-","-"
"Walt Disney Co","2.53","EQUITY","DIS","Large Growth","2009-06-30","928800","-22700","Consumer Cyclical","91.49","-0.26|-0.28%","92.61-90.95","7890850","94.5-68.8","United States","3.26","32.96","37.53","24.68","155581.47","USD","3","21.6","21.52","-","-","-"
"Google Inc Class A","2.42","EQUITY","GOOGL","Large Growth","2004-09-30","134400","-28300","Technology","521.51","-10.6|-1.99%","532.24-521.46","2371543","614.44-511","United States","-9.98","-1.31","19.22","12.48","360965.16","USD","3","-5.13","28.28","-","-","-"
"Twenty-First Century Fox Inc Class A","2.41","EQUITY","FOXA","Large Growth","2013-09-30","2296000","-91100","Consumer Cyclical","36.9","-0.22|-0.58%","37.3-36.47","11823049","38.08-30.67","United States","5.14","14.3","35.23","27.94","80024.51","USD","3","6.24","20.48","-","-","-"
"Comcast Corp Class A","2.38","EQUITY","CMCSA","Large Core","2010-03-31","1448400","0","Communication Services","55.35","-0.55|-0.98%","55.98-54.98","11362784","57.49-47.74","United States","-1.51","16.66","36.84","27.28","145057.92","USD","2","8.86","17.61","-","-","-"
"Alibaba Group Holding Ltd ADR","2.27","EQUITY","BABA","-","2014-09-30","833534","833534","Consumer Cyclical","105.11","0.14|0.13%","107.45-104.18","14537588","120-82.81","China","-","-","-","-","260922.59","USD","2","-","53","-","-","-"
"Discovery Communications Inc","2.14","EQUITY","DISCK","Mid Growth","2008-09-30","1879400","0","Consumer Cyclical","32.54","-0.65|-1.96%","33.43-32.46","1574111","44-31.02","United States","-16.86","-14.96","20.49","19.11","14681.12","USD","4","-20.84","9.82","-","-","-"
"Ctrip.com International Ltd ADR","2.13","EQUITY","CTRP","-","2013-09-30","1225200","0","Consumer Cyclical","45.34","2.32|5.39%","47.19-42.74","6274938","69.74-35.96","China","-33.95","-8.14","22.86","3.19","5821.17","USD","2","-13.3","58.21","-","-","-"
"SBA Communications Corp","2.11","EQUITY","SBAC","Mid Growth","2013-03-31","620700","0","Communication Services","110.12","0.16|0.14%","111.11-108.5","1176924","121.57-84.7","United States","-3.24","26.75","39.41","27.3","14196.12","USD","3","22.4","-","-","-","-"
"NAVER Corp","1.87","EQUITY","035420","Large Growth","2013-12-31","80499","0","Technology","713000","9000|1.28%","720000-703000","88672","880000-643000","South Korea","0.71","-0.06","36.96","23.38","20976592","KRW","-","-1.52","49.95","-","-","-"
"Netflix Inc","1.81","EQUITY","NFLX","Large Growth","2013-09-30","131100","0","Communication Services","334.48","-0.15|-0.04%","338.26-328.86","1939217","489.29-299.5","United States","-30.51","-8.06","67.75","43.13","20160.25","USD","3","-9.11","88.88","-","-","-"
"Qualcomm Inc","1.8","EQUITY","QCOM","Large Growth","2008-09-30","787700","-81500","Technology","70.58","-1.4|-1.95%","71.81-70.58","8351609","81.97-67.67","United States","-4.86","0.81","11.3","11.58","119690.64","USD","3","-0.88","16.36","-","-","-"
"Vodafone Group PLC","1.8","EQUITY","VOD","Large Core","2008-06-30","17844439","-1996686","Communication Services","215.3","-7.65|-3.43%","223.05-215.19","102958877","442.06-179.1","United Kingdom","11.35","-2.62","12","13.47","59089.55","GBX","3","-5.3","61.41","-","-","-"
"LinkedIn Corp Class A","1.76","EQUITY","LNKD","Large Growth","2011-06-30","276900","-22500","Technology","219.9","2.54|1.17%","221.86-214.27","1280101","238.77-136.02","United States","-4.08","-6.07","44.6","-","26991.04","USD","3","0.24","-","-","-","-"
"T-Mobile US Inc","1.61","EQUITY","TMUS","Large Core","2014-03-31","1820596","557500","Communication Services","25.31","-0.33|-1.29%","25.69-25.28","5952021","35.5-24.5","United States","-15.8","-1.61","25.82","19.41","20700.46","USD","4","-23.78","163.38","-","-","-"
"Iliad","1.55","EQUITY","ILD","Large Growth","2013-12-31","241330","88820","Communication Services","188.25","-0.6|-0.32%","189.8-185.7","52733","247.4-144.85","France","5.95","10.33","28.02","18.69","10967.8","EUR","-","27.08","42.06","-","-","-"
"Vipshop Holdings Ltd ADR","1.36","EQUITY","VIPS","-","2014-06-30","234800","118200","Consumer Cyclical","19.7","-0.49|-2.43%","20.18-19.7","9055727","24.8-7.34","China","-3.7","157.69","-","-","11526.62","USD","-","141.28","60.11","-","-","-"
"Las Vegas Sands Corp","1.32","EQUITY","LVS","Large Growth","2011-03-31","692950","46300","Consumer Cyclical","55.35","-0.51|-0.91%","56.15-55.18","4948836","88.28-53.98","United States","-11.45","-24.57","12.44","32.67","44799.62","USD","4","-27.27","16.85","-","-","-"
"Directv","1.19","EQUITY","DTV","Large Core","2014-06-30","449400","97200","Communication Services","83.47","-0.43|-0.51%","84.02-83.08","2103482","89.46-64.79","United States","-3.56","25.37","22.13","20.52","42137.66","USD","2","21.49","15.47","-","-","-"
"Viacom Inc Class B","1.08","EQUITY","VIAB","Large Core","2013-06-30","457000","0","Consumer Cyclical","72.96","-0.01|-0.01%","73.92-72.14","3476164","89.76-65.86","United States","-8.28","-8.35","20.42","20.37","29951.77","USD","4","-14.98","13.44","-","-","-"
