"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Fin Fut Euro$ Cme 09/14/15","73.11","INTEREST RATE FUTURE","-","-","-","3626000000","872000000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-09-15","0","-"
"E-mini S&P 500 Index Future Sept14","51.61","EQUITY INDEX - FUTURE","-","-","-","325400","325400","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2014-09-19","0","-"
"Fin Fut Euro$ Cme 12/14/15","31.97","INTEREST RATE FUTURE","-","-","-","1589000000","183000000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-12-15","0","-"
"Sptr Trs Equity 3ml+26.5 *Bullet* Bps","29.88","TOTAL RETURN SWAP","-","-","-","103567","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-04-28","-","-"
"Sptr Trs Equity 3ml+29 *Bullet* Dub","17.02","TOTAL RETURN SWAP","-","-","-","59000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-03-31","-","-"
"US Treasury Note 2.5%","10.36","BOND - GOV'T/TREASURY","-","-","-","127700000","127700000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2024-05-15","2.5","-"
"Fin Fut Euro$ Cme 03/14/16","8.33","INTEREST RATE FUTURE","-","-","-","415000000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-03-15","0","-"
"Irs Usd 1.500 03/18/15-1y (Red) Cme","7.6","INTEREST RATE SWAP","-","-","-","92800000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-03-18","1.5","-"
"FNMA","3.25","BOND - GOV'T AGENCY PASS-THRU","-","-","-","37000000","37000000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2044-08-12","4.5","-"
"Irs Usd 3.500 12/18/13-30y Cme","-2.94","INTEREST RATE SWAP","-","-","-","34800000","-40000000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2043-12-18","3.5","-"
"Cdx Ig22 5y Bp Ice","2.68","CREDIT DEFAULT SWAP","-","-","-","32400000","-400000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2019-06-20","1","-"
"Italy(Rep Of) 4.5%","2.1","BOND - GOV'T/TREASURY","-","-","-","18100000","0","-","-","-","-","-","-","-","-","-","-","-","-","EUR","-","-","-","2015-07-15","4.5","-"
"Spanish Govt Bd (Bonos Y Oblig)","2.09","BOND - GOV'T/TREASURY","-","-","-","18100000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2015-07-30","4","-"
"5 Year US Treasury Note Future Sept14","1.73","BOND - TREASURY FUTURE","-","-","-","17800000","17800000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2014-09-30","6","-"
"Italian Btp Bond","1.64","BOND - GOV'T/TREASURY","-","-","-","14600000","14600000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2017-05-15","1.15","-"
"Irs Usd 2.750 06/19/13-30y Cme","-1.54","INTEREST RATE SWAP","-","-","-","21200000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2043-06-19","2.75","-"
