"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Biogen Idec Inc","7.44","EQUITY","BIIB","Large Growth","2003-09-30","9973695","0","Healthcare","344.49","2.16|0.63%","349.98-338.5","1563786","358.89-270.27","United States","4.65","23.12","44.72","47.73","80843.08","USD","3","22.45","32.41","-","-","-"
"Amgen Inc","5.04","EQUITY","AMGN","Large Growth","1999-06-30","15917400","0","Healthcare","164.53","-1.55|-0.93%","167.71-162.3","3376207","173.14-108.2","United States","19.96","49.07","43.14","25.08","126332.07","USD","4","47.72","26.14","-","-","-"
"Eli Lilly and Co","4.26","EQUITY","LLY","Large Value","2002-03-31","29130000","0","Healthcare","69.55","-2.06|-2.88%","71.65-69.47","7844392","75.1-48.88","United States","10.62","47.2","25.43","18.41","79732.71","USD","2","44.25","28.66","-","-","-"
"FedEx Corp","4.13","EQUITY","FDX","Large Growth","1986-06-30","11356768","0","Industrials","175.79","-1.09|-0.62%","178.5-175.34","1859588","183.51-128.17","United States","16.1","30.12","29.02","15.37","50100.62","USD","2","23.55","24.17","-","-","-"
"Microsoft Corp","4.09","EQUITY","MSFT","Large Core","2000-12-31","39156600","0","Technology","46.95","-0.22|-0.47%","47.73-46.67","34248371","50.04-34.63","United States","1.02","28.48","24.94","11.46","388815.38","USD","3","29.16","18.49","-","-","-"
"Roche Holding AG Dividend Right Cert.","3.91","EQUITY","ROG","Large Growth","2004-12-31","5872200","0","Healthcare","287","-5.9|-2.01%","292.3-286.4","1242847","295.8-231.2","Switzerland","6.39","25.71","26.11","13.7","248787.77","CHF","2","20.67","23.49","-","-","-"
"Texas Instruments Inc","3.7","EQUITY","TXN","Large Core","1992-06-30","34427100","0","Technology","53.11","-1.38|-2.52%","54.6-52.94","8428044","55.99-40.33","United States","13.86","30.17","24.31","17.96","57552.5","USD","2","26.91","23.67","-","-","-"
"Adobe Systems Inc","3.63","EQUITY","ADBE","Large Growth","1992-06-30","23310070","0","Technology","76.02","6.28|9%","77.56-73.71","12613681","77.56-53.93","United States","-3.7","27.64","35.49","14.54","34782.05","USD","2","16.47","144.84","-","-","-"
"Novartis AG ADR","2.67","EQUITY","NVS","Large Core","2000-06-30","12568965","-1329600","Healthcare","93.52","-0.82|-0.87%","94.77-93.52","1606008","96.9-76.36","Switzerland","-0.02","25.17","22.81","14.6","228208.45","USD","3","20.75","22.94","-","-","-"
"Southwest Airlines Co","2.63","EQUITY","LUV","Large Growth","1991-12-31","34559300","0","Industrials","41.41","-0.51|-1.22%","42.44-41.4","10010886","42.94-18.2","United States","24.79","134.5","71.14","31.18","28452.96","USD","2","123.67","25.37","-","-","-"
"Medtronic Inc","2.14","EQUITY","MDT","Large Core","1986-06-30","15323952","0","Healthcare","72.52","-1.25|-1.69%","73.72-72.5","7569522","75.31-53.33","United States","12.68","33.2","28.95","12.63","72613.03","USD","2","30.09","25.5","-","-","-"
