,Fund_Name,Fund_Family,Fund_Ticker,Benchmark_Index
0,Vanguard 500 Index Inv,Vanguard,VFINX,S&P 500 TR USD
1,Vanguard Balanced Index Inv,Vanguard,VBINX,Morningstar Moderate Target Risk
2,Vanguard CA Interm-Term Tax-Exempt Inv,Vanguard,VCAIX,Barclays Municipal TR USD
3,Vanguard CA Long-Term Tax-Exempt Inv,Vanguard,VCITX,Barclays Municipal TR USD
4,Vanguard Capital Opportunity Inv,Vanguard,VHCOX,S&P 500 TR USD
5,Vanguard Capital Value Inv,Vanguard,VCVLX,S&P 500 TR USD
6,Vanguard Convertible Securities Inv,Vanguard,VCVSX,Morningstar Moderate Target Risk
7,Vanguard Developed Markets Idx Admiral,Vanguard,VTMGX,MSCI ACWI Ex USA NR USD
8,Vanguard Diversified Equity Inv,Vanguard,VDEQX,S&P 500 TR USD
9,Vanguard Dividend Growth Inv,Vanguard,VDIGX,S&P 500 TR USD
10,Vanguard Emerg Mkts Govt Bd Idx Investor,Vanguard,VGOVX,Barclays US Agg Bond TR USD
11,Vanguard Emerg Mkts Sel Stk Inv,Vanguard,VMMSX,MSCI ACWI Ex USA NR USD
12,Vanguard Emerging Mkts Stock Idx Inv,Vanguard,VEIEX,MSCI ACWI Ex USA NR USD
13,Vanguard Energy Inv,Vanguard,VGENX,MSCI ACWI NR USD
14,Vanguard Equity-Income Inv,Vanguard,VEIPX,S&P 500 TR USD
15,Vanguard European Stock Index Inv,Vanguard,VEURX,MSCI ACWI Ex USA NR USD
16,Vanguard Explorer Inv,Vanguard,VEXPX,S&P 500 TR USD
17,Vanguard Explorer Value Inv,Vanguard,VEVFX,S&P 500 TR USD
18,Vanguard Extended Dur Treas Idx I,Vanguard,VEDTX,Barclays US Agg Bond TR USD
19,Vanguard Extended Market Idx Inv,Vanguard,VEXMX,S&P 500 TR USD
20,Vanguard FTSE All-Wld ex-US SmCp Idx I,Vanguard,VFSNX,MSCI ACWI Ex USA NR USD
21,Vanguard FTSE Social Index Inv,Vanguard,VFTSX,S&P 500 TR USD
22,Vanguard Global Equity Inv,Vanguard,VHGEX,MSCI ACWI Ex USA NR USD
23,Vanguard Global ex-US Rel Est Idx Inv,Vanguard,VGXRX,MSCI ACWI NR USD
24,Vanguard Global Minimum Volatility Admr,Vanguard,VMNVX,MSCI ACWI Ex USA NR USD
25,Vanguard GNMA Inv,Vanguard,VFIIX,Barclays US Agg Bond TR USD
26,Vanguard Growth &amp; Income Inv,Vanguard,VQNPX,S&P 500 TR USD
27,Vanguard Growth Index Inv,Vanguard,VIGRX,S&P 500 TR USD
28,Vanguard Health Care Inv,Vanguard,VGHCX,MSCI ACWI NR USD
29,Vanguard High-Yield Corporate Inv,Vanguard,VWEHX,Barclays US Agg Bond TR USD
30,Vanguard High-Yield Tax-Exempt,Vanguard,VWAHX,Barclays Municipal TR USD
31,Vanguard Inflation-Protected Secs Inv,Vanguard,VIPSX,Barclays US Agg Bond TR USD
32,Vanguard Institutional Index I,Vanguard,VINIX,S&P 500 TR USD
33,Vanguard Instl Ttl Stk Mkt Idx InstlPls,Vanguard,VITPX,S&P 500 TR USD
34,Vanguard Interm-Term Bond Index Inv,Vanguard,VBIIX,Barclays US Agg Bond TR USD
