date,price
3-Jan-2011,9.39
4-Jan-2011,9.36
5-Jan-2011,9.43
6-Jan-2011,9.39
7-Jan-2011,9.37
10-Jan-2011,9.36
11-Jan-2011,9.4
12-Jan-2011,9.5
13-Jan-2011,9.47
14-Jan-2011,9.56
18-Jan-2011,9.56
19-Jan-2011,9.39
20-Jan-2011,9.37
21-Jan-2011,9.4
24-Jan-2011,9.44
25-Jan-2011,9.44
26-Jan-2011,9.51
27-Jan-2011,9.54
28-Jan-2011,9.36
31-Jan-2011,9.45
1-Feb-2011,9.61
2-Feb-2011,9.58
3-Feb-2011,9.59
4-Feb-2011,9.61
7-Feb-2011,9.68
8-Feb-2011,9.74
9-Feb-2011,9.71
10-Feb-2011,9.75
11-Feb-2011,9.83
14-Feb-2011,9.86
15-Feb-2011,9.83
16-Feb-2011,9.91
17-Feb-2011,9.94
18-Feb-2011,9.94
22-Feb-2011,9.68
23-Feb-2011,9.6
24-Feb-2011,9.61
25-Feb-2011,9.75
28-Feb-2011,9.79
1-Mar-2011,9.61
2-Mar-2011,9.65
3-Mar-2011,9.84
4-Mar-2011,9.76
7-Mar-2011,9.66
8-Mar-2011,9.79
9-Mar-2011,9.78
10-Mar-2011,9.58
11-Mar-2011,9.67
14-Mar-2011,9.61
15-Mar-2011,9.51
16-Mar-2011,9.34
17-Mar-2011,9.46
18-Mar-2011,9.53
21-Mar-2011,9.65
22-Mar-2011,9.6
23-Mar-2011,9.61
24-Mar-2011,9.7
25-Mar-2011,9.75
28-Mar-2011,9.73
29-Mar-2011,9.82
30-Mar-2011,9.88
31-Mar-2011,9.86
1-Apr-2011,9.93
4-Apr-2011,9.94
5-Apr-2011,9.96
6-Apr-2011,9.97
7-Apr-2011,9.94
8-Apr-2011,9.91
11-Apr-2011,9.87
12-Apr-2011,9.78
13-Apr-2011,9.79
14-Apr-2011,9.78
15-Apr-2011,9.84
18-Apr-2011,9.7
19-Apr-2011,9.78
20-Apr-2011,9.9
21-Apr-2011,9.94
25-Apr-2011,9.91
26-Apr-2011,10
27-Apr-2011,10.05
28-Apr-2011,10.1
29-Apr-2011,10.12
2-May-2011,10.08
3-May-2011,10.01
4-May-2011,9.94
5-May-2011,9.88
6-May-2011,9.91
9-May-2011,9.96
10-May-2011,10.06
11-May-2011,9.93
12-May-2011,9.95
13-May-2011,9.86
16-May-2011,9.8
17-May-2011,9.8
18-May-2011,9.91
19-May-2011,9.93
20-May-2011,9.84
23-May-2011,9.71
24-May-2011,9.71
25-May-2011,9.76
26-May-2011,9.83
27-May-2011,9.89
31-May-2011,9.98
1-Jun-2011,9.73
2-Jun-2011,9.72
3-Jun-2011,9.62
6-Jun-2011,9.48
7-Jun-2011,9.49
8-Jun-2011,9.43
9-Jun-2011,9.51
10-Jun-2011,9.37
13-Jun-2011,9.38
14-Jun-2011,9.52
15-Jun-2011,9.33
16-Jun-2011,9.33
17-Jun-2011,9.37
20-Jun-2011,9.41
21-Jun-2011,9.55
22-Jun-2011,9.49
23-Jun-2011,9.46
24-Jun-2011,9.33
27-Jun-2011,9.42
28-Jun-2011,9.56
29-Jun-2011,9.65
30-Jun-2011,9.74
1-Jul-2011,9.89
5-Jul-2011,9.87
6-Jul-2011,9.86
7-Jul-2011,9.96
8-Jul-2011,9.89
11-Jul-2011,9.67
12-Jul-2011,9.62
13-Jul-2011,9.66
14-Jul-2011,9.58
15-Jul-2011,9.62
18-Jul-2011,9.53
19-Jul-2011,9.69
20-Jul-2011,9.69
21-Jul-2011,9.86
22-Jul-2011,9.86
25-Jul-2011,9.79
26-Jul-2011,9.76
27-Jul-2011,9.53
28-Jul-2011,9.49
29-Jul-2011,9.44
