date,price
2-Jan-2004,29.61
5-Jan-2004,29.98
6-Jan-2004,29.86
7-Jan-2004,29.97
8-Jan-2004,30.29
9-Jan-2004,30.1
12-Jan-2004,30.27
13-Jan-2004,30.08
14-Jan-2004,30.26
15-Jan-2004,30.26
16-Jan-2004,30.34
20-Jan-2004,30.34
21-Jan-2004,30.57
22-Jan-2004,30.56
23-Jan-2004,30.57
26-Jan-2004,30.65
27-Jan-2004,30.19
28-Jan-2004,29.53
29-Jan-2004,29.56
30-Jan-2004,29.55
2-Feb-2004,29.63
3-Feb-2004,29.29
4-Feb-2004,28.86
5-Feb-2004,28.98
6-Feb-2004,29.41
9-Feb-2004,29.63
10-Feb-2004,30.07
11-Feb-2004,30.63
12-Feb-2004,30.22
13-Feb-2004,29.87
17-Feb-2004,30.13
18-Feb-2004,29.97
19-Feb-2004,29.56
20-Feb-2004,29.41
23-Feb-2004,28.99
24-Feb-2004,28.86
25-Feb-2004,28.97
26-Feb-2004,29.2
27-Feb-2004,29.34
1-Mar-2004,29.58
2-Mar-2004,29.29
3-Mar-2004,29.28
4-Mar-2004,29.63
5-Mar-2004,29.45
8-Mar-2004,29.16
9-Mar-2004,28.86
10-Mar-2004,28.26
11-Mar-2004,28.01
12-Mar-2004,28.49
15-Mar-2004,27.71
16-Mar-2004,27.87
17-Mar-2004,28.35
18-Mar-2004,28.2
19-Mar-2004,28.18
22-Mar-2004,27.59
23-Mar-2004,27.54
24-Mar-2004,27.52
25-Mar-2004,28.13
26-Mar-2004,28.11
29-Mar-2004,28.3
30-Mar-2004,28.54
31-Mar-2004,28.69
1-Apr-2004,29.03
2-Apr-2004,29.43
5-Apr-2004,29.54
6-Apr-2004,29.47
7-Apr-2004,29.32
8-Apr-2004,29.77
12-Apr-2004,29.95
13-Apr-2004,29.42
14-Apr-2004,29.54
15-Apr-2004,29.33
16-Apr-2004,29.52
19-Apr-2004,29.84
20-Apr-2004,29.42
21-Apr-2004,29.76
22-Apr-2004,30.24
23-Apr-2004,29.99
26-Apr-2004,29.79
27-Apr-2004,29.75
28-Apr-2004,29.36
29-Apr-2004,29.05
30-Apr-2004,28.59
3-May-2004,28.79
4-May-2004,28.95
5-May-2004,29.04
6-May-2004,28.52
7-May-2004,28.13
10-May-2004,27.37
11-May-2004,27.88
12-May-2004,27.88
13-May-2004,27.85
14-May-2004,27.57
17-May-2004,27.14
18-May-2004,27.47
19-May-2004,27.63
20-May-2004,27.63
21-May-2004,27.77
24-May-2004,27.99
25-May-2004,28.52
26-May-2004,28.56
27-May-2004,28.61
28-May-2004,28.54
1-Jun-2004,28.61
2-Jun-2004,28.67
3-Jun-2004,28.43
4-Jun-2004,28.57
7-Jun-2004,29
8-Jun-2004,28.95
9-Jun-2004,28.7
10-Jun-2004,28.81
14-Jun-2004,28.39
15-Jun-2004,28.54
16-Jun-2004,28.46
17-Jun-2004,28.43
18-Jun-2004,28.41
21-Jun-2004,28.21
22-Jun-2004,28.16
23-Jun-2004,28.18
24-Jun-2004,28.1
25-Jun-2004,28.12
28-Jun-2004,28.2
29-Jun-2004,28.26
30-Jun-2004,28.46
1-Jul-2004,28.16
2-Jul-2004,28.06
6-Jul-2004,27.66
7-Jul-2004,27.5
8-Jul-2004,27.02
9-Jul-2004,27.15
12-Jul-2004,27.12
13-Jul-2004,27.15
14-Jul-2004,27.07
15-Jul-2004,26.96
16-Jul-2004,26.67
19-Jul-2004,26.46
20-Jul-2004,26.82
21-Jul-2004,26.5
22-Jul-2004,26.84
23-Jul-2004,26.49
26-Jul-2004,26.3
27-Jul-2004,26.58
28-Jul-2004,26.32
29-Jul-2004,26.52
30-Jul-2004,26.55
2-Aug-2004,26.82
3-Aug-2004,26.69
4-Aug-2004,26.08
5-Aug-2004,25.82
6-Aug-2004,25.33
9-Aug-2004,25.11
10-Aug-2004,25.53
11-Aug-2004,25.36
12-Aug-2004,25.15
13-Aug-2004,25.29
16-Aug-2004,25.81
17-Aug-2004,25.9
18-Aug-2004,26.18
19-Aug-2004,26.15
20-Aug-2004,26.51
23-Aug-2004,26.37
24-Aug-2004,26.21
25-Aug-2004,26.41
