date,price
2-Jan-2004,10.11
5-Jan-2004,10.28
6-Jan-2004,10.28
7-Jan-2004,10.26
8-Jan-2004,10.29
9-Jan-2004,10.22
12-Jan-2004,10.25
13-Jan-2004,10.13
14-Jan-2004,10.24
15-Jan-2004,10.21
16-Jan-2004,10.22
20-Jan-2004,10.18
21-Jan-2004,10.15
22-Jan-2004,10.22
23-Jan-2004,10.28
26-Jan-2004,10.34
27-Jan-2004,10.28
28-Jan-2004,10.13
29-Jan-2004,10.19
30-Jan-2004,10.2
2-Feb-2004,10.13
3-Feb-2004,10.09
4-Feb-2004,9.97
5-Feb-2004,10
6-Feb-2004,10.12
9-Feb-2004,10.11
10-Feb-2004,10.14
11-Feb-2004,10.25
12-Feb-2004,10.16
13-Feb-2004,10.15
17-Feb-2004,10.2
18-Feb-2004,10.11
19-Feb-2004,9.98
20-Feb-2004,9.89
23-Feb-2004,9.77
24-Feb-2004,9.82
25-Feb-2004,9.85
26-Feb-2004,9.87
27-Feb-2004,9.96
1-Mar-2004,10.03
2-Mar-2004,10.02
3-Mar-2004,10.09
4-Mar-2004,10.2
5-Mar-2004,10.23
8-Mar-2004,10.13
9-Mar-2004,10.06
10-Mar-2004,9.92
11-Mar-2004,9.8
12-Mar-2004,9.94
15-Mar-2004,9.75
16-Mar-2004,9.8
17-Mar-2004,9.92
18-Mar-2004,9.9
19-Mar-2004,9.92
22-Mar-2004,9.78
23-Mar-2004,9.82
24-Mar-2004,9.77
25-Mar-2004,9.92
26-Mar-2004,9.92
29-Mar-2004,10.04
30-Mar-2004,10.07
31-Mar-2004,10.11
1-Apr-2004,10.24
2-Apr-2004,10.43
5-Apr-2004,10.53
6-Apr-2004,10.49
7-Apr-2004,10.45
8-Apr-2004,10.43
12-Apr-2004,10.5
13-Apr-2004,10.44
14-Apr-2004,10.39
15-Apr-2004,10.43
16-Apr-2004,10.52
19-Apr-2004,10.5
20-Apr-2004,10.44
21-Apr-2004,10.44
22-Apr-2004,10.54
23-Apr-2004,10.56
26-Apr-2004,10.47
27-Apr-2004,10.44
28-Apr-2004,10.33
29-Apr-2004,10.28
30-Apr-2004,10.23
3-May-2004,10.31
4-May-2004,10.32
5-May-2004,10.34
6-May-2004,10.3
7-May-2004,10.2
10-May-2004,10.06
11-May-2004,10.09
12-May-2004,10.03
13-May-2004,10.04
14-May-2004,10
17-May-2004,9.85
18-May-2004,9.99
19-May-2004,10.01
20-May-2004,10.02
21-May-2004,10.02
24-May-2004,10.09
25-May-2004,10.26
26-May-2004,10.28
27-May-2004,10.29
28-May-2004,10.33
1-Jun-2004,10.35
2-Jun-2004,10.37
3-Jun-2004,10.28
4-Jun-2004,10.35
7-Jun-2004,10.5
8-Jun-2004,10.53
9-Jun-2004,10.44
10-Jun-2004,10.44
14-Jun-2004,10.3
15-Jun-2004,10.4
16-Jun-2004,10.36
17-Jun-2004,10.38
18-Jun-2004,10.39
21-Jun-2004,10.33
22-Jun-2004,10.38
23-Jun-2004,10.47
24-Jun-2004,10.49
25-Jun-2004,10.45
28-Jun-2004,10.39
29-Jun-2004,10.44
30-Jun-2004,10.47
1-Jul-2004,10.37
2-Jul-2004,10.37
6-Jul-2004,10.21
7-Jul-2004,10.15
8-Jul-2004,10.03
9-Jul-2004,10.11
12-Jul-2004,10.11
13-Jul-2004,10.07
14-Jul-2004,10.02
15-Jul-2004,10.04
16-Jul-2004,9.94
19-Jul-2004,9.94
20-Jul-2004,9.99
21-Jul-2004,9.87
22-Jul-2004,9.83
23-Jul-2004,9.74
26-Jul-2004,9.73
27-Jul-2004,9.85
28-Jul-2004,9.78
29-Jul-2004,9.92
30-Jul-2004,9.92
2-Aug-2004,9.9
3-Aug-2004,9.78
4-Aug-2004,9.77
5-Aug-2004,9.63
6-Aug-2004,9.44
9-Aug-2004,9.39
10-Aug-2004,9.53
11-Aug-2004,9.46
12-Aug-2004,9.39
13-Aug-2004,9.39
16-Aug-2004,9.53
17-Aug-2004,9.6
18-Aug-2004,9.71
19-Aug-2004,9.71
20-Aug-2004,9.82
23-Aug-2004,9.8
24-Aug-2004,9.83
25-Aug-2004,9.94
26-Aug-2004,9.99
27-Aug-2004,10.04
30-Aug-2004,9.94
31-Aug-2004,10.01
1-Sep-2004,10.06
2-Sep-2004,10.18
3-Sep-2004,10.13
7-Sep-2004,10.21
8-Sep-2004,10.2
9-Sep-2004,10.23
10-Sep-2004,10.37
13-Sep-2004,10.37
14-Sep-2004,10.42
15-Sep-2004,10.35
16-Sep-2004,10.37
17-Sep-2004,10.35
20-Sep-2004,10.36
21-Sep-2004,10.46
22-Sep-2004,10.3
23-Sep-2004,10.3
24-Sep-2004,10.3
27-Sep-2004,10.16
28-Sep-2004,10.21
29-Sep-2004,10.28
30-Sep-2004,10.21
1-Oct-2004,10.47
4-Oct-2004,10.63
5-Oct-2004,10.64
6-Oct-2004,10.66
7-Oct-2004,10.59
8-Oct-2004,10.46
11-Oct-2004,10.48
12-Oct-2004,10.43
13-Oct-2004,10.34
14-Oct-2004,10.32
15-Oct-2004,10.3
18-Oct-2004,10.34
19-Oct-2004,10.28
20-Oct-2004,10.24
21-Oct-2004,10.37
22-Oct-2004,10.17
25-Oct-2004,10.18
26-Oct-2004,10.29
27-Oct-2004,10.52
28-Oct-2004,10.54
29-Oct-2004,10.53
1-Nov-2004,10.55
2-Nov-2004,10.57
3-Nov-2004,10.71
4-Nov-2004,10.87
5-Nov-2004,10.94
8-Nov-2004,10.96
9-Nov-2004,10.97
10-Nov-2004,11.04
11-Nov-2004,11.16
12-Nov-2004,11.25
15-Nov-2004,11.25
16-Nov-2004,11.19
17-Nov-2004,11.26
18-Nov-2004,11.26
19-Nov-2004,11.11
22-Nov-2004,11.16
23-Nov-2004,11.16
24-Nov-2004,11.23
26-Nov-2004,11.23
29-Nov-2004,11.28
30-Nov-2004,11.28
1-Dec-2004,11.45
2-Dec-2004,11.46
3-Dec-2004,11.42
6-Dec-2004,11.47
7-Dec-2004,11.34
8-Dec-2004,11.37
9-Dec-2004,11.34
10-Dec-2004,11.36
13-Dec-2004,11.43
14-Dec-2004,11.51
15-Dec-2004,11.53
16-Dec-2004,11.39
17-Dec-2004,11.32
20-Dec-2004,11.32
21-Dec-2004,11.41
22-Dec-2004,11.47
23-Dec-2004,11.49
27-Dec-2004,11.43
28-Dec-2004,11.54
29-Dec-2004,11.55
30-Dec-2004,11.54
31-Dec-2004,11.57
3-Jan-2005,11.42
4-Jan-2005,11.27
5-Jan-2005,11.2
6-Jan-2005,11.18
7-Jan-2005,11.19
10-Jan-2005,11.19
11-Jan-2005,11.14
12-Jan-2005,11.09
13-Jan-2005,11
14-Jan-2005,11.09
18-Jan-2005,11.18
19-Jan-2005,11.08
20-Jan-2005,11.03
21-Jan-2005,10.89
24-Jan-2005,10.83
25-Jan-2005,10.86
26-Jan-2005,10.94
27-Jan-2005,10.97
28-Jan-2005,10.96
31-Jan-2005,11.12
1-Feb-2005,11.12
2-Feb-2005,11.11
3-Feb-2005,11.12
4-Feb-2005,11.18
7-Feb-2005,11.14
8-Feb-2005,11.12
9-Feb-2005,10.95
10-Feb-2005,10.96
11-Feb-2005,11.07
14-Feb-2005,11.05
15-Feb-2005,11.09
16-Feb-2005,11.08
17-Feb-2005,11.01
18-Feb-2005,10.97
22-Feb-2005,10.84
23-Feb-2005,10.87
24-Feb-2005,10.98
25-Feb-2005,11.07
28-Feb-2005,11.08
1-Mar-2005,11.11
2-Mar-2005,11.09
3-Mar-2005,11.07
4-Mar-2005,11.15
7-Mar-2005,11.17
8-Mar-2005,11.06
9-Mar-2005,10.97
10-Mar-2005,11.02
11-Mar-2005,10.96
14-Mar-2005,11.02
15-Mar-2005,10.92
16-Mar-2005,10.84
17-Mar-2005,10.87
18-Mar-2005,10.89
21-Mar-2005,10.97
22-Mar-2005,10.94
23-Mar-2005,10.88
24-Mar-2005,10.84
28-Mar-2005,10.87
29-Mar-2005,10.79
30-Mar-2005,10.96
31-Mar-2005,10.97
1-Apr-2005,10.89
4-Apr-2005,10.89
5-Apr-2005,10.93
6-Apr-2005,10.91
7-Apr-2005,10.95
8-Apr-2005,10.81
11-Apr-2005,10.79
12-Apr-2005,10.89
13-Apr-2005,10.78
14-Apr-2005,10.65
15-Apr-2005,10.44
18-Apr-2005,10.42
19-Apr-2005,10.47
20-Apr-2005,10.29
21-Apr-2005,10.36
22-Apr-2005,10.28
25-Apr-2005,10.38
26-Apr-2005,10.23
27-Apr-2005,10.29
28-Apr-2005,10.17
29-Apr-2005,10.23
2-May-2005,10.27
3-May-2005,10.28
4-May-2005,10.36
5-May-2005,10.35
6-May-2005,10.39
9-May-2005,10.46
10-May-2005,10.35
11-May-2005,10.39
12-May-2005,10.33
13-May-2005,10.32
16-May-2005,10.39
17-May-2005,10.44
18-May-2005,10.58
19-May-2005,10.66
20-May-2005,10.69
23-May-2005,10.73
24-May-2005,10.76
25-May-2005,10.7
26-May-2005,10.83
27-May-2005,10.85
31-May-2005,10.83
1-Jun-2005,10.88
2-Jun-2005,10.9
3-Jun-2005,10.88
6-Jun-2005,10.92
7-Jun-2005,10.94
8-Jun-2005,10.89
9-Jun-2005,10.98
10-Jun-2005,10.95
13-Jun-2005,10.99
14-Jun-2005,10.99
15-Jun-2005,10.97
16-Jun-2005,11.04
17-Jun-2005,11.07
20-Jun-2005,11.08
21-Jun-2005,11.06
22-Jun-2005,11.05
23-Jun-2005,10.88
24-Jun-2005,10.84
27-Jun-2005,10.86
28-Jun-2005,11.05
29-Jun-2005,11.02
30-Jun-2005,11
1-Jul-2005,11.06
5-Jul-2005,11.12
6-Jul-2005,11.08
7-Jul-2005,11.05
8-Jul-2005,11.25
11-Jul-2005,11.33
12-Jul-2005,11.31
13-Jul-2005,11.32
14-Jul-2005,11.31
15-Jul-2005,11.36
18-Jul-2005,11.35
19-Jul-2005,11.46
20-Jul-2005,11.52
21-Jul-2005,11.48
22-Jul-2005,11.53
25-Jul-2005,11.46
26-Jul-2005,11.52
27-Jul-2005,11.56
28-Jul-2005,11.65
