date,price
2-Jan-2009,14.07
5-Jan-2009,14.07
6-Jan-2009,14.23
7-Jan-2009,13.82
8-Jan-2009,13.93
9-Jan-2009,13.63
12-Jan-2009,13.31
13-Jan-2009,13.31
14-Jan-2009,12.87
15-Jan-2009,12.98
16-Jan-2009,13.17
20-Jan-2009,12.48
21-Jan-2009,13.02
22-Jan-2009,12.7
23-Jan-2009,12.78
26-Jan-2009,12.86
27-Jan-2009,13.01
28-Jan-2009,13.46
29-Jan-2009,12.99
30-Jan-2009,12.6
2-Feb-2009,12.6
3-Feb-2009,12.74
4-Feb-2009,12.67
5-Feb-2009,12.8
6-Feb-2009,13.17
9-Feb-2009,13.18
10-Feb-2009,12.56
11-Feb-2009,12.66
12-Feb-2009,12.75
13-Feb-2009,12.56
17-Feb-2009,12.01
18-Feb-2009,11.94
19-Feb-2009,11.73
20-Feb-2009,11.68
23-Feb-2009,11.23
24-Feb-2009,11.76
25-Feb-2009,11.62
26-Feb-2009,11.38
27-Feb-2009,11.24
2-Mar-2009,10.68
3-Mar-2009,10.52
4-Mar-2009,10.74
5-Mar-2009,10.17
6-Mar-2009,10.15
9-Mar-2009,10.06
10-Mar-2009,10.71
11-Mar-2009,10.72
12-Mar-2009,11.17
13-Mar-2009,11.28
16-Mar-2009,11.17
17-Mar-2009,11.55
18-Mar-2009,11.91
19-Mar-2009,11.76
20-Mar-2009,11.48
23-Mar-2009,12.35
24-Mar-2009,12
25-Mar-2009,12.16
26-Mar-2009,12.46
27-Mar-2009,12.18
30-Mar-2009,11.71
31-Mar-2009,11.95
1-Apr-2009,12.14
2-Apr-2009,12.56
3-Apr-2009,12.79
6-Apr-2009,12.68
7-Apr-2009,12.32
8-Apr-2009,12.57
9-Apr-2009,13.16
13-Apr-2009,13.16
14-Apr-2009,12.83
15-Apr-2009,13.01
16-Apr-2009,13.36
17-Apr-2009,13.47
20-Apr-2009,12.84
21-Apr-2009,13.24
22-Apr-2009,13.17
23-Apr-2009,13.22
24-Apr-2009,13.44
27-Apr-2009,13.24
28-Apr-2009,13.25
29-Apr-2009,13.59
30-Apr-2009,13.52
1-May-2009,13.49
4-May-2009,13.96
5-May-2009,13.85
6-May-2009,14.07
7-May-2009,13.78
8-May-2009,14.22
11-May-2009,13.84
12-May-2009,13.76
13-May-2009,13.27
14-May-2009,13.46
15-May-2009,13.24
18-May-2009,13.72
19-May-2009,13.68
20-May-2009,13.58
21-May-2009,13.36
22-May-2009,13.33
26-May-2009,13.78
27-May-2009,13.45
28-May-2009,13.63
29-May-2009,13.83
1-Jun-2009,14.28
2-Jun-2009,14.29
3-Jun-2009,14.11
4-Jun-2009,14.26
5-Jun-2009,14.26
8-Jun-2009,14.23
9-Jun-2009,14.28
10-Jun-2009,14.26
11-Jun-2009,14.36
12-Jun-2009,14.35
15-Jun-2009,13.99
16-Jun-2009,13.8
17-Jun-2009,13.75
18-Jun-2009,13.91
19-Jun-2009,13.92
22-Jun-2009,13.5
23-Jun-2009,13.47
24-Jun-2009,13.59
25-Jun-2009,13.91
26-Jun-2009,13.87
29-Jun-2009,14.02
30-Jun-2009,13.96
1-Jul-2009,14.06
2-Jul-2009,13.6
6-Jul-2009,13.68
7-Jul-2009,13.4
8-Jul-2009,13.35
9-Jul-2009,13.39
10-Jul-2009,13.35
13-Jul-2009,13.69
14-Jul-2009,13.77
15-Jul-2009,14.17
16-Jul-2009,14.27
17-Jul-2009,14.16
20-Jul-2009,14.36
21-Jul-2009,14.35
22-Jul-2009,14.43
23-Jul-2009,14.8
24-Jul-2009,14.86
27-Jul-2009,14.94
28-Jul-2009,14.9
29-Jul-2009,14.82
30-Jul-2009,15.05
31-Jul-2009,15.04
3-Aug-2009,15.3
4-Aug-2009,15.4
5-Aug-2009,15.38
6-Aug-2009,15.3
7-Aug-2009,15.63
10-Aug-2009,15.59
11-Aug-2009,15.43
12-Aug-2009,15.61
13-Aug-2009,15.7
14-Aug-2009,15.55
17-Aug-2009,15.2
18-Aug-2009,15.31
19-Aug-2009,15.41
20-Aug-2009,15.57
21-Aug-2009,15.87
24-Aug-2009,15.8
25-Aug-2009,15.9
26-Aug-2009,15.91
27-Aug-2009,15.96
28-Aug-2009,15.99
31-Aug-2009,15.84
1-Sep-2009,15.48
2-Sep-2009,15.39
3-Sep-2009,15.54
4-Sep-2009,15.7
8-Sep-2009,15.9
9-Sep-2009,16.03
10-Sep-2009,16.18
11-Sep-2009,16.2
14-Sep-2009,16.33
15-Sep-2009,16.47
16-Sep-2009,16.83
17-Sep-2009,16.74
18-Sep-2009,16.79
21-Sep-2009,16.71
22-Sep-2009,16.81
23-Sep-2009,16.57
24-Sep-2009,16.33
25-Sep-2009,16.24
28-Sep-2009,16.58
29-Sep-2009,16.58
30-Sep-2009,16.5
1-Oct-2009,16.09
2-Oct-2009,15.96
5-Oct-2009,16.24
6-Oct-2009,16.46
7-Oct-2009,16.5
8-Oct-2009,16.66
9-Oct-2009,16.78
12-Oct-2009,16.81
13-Oct-2009,16.73
14-Oct-2009,17.01
15-Oct-2009,17.11
16-Oct-2009,16.98
19-Oct-2009,17.14
20-Oct-2009,17
21-Oct-2009,16.81
22-Oct-2009,17.01
23-Oct-2009,16.75
26-Oct-2009,16.53
27-Oct-2009,16.41
28-Oct-2009,15.96
29-Oct-2009,16.39
30-Oct-2009,15.94
2-Nov-2009,16.01
3-Nov-2009,16.1
4-Nov-2009,16.07
5-Nov-2009,16.39
6-Nov-2009,16.37
9-Nov-2009,16.72
10-Nov-2009,16.71
11-Nov-2009,16.8
12-Nov-2009,16.58
13-Nov-2009,16.7
16-Nov-2009,16.97
17-Nov-2009,16.97
18-Nov-2009,16.9
19-Nov-2009,16.64
20-Nov-2009,16.64
23-Nov-2009,16.83
24-Nov-2009,16.81
25-Nov-2009,16.91
27-Nov-2009,16.62
30-Nov-2009,16.71
1-Dec-2009,16.9
2-Dec-2009,16.98
3-Dec-2009,16.79
4-Dec-2009,16.99
7-Dec-2009,16.96
8-Dec-2009,16.83
9-Dec-2009,16.84
10-Dec-2009,16.94
11-Dec-2009,17.1
14-Dec-2009,17.29
15-Dec-2009,17.19
16-Dec-2009,17.25
17-Dec-2009,17.09
18-Dec-2009,17.19
21-Dec-2009,17.37
22-Dec-2009,17.46
23-Dec-2009,17.55
24-Dec-2009,17.64
28-Dec-2009,17.64
29-Dec-2009,17.64
30-Dec-2009,17.63
31-Dec-2009,17.45
4-Jan-2010,17.66
5-Jan-2010,17.66
6-Jan-2010,17.72
7-Jan-2010,17.8
8-Jan-2010,17.86
11-Jan-2010,17.92
12-Jan-2010,17.74
13-Jan-2010,17.94
14-Jan-2010,17.98
15-Jan-2010,17.77
19-Jan-2010,18.01
20-Jan-2010,17.9
21-Jan-2010,17.67
22-Jan-2010,17.35
25-Jan-2010,17.44
26-Jan-2010,17.38
27-Jan-2010,17.44
28-Jan-2010,17.29
29-Jan-2010,17.08
1-Feb-2010,17.33
2-Feb-2010,17.56
3-Feb-2010,17.39
4-Feb-2010,16.91
5-Feb-2010,16.97
8-Feb-2010,16.87
9-Feb-2010,17.07
10-Feb-2010,17.05
11-Feb-2010,17.17
12-Feb-2010,17.19
16-Feb-2010,17.52
17-Feb-2010,17.6
18-Feb-2010,17.73
19-Feb-2010,17.84
22-Feb-2010,17.8
23-Feb-2010,17.61
24-Feb-2010,17.76
25-Feb-2010,17.76
26-Feb-2010,17.8
1-Mar-2010,18.01
2-Mar-2010,18.09
3-Mar-2010,18.1
4-Mar-2010,18.13
5-Mar-2010,18.35
8-Mar-2010,18.37
9-Mar-2010,18.39
10-Mar-2010,18.49
11-Mar-2010,18.56
12-Mar-2010,18.59
15-Mar-2010,18.62
16-Mar-2010,18.78
17-Mar-2010,18.91
18-Mar-2010,18.87
19-Mar-2010,18.77
22-Mar-2010,18.86
23-Mar-2010,18.96
24-Mar-2010,18.87
