date,price
2-Jan-2009,1.87
5-Jan-2009,1.88
6-Jan-2009,1.92
7-Jan-2009,1.86
8-Jan-2009,1.87
9-Jan-2009,1.84
12-Jan-2009,1.79
13-Jan-2009,1.78
14-Jan-2009,1.7
15-Jan-2009,1.68
16-Jan-2009,1.72
20-Jan-2009,1.59
21-Jan-2009,1.65
22-Jan-2009,1.62
23-Jan-2009,1.61
26-Jan-2009,1.62
27-Jan-2009,1.65
28-Jan-2009,1.73
29-Jan-2009,1.66
30-Jan-2009,1.61
2-Feb-2009,1.61
3-Feb-2009,1.62
4-Feb-2009,1.6
5-Feb-2009,1.62
6-Feb-2009,1.68
9-Feb-2009,1.69
10-Feb-2009,1.61
11-Feb-2009,1.63
12-Feb-2009,1.63
13-Feb-2009,1.6
17-Feb-2009,1.52
18-Feb-2009,1.49
19-Feb-2009,1.46
20-Feb-2009,1.43
23-Feb-2009,1.38
24-Feb-2009,1.44
25-Feb-2009,1.42
26-Feb-2009,1.4
27-Feb-2009,1.37
2-Mar-2009,1.3
3-Mar-2009,1.28
4-Mar-2009,1.31
5-Mar-2009,1.23
6-Mar-2009,1.23
9-Mar-2009,1.21
10-Mar-2009,1.3
11-Mar-2009,1.32
12-Mar-2009,1.42
13-Mar-2009,1.4
16-Mar-2009,1.4
17-Mar-2009,1.45
18-Mar-2009,1.52
19-Mar-2009,1.5
20-Mar-2009,1.46
23-Mar-2009,1.58
24-Mar-2009,1.55
25-Mar-2009,1.57
26-Mar-2009,1.62
27-Mar-2009,1.58
30-Mar-2009,1.52
31-Mar-2009,1.54
1-Apr-2009,1.58
2-Apr-2009,1.63
3-Apr-2009,1.64
6-Apr-2009,1.62
7-Apr-2009,1.59
8-Apr-2009,1.62
9-Apr-2009,1.71
13-Apr-2009,1.74
14-Apr-2009,1.7
15-Apr-2009,1.74
16-Apr-2009,1.76
17-Apr-2009,1.76
20-Apr-2009,1.67
21-Apr-2009,1.71
22-Apr-2009,1.7
23-Apr-2009,1.72
24-Apr-2009,1.75
27-Apr-2009,1.75
28-Apr-2009,1.74
29-Apr-2009,1.79
30-Apr-2009,1.8
1-May-2009,1.81
4-May-2009,1.89
5-May-2009,1.89
6-May-2009,1.94
7-May-2009,1.93
8-May-2009,2
11-May-2009,1.96
12-May-2009,1.96
13-May-2009,1.9
14-May-2009,1.92
15-May-2009,1.9
18-May-2009,1.96
19-May-2009,1.98
20-May-2009,1.96
21-May-2009,1.93
22-May-2009,1.93
26-May-2009,1.98
27-May-2009,1.93
28-May-2009,1.97
29-May-2009,2.02
1-Jun-2009,2.07
2-Jun-2009,2.09
3-Jun-2009,2.05
4-Jun-2009,2.07
5-Jun-2009,2.05
8-Jun-2009,2.03
9-Jun-2009,2.05
10-Jun-2009,2.04
11-Jun-2009,2.06
12-Jun-2009,2.07
15-Jun-2009,2.03
16-Jun-2009,2.01
17-Jun-2009,2
18-Jun-2009,2
19-Jun-2009,2.02
22-Jun-2009,1.95
23-Jun-2009,1.96
24-Jun-2009,1.97
25-Jun-2009,2.03
26-Jun-2009,2.03
29-Jun-2009,2.05
30-Jun-2009,2.03
1-Jul-2009,2.05
2-Jul-2009,1.99
6-Jul-2009,1.99
7-Jul-2009,1.95
8-Jul-2009,1.95
9-Jul-2009,1.96
10-Jul-2009,1.95
13-Jul-2009,2
14-Jul-2009,2.01
15-Jul-2009,2.06
16-Jul-2009,2.09
17-Jul-2009,2.09
20-Jul-2009,2.11
21-Jul-2009,2.12
22-Jul-2009,2.13
23-Jul-2009,2.18
24-Jul-2009,2.19
27-Jul-2009,2.22
28-Jul-2009,2.22
29-Jul-2009,2.21
30-Jul-2009,2.25
31-Jul-2009,2.28
3-Aug-2009,2.32
4-Aug-2009,2.33
5-Aug-2009,2.34
6-Aug-2009,2.34
7-Aug-2009,2.38
10-Aug-2009,2.39
11-Aug-2009,2.35
12-Aug-2009,2.39
13-Aug-2009,2.42
14-Aug-2009,2.4
17-Aug-2009,2.34
18-Aug-2009,2.37
19-Aug-2009,2.39
20-Aug-2009,2.42
21-Aug-2009,2.47
24-Aug-2009,2.48
25-Aug-2009,2.5
26-Aug-2009,2.49
27-Aug-2009,2.52
28-Aug-2009,2.53
31-Aug-2009,2.5
1-Sep-2009,2.43
2-Sep-2009,2.42
3-Sep-2009,2.46
4-Sep-2009,2.49
8-Sep-2009,2.5
9-Sep-2009,2.53
10-Sep-2009,2.58
11-Sep-2009,2.59
14-Sep-2009,2.6
15-Sep-2009,2.61
16-Sep-2009,2.67
17-Sep-2009,2.67
18-Sep-2009,2.66
21-Sep-2009,2.65
22-Sep-2009,2.69
23-Sep-2009,2.66
24-Sep-2009,2.63
25-Sep-2009,2.61
28-Sep-2009,2.68
29-Sep-2009,2.68
30-Sep-2009,2.66
1-Oct-2009,2.59
2-Oct-2009,2.58
5-Oct-2009,2.64
6-Oct-2009,2.68
7-Oct-2009,2.69
8-Oct-2009,2.71
9-Oct-2009,2.71
12-Oct-2009,2.73
13-Oct-2009,2.73
14-Oct-2009,2.79
15-Oct-2009,2.79
16-Oct-2009,2.76
19-Oct-2009,2.78
20-Oct-2009,2.77
21-Oct-2009,2.74
22-Oct-2009,2.78
23-Oct-2009,2.74
26-Oct-2009,2.69
27-Oct-2009,2.69
28-Oct-2009,2.62
29-Oct-2009,2.69
30-Oct-2009,2.61
2-Nov-2009,2.62
3-Nov-2009,2.63
4-Nov-2009,2.63
5-Nov-2009,2.68
6-Nov-2009,2.69
9-Nov-2009,2.76
10-Nov-2009,2.76
11-Nov-2009,2.77
12-Nov-2009,2.74
13-Nov-2009,2.76
16-Nov-2009,2.81
17-Nov-2009,2.82
18-Nov-2009,2.82
19-Nov-2009,2.78
20-Nov-2009,2.78
23-Nov-2009,2.81
24-Nov-2009,2.81
25-Nov-2009,2.82
27-Nov-2009,2.77
30-Nov-2009,2.78
1-Dec-2009,2.81
2-Dec-2009,2.82
3-Dec-2009,2.79
4-Dec-2009,2.81
7-Dec-2009,2.81
8-Dec-2009,2.79
9-Dec-2009,2.8
10-Dec-2009,2.81
11-Dec-2009,2.83
14-Dec-2009,2.85
15-Dec-2009,2.83
16-Dec-2009,2.84
17-Dec-2009,2.81
18-Dec-2009,2.83
21-Dec-2009,2.85
22-Dec-2009,2.86
23-Dec-2009,2.86
24-Dec-2009,2.87
28-Dec-2009,2.87
29-Dec-2009,2.87
30-Dec-2009,2.87
31-Dec-2009,2.84
4-Jan-2010,2.9
5-Jan-2010,2.94
6-Jan-2010,2.95
7-Jan-2010,2.98
8-Jan-2010,3
11-Jan-2010,3.01
12-Jan-2010,2.99
13-Jan-2010,3.01
14-Jan-2010,3.02
15-Jan-2010,2.99
19-Jan-2010,3.02
20-Jan-2010,3
21-Jan-2010,2.95
22-Jan-2010,2.88
25-Jan-2010,2.89
26-Jan-2010,2.88
27-Jan-2010,2.89
28-Jan-2010,2.86
29-Jan-2010,2.84
1-Feb-2010,2.88
2-Feb-2010,2.92
3-Feb-2010,2.9
4-Feb-2010,2.81
5-Feb-2010,2.81
8-Feb-2010,2.79
9-Feb-2010,2.82
10-Feb-2010,2.81
11-Feb-2010,2.84
12-Feb-2010,2.84
16-Feb-2010,2.9
17-Feb-2010,2.91
18-Feb-2010,2.93
19-Feb-2010,2.94
22-Feb-2010,2.94
23-Feb-2010,2.92
24-Feb-2010,2.95
25-Feb-2010,2.95
26-Feb-2010,2.96
1-Mar-2010,3
2-Mar-2010,3.01
3-Mar-2010,3.01
4-Mar-2010,3.03
5-Mar-2010,3.07
8-Mar-2010,3.07
9-Mar-2010,3.09
10-Mar-2010,3.11
11-Mar-2010,3.13
12-Mar-2010,3.13
15-Mar-2010,3.13
16-Mar-2010,3.17
17-Mar-2010,3.19
18-Mar-2010,3.18
19-Mar-2010,3.15
22-Mar-2010,3.17
23-Mar-2010,3.21
24-Mar-2010,3.17
25-Mar-2010,3.16
26-Mar-2010,3.17
29-Mar-2010,3.19
30-Mar-2010,3.19
31-Mar-2010,3.18
1-Apr-2010,3.21
5-Apr-2010,3.23
6-Apr-2010,3.24
7-Apr-2010,3.24
8-Apr-2010,3.25
9-Apr-2010,3.28
12-Apr-2010,3.3
13-Apr-2010,3.3
14-Apr-2010,3.34
15-Apr-2010,3.35
16-Apr-2010,3.31
19-Apr-2010,3.32
20-Apr-2010,3.35
21-Apr-2010,3.35
22-Apr-2010,3.37
23-Apr-2010,3.39
26-Apr-2010,3.37
27-Apr-2010,3.3
28-Apr-2010,3.31
29-Apr-2010,3.37
30-Apr-2010,3.31
3-May-2010,3.35
4-May-2010,3.27
5-May-2010,3.24
6-May-2010,3.13
7-May-2010,3.05
10-May-2010,3.21
11-May-2010,3.21
12-May-2010,3.26
13-May-2010,3.23
14-May-2010,3.17
17-May-2010,3.17
18-May-2010,3.13
19-May-2010,3.11
20-May-2010,2.98
21-May-2010,3.03
24-May-2010,2.98
25-May-2010,2.96
26-May-2010,2.96
27-May-2010,3.06
28-May-2010,3.03
1-Jun-2010,2.96
2-Jun-2010,3.04
3-Jun-2010,3.05
4-Jun-2010,2.95
7-Jun-2010,2.91
8-Jun-2010,2.93
9-Jun-2010,2.92
10-Jun-2010,3
11-Jun-2010,3.04
14-Jun-2010,3.03
15-Jun-2010,3.1
16-Jun-2010,3.1
17-Jun-2010,3.11
18-Jun-2010,3.12
21-Jun-2010,3.11
22-Jun-2010,3.07
23-Jun-2010,3.06
24-Jun-2010,3.01
25-Jun-2010,3.03
28-Jun-2010,3.03
29-Jun-2010,2.93
30-Jun-2010,2.9
1-Jul-2010,2.89
2-Jul-2010,2.86
6-Jul-2010,2.88
7-Jul-2010,2.97
8-Jul-2010,3.01
9-Jul-2010,3.03
12-Jul-2010,3.03
13-Jul-2010,3.09
14-Jul-2010,3.09
15-Jul-2010,3.09
16-Jul-2010,3.01
19-Jul-2010,3.02
20-Jul-2010,3.06
21-Jul-2010,3.03
22-Jul-2010,3.1
23-Jul-2010,3.13
26-Jul-2010,3.17
27-Jul-2010,3.17
28-Jul-2010,3.15
29-Jul-2010,3.14
30-Jul-2010,3.15
2-Aug-2010,3.22
3-Aug-2010,3.21
4-Aug-2010,3.22
5-Aug-2010,3.22
6-Aug-2010,3.22
9-Aug-2010,3.24
10-Aug-2010,3.22
11-Aug-2010,3.13
12-Aug-2010,3.1
13-Aug-2010,3.09
16-Aug-2010,3.1
17-Aug-2010,3.14
18-Aug-2010,3.15
19-Aug-2010,3.09
20-Aug-2010,3.08
23-Aug-2010,3.06
24-Aug-2010,3.03
25-Aug-2010,3.04
26-Aug-2010,3.02
27-Aug-2010,3.06
30-Aug-2010,3.02
31-Aug-2010,3.03
1-Sep-2010,3.11
2-Sep-2010,3.15
3-Sep-2010,3.18
7-Sep-2010,3.15
8-Sep-2010,3.17
9-Sep-2010,3.17
10-Sep-2010,3.18
13-Sep-2010,3.24
14-Sep-2010,3.24
15-Sep-2010,3.24
16-Sep-2010,3.23
17-Sep-2010,3.24
20-Sep-2010,3.3
21-Sep-2010,3.3
22-Sep-2010,3.28
23-Sep-2010,3.25
24-Sep-2010,3.32
27-Sep-2010,3.31
28-Sep-2010,3.34
29-Sep-2010,3.33
30-Sep-2010,3.32
1-Oct-2010,3.35
4-Oct-2010,3.32
5-Oct-2010,3.4
6-Oct-2010,3.41
7-Oct-2010,3.41
8-Oct-2010,3.44
11-Oct-2010,3.45
12-Oct-2010,3.46
13-Oct-2010,3.49
14-Oct-2010,3.46
15-Oct-2010,3.45
18-Oct-2010,3.49
19-Oct-2010,3.43
20-Oct-2010,3.48
21-Oct-2010,3.47
22-Oct-2010,3.48
25-Oct-2010,3.49
26-Oct-2010,3.48
27-Oct-2010,3.46
28-Oct-2010,3.47
29-Oct-2010,3.48
1-Nov-2010,3.48
2-Nov-2010,3.51
3-Nov-2010,3.53
4-Nov-2010,3.62
5-Nov-2010,3.63
8-Nov-2010,3.61
9-Nov-2010,3.57
10-Nov-2010,3.59
11-Nov-2010,3.58
12-Nov-2010,3.52
15-Nov-2010,3.5
16-Nov-2010,3.45
17-Nov-2010,3.45
18-Nov-2010,3.5
19-Nov-2010,3.51
22-Nov-2010,3.51
23-Nov-2010,3.46
24-Nov-2010,3.5
26-Nov-2010,3.47
29-Nov-2010,3.47
30-Nov-2010,3.45
1-Dec-2010,3.51
2-Dec-2010,3.55
3-Dec-2010,3.57
6-Dec-2010,3.59
7-Dec-2010,3.57
8-Dec-2010,3.57
9-Dec-2010,3.58
10-Dec-2010,3.6
13-Dec-2010,3.6
14-Dec-2010,3.58
15-Dec-2010,3.55
16-Dec-2010,3.59
17-Dec-2010,3.61
20-Dec-2010,3.62
21-Dec-2010,3.66
22-Dec-2010,3.67
23-Dec-2010,3.66
27-Dec-2010,3.67
28-Dec-2010,3.65
29-Dec-2010,3.68
30-Dec-2010,3.68
31-Dec-2010,3.69
3-Jan-2011,3.74
4-Jan-2011,3.74
5-Jan-2011,3.74
6-Jan-2011,3.73
7-Jan-2011,3.74
10-Jan-2011,3.74
11-Jan-2011,3.74
12-Jan-2011,3.78
13-Jan-2011,3.78
14-Jan-2011,3.81
18-Jan-2011,3.81
19-Jan-2011,3.77
20-Jan-2011,3.75
21-Jan-2011,3.76
24-Jan-2011,3.78
25-Jan-2011,3.8
26-Jan-2011,3.81
27-Jan-2011,3.83
28-Jan-2011,3.76
31-Jan-2011,3.76
1-Feb-2011,3.85
2-Feb-2011,3.83
3-Feb-2011,3.84
4-Feb-2011,3.84
7-Feb-2011,3.87
8-Feb-2011,3.88
9-Feb-2011,3.87
10-Feb-2011,3.86
11-Feb-2011,3.9
14-Feb-2011,3.91
15-Feb-2011,3.9
16-Feb-2011,3.94
17-Feb-2011,3.96
18-Feb-2011,3.98
22-Feb-2011,3.9
23-Feb-2011,3.86
24-Feb-2011,3.86
25-Feb-2011,3.91
28-Feb-2011,3.94
1-Mar-2011,3.89
2-Mar-2011,3.9
3-Mar-2011,3.96
4-Mar-2011,3.94
7-Mar-2011,3.9
8-Mar-2011,3.94
9-Mar-2011,3.95
10-Mar-2011,3.88
11-Mar-2011,3.91
14-Mar-2011,3.88
15-Mar-2011,3.84
16-Mar-2011,3.77
17-Mar-2011,3.81
18-Mar-2011,3.83
21-Mar-2011,3.89
22-Mar-2011,3.87
23-Mar-2011,3.89
24-Mar-2011,3.91
25-Mar-2011,3.93
28-Mar-2011,3.91
29-Mar-2011,3.93
30-Mar-2011,3.98
31-Mar-2011,3.97
1-Apr-2011,4
4-Apr-2011,4.01
5-Apr-2011,4.01
6-Apr-2011,4.02
7-Apr-2011,4.02
8-Apr-2011,4
11-Apr-2011,3.99
12-Apr-2011,3.97
13-Apr-2011,3.98
14-Apr-2011,3.97
15-Apr-2011,4
18-Apr-2011,3.96
19-Apr-2011,3.98
20-Apr-2011,4.03
21-Apr-2011,4.05
25-Apr-2011,4.05
26-Apr-2011,4.08
27-Apr-2011,4.12
28-Apr-2011,4.13
29-Apr-2011,4.14
2-May-2011,4.13
3-May-2011,4.11
4-May-2011,4.08
5-May-2011,4.04
6-May-2011,4.06
9-May-2011,4.08
10-May-2011,4.12
11-May-2011,4.08
12-May-2011,4.11
13-May-2011,4.07
16-May-2011,4.04
17-May-2011,4.04
18-May-2011,4.08
19-May-2011,4.09
20-May-2011,4.06
23-May-2011,4.01
24-May-2011,4
25-May-2011,4.01
26-May-2011,4.03
27-May-2011,4.06
31-May-2011,4.1
1-Jun-2011,4
2-Jun-2011,4
3-Jun-2011,3.96
6-Jun-2011,3.91
7-Jun-2011,3.91
8-Jun-2011,3.89
9-Jun-2011,3.91
10-Jun-2011,3.86
13-Jun-2011,3.87
14-Jun-2011,3.92
15-Jun-2011,3.85
16-Jun-2011,3.85
17-Jun-2011,3.87
20-Jun-2011,3.89
21-Jun-2011,3.95
22-Jun-2011,3.92
23-Jun-2011,3.91
24-Jun-2011,3.87
27-Jun-2011,3.9
28-Jun-2011,3.94
29-Jun-2011,3.98
30-Jun-2011,4.02
1-Jul-2011,4.08
5-Jul-2011,4.07
6-Jul-2011,4.08
7-Jul-2011,4.12
8-Jul-2011,4.09
11-Jul-2011,4.02
12-Jul-2011,4
13-Jul-2011,4.01
14-Jul-2011,3.99
15-Jul-2011,4
18-Jul-2011,3.96
19-Jul-2011,4.01
20-Jul-2011,4.01
21-Jul-2011,4.07
22-Jul-2011,4.07
25-Jul-2011,4.04
26-Jul-2011,4.03
27-Jul-2011,3.95
28-Jul-2011,3.93
29-Jul-2011,3.92
1-Aug-2011,3.9
2-Aug-2011,3.8
3-Aug-2011,3.81
4-Aug-2011,3.62
5-Aug-2011,3.61
8-Aug-2011,3.34
9-Aug-2011,3.51
10-Aug-2011,3.36
11-Aug-2011,3.52
12-Aug-2011,3.54
15-Aug-2011,3.61
16-Aug-2011,3.59
17-Aug-2011,3.59
18-Aug-2011,3.43
19-Aug-2011,3.37
22-Aug-2011,3.37
23-Aug-2011,3.46
24-Aug-2011,3.49
25-Aug-2011,3.44
26-Aug-2011,3.5
29-Aug-2011,3.6
30-Aug-2011,3.62
31-Aug-2011,3.64
1-Sep-2011,3.61
2-Sep-2011,3.52
6-Sep-2011,3.49
7-Sep-2011,3.59
8-Sep-2011,3.56
9-Sep-2011,3.47
12-Sep-2011,3.49
13-Sep-2011,3.52
14-Sep-2011,3.56
15-Sep-2011,3.61
16-Sep-2011,3.63
19-Sep-2011,3.61
20-Sep-2011,3.6
21-Sep-2011,3.49
22-Sep-2011,3.39
23-Sep-2011,3.39
26-Sep-2011,3.46
27-Sep-2011,3.49
28-Sep-2011,3.41
29-Sep-2011,3.45
30-Sep-2011,3.38
3-Oct-2011,3.28
4-Oct-2011,3.34
5-Oct-2011,3.4
6-Oct-2011,3.46
7-Oct-2011,3.41
10-Oct-2011,3.53
11-Oct-2011,3.53
12-Oct-2011,3.56
13-Oct-2011,3.55
14-Oct-2011,3.6
17-Oct-2011,3.53
18-Oct-2011,3.61
19-Oct-2011,3.58
20-Oct-2011,3.6
21-Oct-2011,3.67
24-Oct-2011,3.71
25-Oct-2011,3.66
26-Oct-2011,3.71
27-Oct-2011,3.82
28-Oct-2011,3.83
31-Oct-2011,3.78
