date,price
2-Jan-2004,15.13
5-Jan-2004,15.51
6-Jan-2004,15.59
7-Jan-2004,15.65
8-Jan-2004,15.87
9-Jan-2004,15.89
12-Jan-2004,15.91
13-Jan-2004,15.88
14-Jan-2004,15.95
15-Jan-2004,15.86
16-Jan-2004,15.87
20-Jan-2004,15.94
21-Jan-2004,16.02
22-Jan-2004,16.02
23-Jan-2004,16.06
26-Jan-2004,16.22
27-Jan-2004,16.12
28-Jan-2004,15.78
29-Jan-2004,15.62
30-Jan-2004,15.69
2-Feb-2004,15.71
3-Feb-2004,15.7
4-Feb-2004,15.49
5-Feb-2004,15.59
6-Feb-2004,15.88
9-Feb-2004,15.98
10-Feb-2004,16.04
11-Feb-2004,16.29
12-Feb-2004,16.26
13-Feb-2004,16.22
17-Feb-2004,16.45
18-Feb-2004,16.38
19-Feb-2004,16.22
20-Feb-2004,16.06
23-Feb-2004,15.9
24-Feb-2004,15.84
25-Feb-2004,15.85
26-Feb-2004,15.88
27-Feb-2004,15.99
1-Mar-2004,16.31
2-Mar-2004,16.21
3-Mar-2004,16.14
4-Mar-2004,16.38
5-Mar-2004,16.39
8-Mar-2004,16.22
9-Mar-2004,16.1
10-Mar-2004,15.72
11-Mar-2004,15.49
12-Mar-2004,15.76
15-Mar-2004,15.37
16-Mar-2004,15.54
17-Mar-2004,15.83
18-Mar-2004,15.74
19-Mar-2004,15.67
22-Mar-2004,15.28
23-Mar-2004,15.28
24-Mar-2004,15.26
25-Mar-2004,15.62
26-Mar-2004,15.64
29-Mar-2004,15.82
30-Mar-2004,15.93
31-Mar-2004,15.98
1-Apr-2004,16.23
2-Apr-2004,16.38
5-Apr-2004,16.48
6-Apr-2004,16.47
7-Apr-2004,16.44
8-Apr-2004,16.58
12-Apr-2004,16.62
13-Apr-2004,16.29
14-Apr-2004,16.2
15-Apr-2004,16.09
16-Apr-2004,16.31
19-Apr-2004,16.52
20-Apr-2004,16.34
21-Apr-2004,16.46
22-Apr-2004,16.73
23-Apr-2004,16.58
26-Apr-2004,16.52
27-Apr-2004,16.5
28-Apr-2004,16.13
29-Apr-2004,15.92
30-Apr-2004,15.66
3-May-2004,15.91
4-May-2004,16.06
5-May-2004,16.24
6-May-2004,16.02
7-May-2004,15.74
10-May-2004,15.26
11-May-2004,15.52
12-May-2004,15.53
13-May-2004,15.49
14-May-2004,15.35
17-May-2004,15.08
18-May-2004,15.37
19-May-2004,15.56
20-May-2004,15.56
21-May-2004,15.68
24-May-2004,15.87
25-May-2004,16.12
26-May-2004,16.16
27-May-2004,16.27
28-May-2004,16.28
1-Jun-2004,16.28
