date,price
3-Jan-2011,6.06
4-Jan-2011,6.07
5-Jan-2011,6.07
6-Jan-2011,6.07
7-Jan-2011,6.07
10-Jan-2011,6.07
11-Jan-2011,6.09
12-Jan-2011,6.15
13-Jan-2011,6.15
14-Jan-2011,6.19
18-Jan-2011,6.2
19-Jan-2011,6.14
20-Jan-2011,6.1
21-Jan-2011,6.13
24-Jan-2011,6.17
25-Jan-2011,6.17
26-Jan-2011,6.2
27-Jan-2011,6.21
28-Jan-2011,6.1
31-Jan-2011,6.1
1-Feb-2011,6.24
2-Feb-2011,6.22
3-Feb-2011,6.23
4-Feb-2011,6.24
7-Feb-2011,6.28
8-Feb-2011,6.28
9-Feb-2011,6.28
10-Feb-2011,6.27
11-Feb-2011,6.32
14-Feb-2011,6.33
15-Feb-2011,6.33
16-Feb-2011,6.36
17-Feb-2011,6.4
18-Feb-2011,6.42
22-Feb-2011,6.31
23-Feb-2011,6.26
24-Feb-2011,6.25
25-Feb-2011,6.34
28-Feb-2011,6.38
1-Mar-2011,6.27
2-Mar-2011,6.28
3-Mar-2011,6.38
4-Mar-2011,6.35
7-Mar-2011,6.3
8-Mar-2011,6.35
9-Mar-2011,6.35
10-Mar-2011,6.24
11-Mar-2011,6.3
14-Mar-2011,6.26
15-Mar-2011,6.17
16-Mar-2011,6.07
17-Mar-2011,6.14
18-Mar-2011,6.17
21-Mar-2011,6.26
22-Mar-2011,6.24
23-Mar-2011,6.26
24-Mar-2011,6.31
25-Mar-2011,6.33
28-Mar-2011,6.3
29-Mar-2011,6.35
30-Mar-2011,6.4
31-Mar-2011,6.39
1-Apr-2011,6.43
4-Apr-2011,6.45
5-Apr-2011,6.43
6-Apr-2011,6.45
7-Apr-2011,6.45
8-Apr-2011,6.43
11-Apr-2011,6.41
12-Apr-2011,6.37
13-Apr-2011,6.38
14-Apr-2011,6.38
15-Apr-2011,6.44
18-Apr-2011,6.35
19-Apr-2011,6.4
20-Apr-2011,6.49
21-Apr-2011,6.52
25-Apr-2011,6.52
26-Apr-2011,6.56
27-Apr-2011,6.62
28-Apr-2011,6.65
29-Apr-2011,6.67
2-May-2011,6.66
3-May-2011,6.62
4-May-2011,6.58
5-May-2011,6.52
6-May-2011,6.53
9-May-2011,6.57
10-May-2011,6.63
11-May-2011,6.56
12-May-2011,6.6
13-May-2011,6.53
16-May-2011,6.49
17-May-2011,6.48
18-May-2011,6.55
19-May-2011,6.58
20-May-2011,6.52
23-May-2011,6.44
24-May-2011,6.43
25-May-2011,6.45
26-May-2011,6.49
27-May-2011,6.52
31-May-2011,6.59
1-Jun-2011,6.42
2-Jun-2011,6.45
3-Jun-2011,6.36
6-Jun-2011,6.31
7-Jun-2011,6.3
8-Jun-2011,6.26
9-Jun-2011,6.31
10-Jun-2011,6.21
13-Jun-2011,6.24
14-Jun-2011,6.33
15-Jun-2011,6.19
16-Jun-2011,6.19
17-Jun-2011,6.21
20-Jun-2011,6.25
21-Jun-2011,6.33
22-Jun-2011,6.29
23-Jun-2011,6.27
24-Jun-2011,6.2
27-Jun-2011,6.26
28-Jun-2011,6.34
29-Jun-2011,6.41
30-Jun-2011,6.48
1-Jul-2011,6.58
5-Jul-2011,6.6
6-Jul-2011,6.6
7-Jul-2011,6.67
8-Jul-2011,6.63
11-Jul-2011,6.5
12-Jul-2011,6.45
13-Jul-2011,6.47
14-Jul-2011,6.45
15-Jul-2011,6.49
18-Jul-2011,6.42
19-Jul-2011,6.52
20-Jul-2011,6.52
21-Jul-2011,6.62
22-Jul-2011,6.63
25-Jul-2011,6.6
26-Jul-2011,6.57
27-Jul-2011,6.43
28-Jul-2011,6.42
29-Jul-2011,6.4
1-Aug-2011,6.36
2-Aug-2011,6.17
3-Aug-2011,6.2
4-Aug-2011,5.91
5-Aug-2011,5.9
8-Aug-2011,5.42
9-Aug-2011,5.74
10-Aug-2011,5.48
11-Aug-2011,5.74
12-Aug-2011,5.78
15-Aug-2011,5.91
16-Aug-2011,5.84
17-Aug-2011,5.84
18-Aug-2011,5.57
19-Aug-2011,5.46
22-Aug-2011,5.44
23-Aug-2011,5.59
24-Aug-2011,5.62
25-Aug-2011,5.57
26-Aug-2011,5.66
29-Aug-2011,5.8
30-Aug-2011,5.82
31-Aug-2011,5.87
1-Sep-2011,5.83
2-Sep-2011,5.69
6-Sep-2011,5.66
7-Sep-2011,5.81
8-Sep-2011,5.76
9-Sep-2011,5.62
12-Sep-2011,5.64
13-Sep-2011,5.67
14-Sep-2011,5.75
15-Sep-2011,5.84
16-Sep-2011,5.89
19-Sep-2011,5.84
20-Sep-2011,5.83
21-Sep-2011,5.63
22-Sep-2011,5.47
23-Sep-2011,5.47
26-Sep-2011,5.59
27-Sep-2011,5.63
28-Sep-2011,5.51
29-Sep-2011,5.55
30-Sep-2011,5.41
3-Oct-2011,5.24
4-Oct-2011,5.34
5-Oct-2011,5.44
6-Oct-2011,5.54
7-Oct-2011,5.51
10-Oct-2011,5.68
11-Oct-2011,5.67
12-Oct-2011,5.72
13-Oct-2011,5.72
14-Oct-2011,5.81
17-Oct-2011,5.71
18-Oct-2011,5.85
19-Oct-2011,5.78
20-Oct-2011,5.79
21-Oct-2011,5.91
24-Oct-2011,5.97
25-Oct-2011,5.9
26-Oct-2011,5.96
27-Oct-2011,6.15
28-Oct-2011,6.18
31-Oct-2011,6.06
1-Nov-2011,5.95
2-Nov-2011,6
3-Nov-2011,6.09
4-Nov-2011,6.07
7-Nov-2011,6.11
8-Nov-2011,6.18
9-Nov-2011,5.96
10-Nov-2011,5.99
11-Nov-2011,6.11
14-Nov-2011,6.07
15-Nov-2011,6.07
16-Nov-2011,5.96
17-Nov-2011,5.87
18-Nov-2011,5.86
21-Nov-2011,5.74
22-Nov-2011,5.71
