date,price
2-Jan-2009,3.66
5-Jan-2009,3.74
6-Jan-2009,3.78
7-Jan-2009,3.69
8-Jan-2009,3.69
9-Jan-2009,3.62
12-Jan-2009,3.55
13-Jan-2009,3.54
14-Jan-2009,3.39
15-Jan-2009,3.37
16-Jan-2009,3.42
20-Jan-2009,3.32
21-Jan-2009,3.38
22-Jan-2009,3.36
23-Jan-2009,3.36
26-Jan-2009,3.4
27-Jan-2009,3.44
28-Jan-2009,3.58
29-Jan-2009,3.48
30-Jan-2009,3.38
2-Feb-2009,3.34
3-Feb-2009,3.41
4-Feb-2009,3.41
5-Feb-2009,3.45
6-Feb-2009,3.57
9-Feb-2009,3.58
10-Feb-2009,3.39
11-Feb-2009,3.41
12-Feb-2009,3.41
13-Feb-2009,3.38
17-Feb-2009,3.2
18-Feb-2009,3.18
19-Feb-2009,3.15
20-Feb-2009,3.1
23-Feb-2009,2.98
24-Feb-2009,3.07
25-Feb-2009,3.04
26-Feb-2009,2.99
27-Feb-2009,2.93
2-Mar-2009,2.77
3-Mar-2009,2.73
4-Mar-2009,2.76
5-Mar-2009,2.61
6-Mar-2009,2.61
9-Mar-2009,2.56
10-Mar-2009,2.75
11-Mar-2009,2.78
12-Mar-2009,2.89
13-Mar-2009,2.93
16-Mar-2009,2.94
17-Mar-2009,3.03
18-Mar-2009,3.1
19-Mar-2009,3.07
20-Mar-2009,3.01
23-Mar-2009,3.2
24-Mar-2009,3.15
25-Mar-2009,3.17
26-Mar-2009,3.27
27-Mar-2009,3.21
30-Mar-2009,3.09
31-Mar-2009,3.13
1-Apr-2009,3.18
2-Apr-2009,3.28
3-Apr-2009,3.31
6-Apr-2009,3.29
7-Apr-2009,3.22
8-Apr-2009,3.27
9-Apr-2009,3.41
13-Apr-2009,3.44
14-Apr-2009,3.38
15-Apr-2009,3.43
16-Apr-2009,3.48
17-Apr-2009,3.5
20-Apr-2009,3.36
21-Apr-2009,3.42
22-Apr-2009,3.39
23-Apr-2009,3.43
24-Apr-2009,3.49
27-Apr-2009,3.47
28-Apr-2009,3.45
29-Apr-2009,3.53
30-Apr-2009,3.54
1-May-2009,3.56
4-May-2009,3.69
5-May-2009,3.69
6-May-2009,3.76
7-May-2009,3.73
8-May-2009,3.84
11-May-2009,3.77
12-May-2009,3.76
13-May-2009,3.65
14-May-2009,3.69
15-May-2009,3.65
18-May-2009,3.78
19-May-2009,3.79
20-May-2009,3.71
21-May-2009,3.7
22-May-2009,3.7
26-May-2009,3.8
27-May-2009,3.73
28-May-2009,3.8
29-May-2009,3.88
1-Jun-2009,3.98
2-Jun-2009,4.01
3-Jun-2009,3.95
4-Jun-2009,3.99
5-Jun-2009,3.97
