date,price
2-Jan-2004,20.3
5-Jan-2004,20.76
6-Jan-2004,21
7-Jan-2004,21.2
8-Jan-2004,21.3
9-Jan-2004,21.14
12-Jan-2004,21.34
13-Jan-2004,21.08
14-Jan-2004,21.28
15-Jan-2004,21.45
16-Jan-2004,21.73
20-Jan-2004,21.94
21-Jan-2004,21.72
22-Jan-2004,21.71
23-Jan-2004,21.79
26-Jan-2004,22.03
27-Jan-2004,21.92
28-Jan-2004,21.65
29-Jan-2004,21.53
30-Jan-2004,21.55
2-Feb-2004,21.53
3-Feb-2004,21.51
4-Feb-2004,21.2
5-Feb-2004,21.36
6-Feb-2004,21.76
9-Feb-2004,21.8
10-Feb-2004,21.87
11-Feb-2004,22.11
12-Feb-2004,21.78
13-Feb-2004,21.63
17-Feb-2004,21.86
18-Feb-2004,21.8
19-Feb-2004,21.46
20-Feb-2004,21.37
23-Feb-2004,21.02
24-Feb-2004,20.85
25-Feb-2004,21.03
26-Feb-2004,21.2
27-Feb-2004,21.31
1-Mar-2004,21.53
2-Mar-2004,21.4
3-Mar-2004,21.37
4-Mar-2004,21.6
5-Mar-2004,21.54
8-Mar-2004,21.22
9-Mar-2004,21.04
10-Mar-2004,20.79
11-Mar-2004,20.55
12-Mar-2004,20.92
15-Mar-2004,20.53
16-Mar-2004,20.59
17-Mar-2004,20.91
18-Mar-2004,20.92
19-Mar-2004,20.67
22-Mar-2004,20.3
23-Mar-2004,20.39
24-Mar-2004,20.44
25-Mar-2004,21.07
26-Mar-2004,21.18
29-Mar-2004,21.46
30-Mar-2004,21.61
31-Mar-2004,21.55
1-Apr-2004,21.76
2-Apr-2004,22.16
5-Apr-2004,22.41
6-Apr-2004,22.19
7-Apr-2004,22.12
8-Apr-2004,22.11
12-Apr-2004,22.19
13-Apr-2004,21.92
14-Apr-2004,21.76
15-Apr-2004,21.46
16-Apr-2004,21.37
19-Apr-2004,21.61
20-Apr-2004,21.31
21-Apr-2004,21.56
22-Apr-2004,21.91
23-Apr-2004,22.09
26-Apr-2004,21.85
27-Apr-2004,21.53
28-Apr-2004,21.07
29-Apr-2004,20.75
30-Apr-2004,20.33
3-May-2004,20.48
4-May-2004,20.76
5-May-2004,20.88
6-May-2004,20.74
7-May-2004,20.65
10-May-2004,20.41
11-May-2004,20.69
12-May-2004,20.53
13-May-2004,20.49
14-May-2004,20.21
17-May-2004,19.91
18-May-2004,20.08
19-May-2004,20.18
20-May-2004,20.29
21-May-2004,20.53
24-May-2004,20.64
25-May-2004,21.03
26-May-2004,21.2
27-May-2004,21.27
28-May-2004,21.36
1-Jun-2004,21.3
2-Jun-2004,21.23
3-Jun-2004,21.01
4-Jun-2004,21.25
7-Jun-2004,21.73
8-Jun-2004,21.75
9-Jun-2004,21.38
10-Jun-2004,21.45
14-Jun-2004,21.1
15-Jun-2004,21.3
16-Jun-2004,21.27
17-Jun-2004,21.1
18-Jun-2004,21.15
21-Jun-2004,20.99
22-Jun-2004,21.22
23-Jun-2004,21.41
24-Jun-2004,21.38
25-Jun-2004,21.45
28-Jun-2004,21.26
29-Jun-2004,21.48
30-Jun-2004,21.57
1-Jul-2004,21.06
2-Jul-2004,20.88
6-Jul-2004,20.13
7-Jul-2004,20.14
8-Jul-2004,19.77
9-Jul-2004,19.96
12-Jul-2004,19.78
13-Jul-2004,19.73
14-Jul-2004,19.56
15-Jul-2004,19.6
16-Jul-2004,19.23
19-Jul-2004,19.27
20-Jul-2004,19.66
21-Jul-2004,19.12
22-Jul-2004,19.32
23-Jul-2004,18.99
26-Jul-2004,18.78
27-Jul-2004,18.99
28-Jul-2004,18.96
29-Jul-2004,19.36
30-Jul-2004,19.42
2-Aug-2004,19.23
3-Aug-2004,18.8
4-Aug-2004,18.83
5-Aug-2004,18.6
6-Aug-2004,18.23
9-Aug-2004,18.24
10-Aug-2004,18.55
11-Aug-2004,18.13
12-Aug-2004,17.73
13-Aug-2004,17.78
16-Aug-2004,18.01
17-Aug-2004,18.19
18-Aug-2004,18.6
19-Aug-2004,18.3
20-Aug-2004,18.5
23-Aug-2004,18.54
24-Aug-2004,18.41
25-Aug-2004,18.57
26-Aug-2004,18.49
27-Aug-2004,18.63
30-Aug-2004,18.39
31-Aug-2004,18.39
1-Sep-2004,18.5
2-Sep-2004,18.66
3-Sep-2004,18.32
7-Sep-2004,18.44
8-Sep-2004,18.42
9-Sep-2004,18.62
10-Sep-2004,18.98
13-Sep-2004,19.14
14-Sep-2004,19.17
15-Sep-2004,18.93
16-Sep-2004,19.06
17-Sep-2004,19.13
20-Sep-2004,19.15
21-Sep-2004,19.23
22-Sep-2004,18.98
23-Sep-2004,19.05
24-Sep-2004,18.9
27-Sep-2004,18.77
28-Sep-2004,18.79
29-Sep-2004,19
30-Sep-2004,19.07
1-Oct-2004,19.56
4-Oct-2004,19.77
5-Oct-2004,19.76
6-Oct-2004,19.89
7-Oct-2004,19.71
8-Oct-2004,19.36
11-Oct-2004,19.45
12-Oct-2004,19.33
13-Oct-2004,19.32
14-Oct-2004,19.15
15-Oct-2004,19.17
18-Oct-2004,19.42
19-Oct-2004,19.39
20-Oct-2004,19.43
21-Oct-2004,20
22-Oct-2004,19.65
25-Oct-2004,19.62
26-Oct-2004,19.73
27-Oct-2004,20.28
28-Oct-2004,20.32
29-Oct-2004,20.35
1-Nov-2004,20.45
2-Nov-2004,20.37
3-Nov-2004,20.44
4-Nov-2004,20.74
5-Nov-2004,20.92
8-Nov-2004,20.9
9-Nov-2004,20.77
10-Nov-2004,20.65
11-Nov-2004,20.95
12-Nov-2004,21.18
15-Nov-2004,21.31
16-Nov-2004,21.19
17-Nov-2004,21.45
18-Nov-2004,21.52
19-Nov-2004,21.13
22-Nov-2004,21.28
23-Nov-2004,21.24
24-Nov-2004,21.46
26-Nov-2004,21.43
29-Nov-2004,21.45
30-Nov-2004,21.49
1-Dec-2004,21.94
2-Dec-2004,21.98
3-Dec-2004,22.1
6-Dec-2004,22.17
7-Dec-2004,21.79
8-Dec-2004,21.81
9-Dec-2004,21.74
10-Dec-2004,21.83
13-Dec-2004,22.05
14-Dec-2004,22.14
15-Dec-2004,22.29
16-Dec-2004,22.07
17-Dec-2004,21.98
20-Dec-2004,21.84
21-Dec-2004,22.14
22-Dec-2004,22.25
23-Dec-2004,22.25
27-Dec-2004,22.21
28-Dec-2004,22.37
29-Dec-2004,22.42
30-Dec-2004,22.47
31-Dec-2004,22.48
3-Jan-2005,22.25
4-Jan-2005,21.68
5-Jan-2005,21.48
6-Jan-2005,21.43
7-Jan-2005,21.39
10-Jan-2005,21.44
11-Jan-2005,21.18
12-Jan-2005,21.29
13-Jan-2005,21.15
14-Jan-2005,21.48
18-Jan-2005,21.57
19-Jan-2005,21.2
20-Jan-2005,21.14
21-Jan-2005,20.99
24-Jan-2005,20.7
25-Jan-2005,20.84
26-Jan-2005,21.11
27-Jan-2005,21.23
28-Jan-2005,21.14
31-Jan-2005,21.43
1-Feb-2005,21.6
2-Feb-2005,21.66
3-Feb-2005,21.4
4-Feb-2005,21.7
7-Feb-2005,21.65
8-Feb-2005,21.56
9-Feb-2005,21.23
10-Feb-2005,21.1
11-Feb-2005,21.43
14-Feb-2005,21.53
15-Feb-2005,21.68
16-Feb-2005,21.63
17-Feb-2005,21.47
18-Feb-2005,21.4
22-Feb-2005,21.12
23-Feb-2005,21.1
24-Feb-2005,21.29
25-Feb-2005,21.5
28-Feb-2005,21.38
1-Mar-2005,21.6
2-Mar-2005,21.66
3-Mar-2005,21.48
4-Mar-2005,21.61
7-Mar-2005,21.86
8-Mar-2005,21.7
9-Mar-2005,21.64
10-Mar-2005,21.68
11-Mar-2005,21.55
14-Mar-2005,21.5
15-Mar-2005,21.37
16-Mar-2005,21.15
17-Mar-2005,21.22
18-Mar-2005,21.13
21-Mar-2005,21.17
22-Mar-2005,20.92
23-Mar-2005,20.91
24-Mar-2005,20.97
28-Mar-2005,21.01
29-Mar-2005,20.74
30-Mar-2005,21.12
31-Mar-2005,21.06
1-Apr-2005,20.99
4-Apr-2005,20.98
5-Apr-2005,20.92
6-Apr-2005,20.89
7-Apr-2005,21.15
8-Apr-2005,20.99
11-Apr-2005,20.96
12-Apr-2005,21.09
13-Apr-2005,20.74
14-Apr-2005,20.43
15-Apr-2005,19.85
18-Apr-2005,19.92
19-Apr-2005,20.16
20-Apr-2005,20.02
21-Apr-2005,20.5
22-Apr-2005,20.24
25-Apr-2005,20.41
26-Apr-2005,20.17
27-Apr-2005,20.19
28-Apr-2005,19.85
29-Apr-2005,19.98
2-May-2005,20.07
3-May-2005,20.17
4-May-2005,20.45
5-May-2005,20.38
6-May-2005,20.52
9-May-2005,20.57
10-May-2005,20.37
11-May-2005,20.53
12-May-2005,20.46
13-May-2005,20.59
16-May-2005,20.76
17-May-2005,20.94
18-May-2005,21.38
19-May-2005,21.57
20-May-2005,21.6
23-May-2005,21.69
24-May-2005,21.8
25-May-2005,21.61
26-May-2005,21.84
27-May-2005,21.76
31-May-2005,21.75
1-Jun-2005,21.91
2-Jun-2005,21.92
3-Jun-2005,21.75
6-Jun-2005,21.7
7-Jun-2005,21.69
8-Jun-2005,21.79
9-Jun-2005,21.99
10-Jun-2005,21.79
13-Jun-2005,21.89
14-Jun-2005,21.81
15-Jun-2005,21.92
16-Jun-2005,22.05
17-Jun-2005,21.98
20-Jun-2005,21.97
21-Jun-2005,22.1
22-Jun-2005,22.2
23-Jun-2005,21.91
24-Jun-2005,21.55
27-Jun-2005,21.37
28-Jun-2005,21.69
29-Jun-2005,21.72
30-Jun-2005,21.61
1-Jul-2005,21.65
5-Jul-2005,21.93
6-Jul-2005,22
7-Jul-2005,22.1
8-Jul-2005,22.48
11-Jul-2005,22.78
12-Jul-2005,22.96
13-Jul-2005,23.05
14-Jul-2005,23.05
15-Jul-2005,23.01
18-Jul-2005,22.9
19-Jul-2005,23.22
20-Jul-2005,23.29
21-Jul-2005,23.14
22-Jul-2005,23.14
25-Jul-2005,22.99
26-Jul-2005,23.06
27-Jul-2005,23.21
28-Jul-2005,23.3
29-Jul-2005,23.18
1-Aug-2005,23.19
2-Aug-2005,23.34
3-Aug-2005,23.43
4-Aug-2005,23.19
5-Aug-2005,23.13
8-Aug-2005,23.07
9-Aug-2005,23.23
10-Aug-2005,23.09
11-Aug-2005,23.29
12-Aug-2005,23.19
15-Aug-2005,23.26
16-Aug-2005,22.97
17-Aug-2005,23.07
18-Aug-2005,23.02
19-Aug-2005,23.04
22-Aug-2005,23.05
23-Aug-2005,22.96
24-Aug-2005,22.87
25-Aug-2005,22.88
26-Aug-2005,22.81
29-Aug-2005,22.83
30-Aug-2005,22.79
31-Aug-2005,23.06
1-Sep-2005,23.05
2-Sep-2005,23.06
6-Sep-2005,23.33
7-Sep-2005,23.45
8-Sep-2005,23.53
9-Sep-2005,23.68
12-Sep-2005,23.75
13-Sep-2005,23.75
14-Sep-2005,23.58
15-Sep-2005,23.44
16-Sep-2005,23.5
19-Sep-2005,23.35
20-Sep-2005,23.43
21-Sep-2005,23.04
22-Sep-2005,22.99
23-Sep-2005,23.02
26-Sep-2005,23.13
27-Sep-2005,23.12
28-Sep-2005,23.21
29-Sep-2005,23.59
30-Sep-2005,23.81
3-Oct-2005,23.91
4-Oct-2005,23.66
5-Oct-2005,23.36
6-Oct-2005,23.09
7-Oct-2005,23.15
10-Oct-2005,23.01
11-Oct-2005,22.84
12-Oct-2005,22.6
13-Oct-2005,22.65
14-Oct-2005,22.85
17-Oct-2005,22.89
18-Oct-2005,22.73
19-Oct-2005,22.9
20-Oct-2005,22.74
21-Oct-2005,22.91
24-Oct-2005,23.36
25-Oct-2005,23.26
26-Oct-2005,23.2
27-Oct-2005,22.64
28-Oct-2005,22.77
31-Oct-2005,23.15
1-Nov-2005,23.18
2-Nov-2005,22.93
3-Nov-2005,23.1
4-Nov-2005,23.22
7-Nov-2005,23.35
8-Nov-2005,23.29
9-Nov-2005,23.46
10-Nov-2005,23.61
11-Nov-2005,23.68
14-Nov-2005,23.74
15-Nov-2005,23.74
16-Nov-2005,23.69
17-Nov-2005,23.92
18-Nov-2005,24.08
21-Nov-2005,24.06
22-Nov-2005,24.18
23-Nov-2005,24.13
25-Nov-2005,24.1
28-Nov-2005,23.91
29-Nov-2005,23.9
30-Nov-2005,23.99
1-Dec-2005,24.51
2-Dec-2005,24.58
5-Dec-2005,24.37
6-Dec-2005,24.42
7-Dec-2005,24.46
8-Dec-2005,24.37
9-Dec-2005,24.55
12-Dec-2005,24.59
13-Dec-2005,24.6
14-Dec-2005,24.67
15-Dec-2005,24.59
16-Dec-2005,24.55
19-Dec-2005,24.2
20-Dec-2005,24.16
21-Dec-2005,24.37
22-Dec-2005,24.52
23-Dec-2005,24.53
27-Dec-2005,24.28
28-Dec-2005,24.27
29-Dec-2005,24.23
30-Dec-2005,24.13
3-Jan-2006,24.47
4-Jan-2006,24.84
5-Jan-2006,25.09
6-Jan-2006,25.54
9-Jan-2006,25.78
10-Jan-2006,25.77
11-Jan-2006,26.1
12-Jan-2006,26
13-Jan-2006,26.03
17-Jan-2006,25.82
18-Jan-2006,25.76
19-Jan-2006,26.19
20-Jan-2006,25.52
23-Jan-2006,25.64
24-Jan-2006,25.69
25-Jan-2006,25.69
26-Jan-2006,26.13
27-Jan-2006,26.42
30-Jan-2006,26.4
31-Jan-2006,26.27
1-Feb-2006,26.4
2-Feb-2006,26.12
3-Feb-2006,25.99
6-Feb-2006,25.95
7-Feb-2006,25.79
8-Feb-2006,26.09
9-Feb-2006,25.98
10-Feb-2006,26.16
13-Feb-2006,25.98
14-Feb-2006,26.11
15-Feb-2006,26.32
16-Feb-2006,26.42
17-Feb-2006,26.32
21-Feb-2006,26.06
22-Feb-2006,26.29
23-Feb-2006,26.19
24-Feb-2006,26.27
27-Feb-2006,26.44
28-Feb-2006,26.26
1-Mar-2006,26.77
2-Mar-2006,26.84
3-Mar-2006,26.74
6-Mar-2006,26.66
7-Mar-2006,26.37
8-Mar-2006,26.38
9-Mar-2006,26.27
10-Mar-2006,26.34
13-Mar-2006,26.35
14-Mar-2006,26.58
15-Mar-2006,26.82
16-Mar-2006,26.63
17-Mar-2006,26.81
20-Mar-2006,26.85
21-Mar-2006,26.7
22-Mar-2006,26.76
23-Mar-2006,26.6
24-Mar-2006,26.65
27-Mar-2006,26.65
28-Mar-2006,26.43
29-Mar-2006,26.82
30-Mar-2006,27.08
31-Mar-2006,27.12
3-Apr-2006,27.16
4-Apr-2006,27.28
5-Apr-2006,27.56
6-Apr-2006,27.57
7-Apr-2006,27.32
10-Apr-2006,27.22
11-Apr-2006,27.09
12-Apr-2006,27.08
13-Apr-2006,27.19
17-Apr-2006,27.01
18-Apr-2006,27.55
19-Apr-2006,27.78
20-Apr-2006,27.81
21-Apr-2006,27.64
24-Apr-2006,27.55
25-Apr-2006,27.46
26-Apr-2006,27.44
27-Apr-2006,27.68
28-Apr-2006,27.56
1-May-2006,27.59
2-May-2006,27.79
3-May-2006,27.96
4-May-2006,28.16
5-May-2006,28.24
8-May-2006,28.17
9-May-2006,28.08
10-May-2006,27.81
11-May-2006,27.26
12-May-2006,26.98
15-May-2006,26.75
16-May-2006,26.57
17-May-2006,26.28
18-May-2006,26.14
19-May-2006,26.27
22-May-2006,25.76
23-May-2006,25.58
24-May-2006,25.69
25-May-2006,25.93
26-May-2006,26.08
30-May-2006,25.58
31-May-2006,25.76
1-Jun-2006,26.22
2-Jun-2006,26.19
5-Jun-2006,25.61
6-Jun-2006,25.56
7-Jun-2006,25.37
8-Jun-2006,25.15
9-Jun-2006,25.03
12-Jun-2006,24.53
13-Jun-2006,24.19
14-Jun-2006,24.41
15-Jun-2006,25.2
16-Jun-2006,25.06
19-Jun-2006,24.86
20-Jun-2006,24.67
21-Jun-2006,25.1
22-Jun-2006,24.88
23-Jun-2006,24.83
26-Jun-2006,24.97
27-Jun-2006,24.54
28-Jun-2006,24.51
29-Jun-2006,25.24
30-Jun-2006,25.25
3-Jul-2006,25.44
5-Jul-2006,24.99
6-Jul-2006,24.97
7-Jul-2006,24.69
10-Jul-2006,24.31
11-Jul-2006,24.59
12-Jul-2006,24.23
13-Jul-2006,23.92
14-Jul-2006,23.9
17-Jul-2006,23.89
18-Jul-2006,23.89
19-Jul-2006,24.36
20-Jul-2006,24.06
21-Jul-2006,23.5
24-Jul-2006,24.05
25-Jul-2006,24.18
26-Jul-2006,24.66
27-Jul-2006,24.73
28-Jul-2006,25.07
31-Jul-2006,25.12
1-Aug-2006,24.67
2-Aug-2006,24.85
3-Aug-2006,24.93
4-Aug-2006,24.66
7-Aug-2006,24.51
8-Aug-2006,24.28
9-Aug-2006,24.32
10-Aug-2006,24.5
11-Aug-2006,24.32
14-Aug-2006,24.5
15-Aug-2006,25.25
16-Aug-2006,25.82
17-Aug-2006,25.95
18-Aug-2006,25.91
21-Aug-2006,25.62
22-Aug-2006,25.58
23-Aug-2006,25.42
24-Aug-2006,25.51
25-Aug-2006,25.53
28-Aug-2006,25.76
29-Aug-2006,25.97
30-Aug-2006,26.24
31-Aug-2006,26.19
1-Sep-2006,26.2
5-Sep-2006,26.39
6-Sep-2006,25.81
7-Sep-2006,25.65
8-Sep-2006,25.81
11-Sep-2006,26.08
12-Sep-2006,26.74
13-Sep-2006,26.82
14-Sep-2006,26.9
15-Sep-2006,26.97
18-Sep-2006,27.01
19-Sep-2006,26.87
20-Sep-2006,27.2
21-Sep-2006,26.93
22-Sep-2006,26.79
25-Sep-2006,27.15
26-Sep-2006,27.28
27-Sep-2006,27.27
28-Sep-2006,27.34
29-Sep-2006,27.19
2-Oct-2006,26.97
3-Oct-2006,27
4-Oct-2006,27.37
5-Oct-2006,27.48
6-Oct-2006,27.48
9-Oct-2006,27.51
10-Oct-2006,27.54
11-Oct-2006,27.72
12-Oct-2006,28.1
13-Oct-2006,28.29
16-Oct-2006,28.43
17-Oct-2006,28.24
18-Oct-2006,27.99
19-Oct-2006,27.96
20-Oct-2006,27.94
23-Oct-2006,28.01
24-Oct-2006,27.7
25-Oct-2006,27.91
26-Oct-2006,28.12
27-Oct-2006,27.97
30-Oct-2006,28.25
31-Oct-2006,28.15
1-Nov-2006,27.89
2-Nov-2006,28.03
3-Nov-2006,28.07
6-Nov-2006,28.41
7-Nov-2006,28.45
8-Nov-2006,28.45
9-Nov-2006,28.38
10-Nov-2006,28.63
13-Nov-2006,28.89
14-Nov-2006,29.25
15-Nov-2006,29.26
16-Nov-2006,29.33
17-Nov-2006,29.24
20-Nov-2006,29.37
21-Nov-2006,29.4
22-Nov-2006,29.63
24-Nov-2006,29.61
27-Nov-2006,28.91
28-Nov-2006,29.04
29-Nov-2006,29.33
30-Nov-2006,29.72
1-Dec-2006,29.42
4-Dec-2006,29.81
5-Dec-2006,29.9
6-Dec-2006,29.86
7-Dec-2006,29.62
8-Dec-2006,29.64
11-Dec-2006,29.7
12-Dec-2006,29.52
13-Dec-2006,29.55
14-Dec-2006,29.75
15-Dec-2006,29.79
18-Dec-2006,29.51
19-Dec-2006,29.51
20-Dec-2006,29.63
21-Dec-2006,29.45
22-Dec-2006,29.25
26-Dec-2006,29.39
27-Dec-2006,29.56
28-Dec-2006,29.51
29-Dec-2006,29.4
3-Jan-2007,29.43
4-Jan-2007,29.91
