Date,FBMPX,FBSOX,PRMTX,SLMCX,VPMCX
2004-01-02,29.61,10.11,15.13,20.3,35.26
2004-01-05,29.98,10.28,15.51,20.76,35.76
2004-01-06,29.86,10.28,15.59,21.0,35.96
2004-01-07,29.97,10.26,15.65,21.2,36.12
2004-01-08,30.29,10.29,15.87,21.3,36.38
2004-01-09,30.1,10.22,15.89,21.14,36.14
2004-01-12,30.27,10.25,15.91,21.34,36.42
2004-01-13,30.08,10.13,15.88,21.08,36.24
2004-01-14,30.26,10.24,15.95,21.28,36.5
2004-01-15,30.26,10.21,15.86,21.45,36.65
2004-01-16,30.34,10.22,15.87,21.73,36.95
2004-01-20,30.34,10.18,15.94,21.94,36.94
2004-01-21,30.57,10.15,16.02,21.72,37.17
2004-01-22,30.56,10.22,16.02,21.71,37.07
2004-01-23,30.57,10.28,16.06,21.79,37.05
2004-01-26,30.65,10.34,16.22,22.03,37.33
2004-01-27,30.19,10.28,16.12,21.92,37.05
2004-01-28,29.53,10.13,15.78,21.65,36.46
2004-01-29,29.56,10.19,15.62,21.53,36.48
2004-01-30,29.55,10.2,15.69,21.55,36.54
2004-02-02,29.63,10.13,15.71,21.53,36.59
2004-02-03,29.29,10.09,15.7,21.51,36.54
2004-02-04,28.86,9.97,15.49,21.2,36.14
2004-02-05,28.98,10.0,15.59,21.36,36.13
2004-02-06,29.41,10.12,15.88,21.76,36.77
2004-02-09,29.63,10.11,15.98,21.8,36.79
2004-02-10,30.07,10.14,16.04,21.87,37.01
2004-02-11,30.63,10.25,16.29,22.11,37.5
2004-02-12,30.22,10.16,16.26,21.78,37.3
2004-02-13,29.87,10.15,16.22,21.63,37.0
2004-02-17,30.13,10.2,16.45,21.86,37.41
2004-02-18,29.97,10.11,16.38,21.8,37.55
2004-02-19,29.56,9.98,16.22,21.46,37.5
2004-02-20,29.41,9.89,16.06,21.37,37.29
2004-02-23,28.99,9.77,15.9,21.02,36.99
2004-02-24,28.86,9.82,15.84,20.85,37.01
2004-02-25,28.97,9.85,15.85,21.03,37.27
