Date,FAVAX,PIXAX,PSPTX,PSTKX,VQNPX
2011-01-03,9.39,3.74,6.06,6.02,24.97
2011-01-04,9.36,3.74,6.07,6.02,24.95
2011-01-05,9.43,3.74,6.07,6.05,25.03
2011-01-06,9.39,3.73,6.07,6.04,25.01
2011-01-07,9.37,3.74,6.07,6.03,24.97
2011-01-10,9.36,3.74,6.07,6.02,24.91
2011-01-11,9.4,3.74,6.09,6.04,25.02
2011-01-12,9.5,3.78,6.15,6.1,25.24
2011-01-13,9.47,3.78,6.15,6.1,25.19
2011-01-14,9.56,3.81,6.19,6.14,25.36
2011-01-18,9.56,3.81,6.2,6.16,25.41
2011-01-19,9.39,3.77,6.14,6.09,25.18
2011-01-20,9.37,3.75,6.1,6.08,25.16
2011-01-21,9.4,3.76,6.13,6.1,25.24
2011-01-24,9.44,3.78,6.17,6.14,25.38
2011-01-25,9.44,3.8,6.17,6.13,25.41
2011-01-26,9.51,3.81,6.2,6.16,25.52
2011-01-27,9.54,3.83,6.21,6.18,25.61
2011-01-28,9.36,3.76,6.1,6.06,25.09
2011-01-31,9.45,3.76,6.1,6.06,25.22
2011-02-01,9.61,3.85,6.24,6.22,25.67
2011-02-02,9.58,3.83,6.22,6.21,25.62
2011-02-03,9.59,3.84,6.23,6.22,25.7
2011-02-04,9.61,3.84,6.24,6.25,25.77
2011-02-07,9.68,3.87,6.28,6.28,25.91
2011-02-08,9.74,3.88,6.28,6.31,26.05
2011-02-09,9.71,3.87,6.28,6.3,25.89
2011-02-10,9.75,3.86,6.27,6.3,25.88
2011-02-11,9.83,3.9,6.32,6.34,26.01
2011-02-14,9.86,3.91,6.33,6.35,26.07
2011-02-15,9.83,3.9,6.33,6.34,26.0
2011-02-16,9.91,3.94,6.36,6.37,26.15
2011-02-17,9.94,3.96,6.4,6.4,26.27
2011-02-18,9.94,3.98,6.42,6.42,26.32
2011-02-22,9.68,3.9,6.31,6.29,25.81
2011-02-23,9.6,3.86,6.26,6.24,25.67
2011-02-24,9.61,3.86,6.25,6.23,25.67
2011-02-25,9.75,3.91,6.34,6.31,25.95
2011-02-28,9.79,3.94,6.38,6.35,26.06
2011-03-01,9.61,3.89,6.27,6.23,25.67
2011-03-02,9.65,3.9,6.28,6.25,25.69
2011-03-03,9.84,3.96,6.38,6.37,26.13
2011-03-04,9.76,3.94,6.35,6.33,25.97
2011-03-07,9.66,3.9,6.3,6.27,25.74
2011-03-08,9.79,3.94,6.35,6.33,25.98
2011-03-09,9.78,3.95,6.35,6.32,26.0
2011-03-10,9.58,3.88,6.24,6.2,25.53
2011-03-11,9.67,3.91,6.3,6.26,25.76
2011-03-14,9.61,3.88,6.26,6.22,25.59
2011-03-15,9.51,3.84,6.17,6.13,25.32
2011-03-16,9.34,3.77,6.07,6.02,24.82
2011-03-17,9.46,3.81,6.14,6.1,25.16
2011-03-18,9.53,3.83,6.17,6.13,25.28
2011-03-21,9.65,3.89,6.26,6.23,25.66
2011-03-22,9.6,3.87,6.24,6.2,25.56
2011-03-23,9.61,3.89,6.26,6.22,25.66
2011-03-24,9.7,3.91,6.31,6.28,25.87
2011-03-25,9.75,3.93,6.33,6.31,25.98
2011-03-28,9.73,3.91,6.3,6.28,25.92
2011-03-29,9.82,3.93,6.35,6.33,26.09
2011-03-30,9.88,3.98,6.4,6.38,26.29
2011-03-31,9.86,3.97,6.39,6.37,26.25
2011-04-01,9.93,4.0,6.43,6.41,26.4
2011-04-04,9.94,4.01,6.45,6.42,26.43
2011-04-05,9.96,4.01,6.43,6.41,26.45
2011-04-06,9.97,4.02,6.45,6.43,26.53
2011-04-07,9.94,4.02,6.45,6.43,26.5
2011-04-08,9.91,4.0,6.43,6.41,26.37
2011-04-11,9.87,3.99,6.41,6.39,26.31
2011-04-12,9.78,3.97,6.37,6.33,26.1
2011-04-13,9.79,3.98,6.38,6.33,26.11
2011-04-14,9.78,3.97,6.38,6.34,26.08
2011-04-15,9.84,4.0,6.44,6.38,26.21
2011-04-18,9.7,3.96,6.35,6.3,25.93
2011-04-19,9.78,3.98,6.4,6.34,26.08
2011-04-20,9.9,4.03,6.49,6.43,26.46
2011-04-21,9.94,4.05,6.52,6.46,26.59
2011-04-25,9.91,4.05,6.52,6.46,26.55
2011-04-26,10.0,4.08,6.56,6.51,26.8
2011-04-27,10.05,4.12,6.62,6.56,26.98
2011-04-28,10.1,4.13,6.65,6.58,27.04
2011-04-29,10.12,4.14,6.67,6.6,27.05
2011-05-02,10.08,4.13,6.66,6.59,26.98
2011-05-03,10.01,4.11,6.62,6.56,26.92
2011-05-04,9.94,4.08,6.58,6.51,26.71
2011-05-05,9.88,4.04,6.52,6.46,26.52
2011-05-06,9.91,4.06,6.53,6.47,26.6
2011-05-09,9.96,4.08,6.57,6.51,26.7
2011-05-10,10.06,4.12,6.63,6.56,26.94
2011-05-11,9.93,4.08,6.56,6.49,26.7
2011-05-12,9.95,4.11,6.6,6.53,26.85
2011-05-13,9.86,4.07,6.53,6.46,26.62
2011-05-16,9.8,4.04,6.49,6.42,26.47
2011-05-17,9.8,4.04,6.48,6.42,26.48
2011-05-18,9.91,4.08,6.55,6.48,26.69
2011-05-19,9.93,4.09,6.58,6.51,26.73
2011-05-20,9.84,4.06,6.52,6.44,26.48
2011-05-23,9.71,4.01,6.44,6.37,26.14
2011-05-24,9.71,4.0,6.43,6.36,26.13
2011-05-25,9.76,4.01,6.45,6.38,26.2
2011-05-26,9.83,4.03,6.49,6.42,26.25
2011-05-27,9.89,4.06,6.52,6.44,26.32
2011-05-31,9.98,4.1,6.59,6.52,26.59
2011-06-01,9.73,4.0,6.42,6.36,26.05
2011-06-02,9.72,4.0,6.45,6.36,25.97
2011-06-03,9.62,3.96,6.36,6.29,25.72
2011-06-06,9.48,3.91,6.31,6.23,25.46
2011-06-07,9.49,3.91,6.3,6.23,25.48
2011-06-08,9.43,3.89,6.26,6.19,25.37
2011-06-09,9.51,3.91,6.31,6.24,25.53
2011-06-10,9.37,3.86,6.21,6.15,25.19
2011-06-13,9.38,3.87,6.24,6.16,25.21
2011-06-14,9.52,3.92,6.33,6.25,25.56
2011-06-15,9.33,3.85,6.19,6.12,25.12
2011-06-16,9.33,3.85,6.19,6.13,25.21
2011-06-17,9.37,3.87,6.21,6.15,25.31
2011-06-20,9.41,3.89,6.25,6.19,25.44
2011-06-21,9.55,3.95,6.33,6.27,25.79
2011-06-22,9.49,3.92,6.29,6.22,25.6
2011-06-23,9.46,3.91,6.27,6.21,25.58
2011-06-24,9.33,3.87,6.2,6.14,25.25
2011-06-27,9.42,3.9,6.26,6.19,25.5
2011-06-28,9.56,3.94,6.34,6.28,25.83
2011-06-29,9.65,3.98,6.41,6.34,26.01
2011-06-30,9.74,4.02,6.48,6.4,26.31
2011-07-01,9.89,4.08,6.58,6.5,26.69
2011-07-05,9.87,4.07,6.6,6.51,26.63
2011-07-06,9.86,4.08,6.6,6.5,26.71
2011-07-07,9.96,4.12,6.67,6.58,27.02
2011-07-08,9.89,4.09,6.63,6.53,26.82
2011-07-11,9.67,4.02,6.5,6.41,26.34
2011-07-12,9.62,4.0,6.45,6.37,26.26
2011-07-13,9.66,4.01,6.47,6.39,26.34
2011-07-14,9.58,3.99,6.45,6.36,26.17
2011-07-15,9.62,4.0,6.49,6.4,26.28
2011-07-18,9.53,3.96,6.42,6.32,26.1
2011-07-19,9.69,4.01,6.52,6.43,26.52
2011-07-20,9.69,4.01,6.52,6.42,26.56
2011-07-21,9.86,4.07,6.62,6.53,26.96
2011-07-22,9.86,4.07,6.63,6.53,26.98
2011-07-25,9.79,4.04,6.6,6.49,26.82
2011-07-26,9.76,4.03,6.57,6.46,26.68
2011-07-27,9.53,3.95,6.43,6.32,26.13
2011-07-28,9.49,3.93,6.42,6.31,25.99
2011-07-29,9.44,3.92,6.4,6.27,25.84
2011-08-01,9.4,3.9,6.36,6.24,25.73
2011-08-02,9.13,3.8,6.17,6.07,25.1
2011-08-03,9.18,3.81,6.2,6.1,25.21
2011-08-04,8.66,3.62,5.91,5.81,24.06
2011-08-05,8.6,3.61,5.9,5.8,24.11
2011-08-08,7.94,3.34,5.42,5.37,22.51
2011-08-09,8.38,3.51,5.74,5.66,23.53
2011-08-10,8.01,3.36,5.48,5.41,22.51
2011-08-11,8.38,3.52,5.74,5.64,23.52
2011-08-12,8.43,3.54,5.78,5.68,23.6
2011-08-15,8.64,3.61,5.91,5.8,24.13
2011-08-16,8.53,3.59,5.84,5.76,23.95
2011-08-17,8.55,3.59,5.84,5.76,24.0
2011-08-18,8.14,3.43,5.57,5.52,22.99
2011-08-19,8.01,3.37,5.46,5.42,22.59
2011-08-22,7.99,3.37,5.44,5.41,22.66
2011-08-23,8.27,3.46,5.59,5.58,23.42
2011-08-24,8.38,3.49,5.62,5.64,23.7
2011-08-25,8.25,3.44,5.57,5.57,23.26
2011-08-26,8.38,3.5,5.66,5.66,23.64
2011-08-29,8.64,3.6,5.8,5.82,24.33
2011-08-30,8.66,3.62,5.82,5.81,24.38
2011-08-31,8.71,3.64,5.87,5.88,24.48
2011-09-01,8.59,3.61,5.83,5.8,24.2
2011-09-02,8.35,3.52,5.69,5.63,23.59
2011-09-06,8.27,3.49,5.66,5.59,23.41
2011-09-07,8.54,3.59,5.81,5.76,24.09
2011-09-08,8.44,3.56,5.76,5.7,23.82
2011-09-09,8.2,3.47,5.62,5.55,23.19
2011-09-12,8.24,3.49,5.64,5.57,23.37
2011-09-13,8.32,3.52,5.67,5.61,23.6
2011-09-14,8.43,3.56,5.75,5.69,23.94
2011-09-15,8.58,3.61,5.84,5.8,24.32
2011-09-16,8.61,3.63,5.89,5.84,24.44
2011-09-19,8.5,3.61,5.84,5.76,24.2
2011-09-20,8.48,3.6,5.83,5.76,24.17
2011-09-21,8.21,3.49,5.63,5.55,23.44
2011-09-22,7.94,3.39,5.47,5.38,22.69
2011-09-23,8.01,3.39,5.47,5.41,22.73
2011-09-26,8.2,3.46,5.59,5.54,23.24
2011-09-27,8.3,3.49,5.63,5.6,23.44
2011-09-28,8.09,3.41,5.51,5.49,22.97
2011-09-29,8.19,3.45,5.55,5.52,23.15
2011-09-30,7.98,3.38,5.41,5.37,22.59
2011-10-03,7.7,3.28,5.24,5.18,21.95
2011-10-04,7.9,3.34,5.34,5.3,22.44
2011-10-05,8.05,3.4,5.44,5.41,22.86
2011-10-06,8.24,3.46,5.54,5.52,23.27
2011-10-07,8.12,3.41,5.51,5.5,23.12
2011-10-10,8.42,3.53,5.68,5.68,23.91
2011-10-11,8.41,3.53,5.67,5.68,23.9
2011-10-12,8.52,3.56,5.72,5.72,24.11
2011-10-13,8.47,3.55,5.72,5.72,24.06
2011-10-14,8.62,3.6,5.81,5.82,24.48
2011-10-17,8.42,3.53,5.71,5.7,24.01
2011-10-18,8.64,3.61,5.85,5.84,24.44
2011-10-19,8.52,3.58,5.78,5.76,24.13
2011-10-20,8.59,3.6,5.79,5.77,24.24
2011-10-21,8.76,3.67,5.91,5.9,24.69
2011-10-24,8.89,3.71,5.97,5.96,25.0
2011-10-25,8.69,3.66,5.9,5.86,24.51
2011-10-26,8.82,3.71,5.96,5.92,24.78
2011-10-27,9.17,3.82,6.15,6.15,25.59
2011-10-28,9.18,3.83,6.18,6.16,25.57
2011-10-31,8.9,3.78,6.06,6.0,24.99
2011-11-01,8.63,3.68,5.95,5.87,24.32
2011-11-02,8.79,3.73,6.0,5.92,24.68
2011-11-03,8.95,3.78,6.09,6.03,25.14
2011-11-04,8.88,3.78,6.07,6.0,25.01
2011-11-07,8.94,3.79,6.11,6.03,25.18
2011-11-08,9.05,3.83,6.18,6.11,25.46
2011-11-09,8.67,3.7,5.96,5.88,24.56
2011-11-10,8.77,3.73,5.99,5.92,24.78
2011-11-11,8.94,3.79,6.11,6.05,25.25
2011-11-14,8.82,3.76,6.07,6.0,25.02
2011-11-15,8.85,3.77,6.07,6.0,25.15
2011-11-16,8.72,3.71,5.96,5.9,24.71
2011-11-17,8.57,3.65,5.87,5.81,24.32
2011-11-18,8.58,3.65,5.86,5.81,24.32
2011-11-21,8.44,3.58,5.74,5.69,23.89
2011-11-22,8.38,3.56,5.71,5.65,23.8
2011-11-23,8.18,3.48,5.59,5.52,23.28
2011-11-25,8.16,3.46,5.55,5.5,23.23
2011-11-28,8.41,3.57,5.74,5.68,23.91
2011-11-29,8.44,3.58,5.76,5.71,23.98
2011-11-30,8.85,3.75,6.01,5.97,25.0
2011-12-01,8.82,3.73,6.0,5.96,24.96
2011-12-02,8.85,3.75,6.01,5.97,24.93
2011-12-05,8.97,3.78,6.07,6.03,25.16
2011-12-06,8.98,3.81,6.12,6.03,25.19
2011-12-07,9.01,3.81,6.13,6.07,25.26
2011-12-08,8.78,3.73,6.02,5.94,24.74
2011-12-09,8.94,3.78,6.1,6.04,25.16
2011-12-12,8.79,3.74,6.0,5.93,24.8
2011-12-13,8.71,3.71,5.96,5.89,24.6
2011-12-14,8.61,3.68,5.91,5.82,24.33
2011-12-15,8.65,3.71,5.93,5.85,24.43
2011-12-16,8.69,3.72,5.95,5.85,24.49
2011-12-19,8.57,3.68,5.89,5.78,24.24
2011-12-20,8.85,3.78,6.06,5.96,24.96
2011-12-21,8.89,3.79,6.05,5.97,25.01
2011-12-22,8.99,3.83,6.11,6.02,25.2
2011-12-23,9.07,3.85,6.15,6.09,25.45
2011-12-27,9.05,3.85,6.15,6.09,25.47
2011-12-28,8.93,3.83,6.11,6.02,25.16
2011-12-29,9.05,3.87,6.18,6.08,25.43
2011-12-30,9.0,3.86,6.16,6.06,25.32
2012-01-03,9.17,3.91,6.25,6.14,25.67
2012-01-04,9.17,3.9,6.26,6.16,25.68
2012-01-05,9.21,3.91,6.27,6.17,25.75
2012-01-06,9.18,3.92,6.28,6.18,25.7
2012-01-09,9.22,3.94,6.31,6.18,25.74
2012-01-10,9.31,3.97,6.36,6.24,25.96
2012-01-11,9.33,4.0,6.4,6.25,25.96
2012-01-12,9.34,4.0,6.42,6.28,26.0
2012-01-13,9.29,4.0,6.42,6.26,25.91
2012-01-17,9.3,4.01,6.43,6.27,26.02
2012-01-18,9.42,4.05,6.49,6.33,26.28
2012-01-19,9.47,4.06,6.52,6.37,26.39
2012-01-20,9.49,4.05,6.51,6.37,26.42
2012-01-23,9.49,4.04,6.5,6.38,26.42
2012-01-24,9.48,4.04,6.51,6.38,26.39
2012-01-25,9.54,4.08,6.58,6.44,26.62
2012-01-26,9.5,4.09,6.59,6.42,26.47
2012-01-27,9.48,4.09,6.59,6.4,26.42
2012-01-30,9.43,4.09,6.59,6.39,26.36
2012-01-31,9.44,4.1,6.61,6.4,26.34
2012-02-01,9.55,4.1,6.61,6.4,26.61
2012-02-02,9.56,4.15,6.69,6.47,26.64
2012-02-03,9.71,4.2,6.75,6.55,27.02
2012-02-06,9.69,4.2,6.77,6.55,27.0
2012-02-07,9.7,4.2,6.77,6.57,27.08
2012-02-08,9.72,4.21,6.78,6.59,27.17
2012-02-09,9.72,4.2,6.78,6.59,27.25
2012-02-10,9.65,4.19,6.77,6.56,27.08
2012-02-13,9.71,4.22,6.81,6.6,27.28
