Date,FLMVX,PIXAX,PSTKX,VIVAX,VPCCX
2009-01-02,14.07,1.87,3.66,14.32,8.25
2009-01-05,14.07,1.88,3.74,14.2,8.25
2009-01-06,14.23,1.92,3.78,14.32,8.4
2009-01-07,13.82,1.86,3.69,13.84,8.21
2009-01-08,13.93,1.87,3.69,13.91,8.28
2009-01-09,13.63,1.84,3.62,13.62,8.1
2009-01-12,13.31,1.79,3.55,13.23,7.92
2009-01-13,13.31,1.78,3.54,13.28,7.92
2009-01-14,12.87,1.7,3.39,12.79,7.67
2009-01-15,12.98,1.68,3.37,12.73,7.77
2009-01-16,13.17,1.72,3.42,12.8,7.87
2009-01-20,12.48,1.59,3.32,12.03,7.5
2009-01-21,13.02,1.65,3.38,12.62,7.74
2009-01-22,12.7,1.62,3.36,12.37,7.64
2009-01-23,12.78,1.61,3.36,12.46,7.66
2009-01-26,12.86,1.62,3.4,12.5,7.7
2009-01-27,13.01,1.65,3.44,12.66,7.76
2009-01-28,13.46,1.73,3.58,13.15,7.95
2009-01-29,12.99,1.66,3.48,12.62,7.71
2009-01-30,12.6,1.61,3.38,12.32,7.58
2009-02-02,12.6,1.61,3.34,12.3,7.56
2009-02-03,12.74,1.62,3.41,12.41,7.7
2009-02-04,12.67,1.6,3.41,12.3,7.69
2009-02-05,12.8,1.62,3.45,12.47,7.84
2009-02-06,13.17,1.68,3.57,12.86,8.02
2009-02-09,13.18,1.69,3.58,12.91,8.03
2009-02-10,12.56,1.61,3.39,12.17,7.74
2009-02-11,12.66,1.63,3.41,12.31,7.76
2009-02-12,12.75,1.63,3.41,12.29,7.79
2009-02-13,12.56,1.6,3.38,12.13,7.75
2009-02-17,12.01,1.52,3.2,11.48,7.43
2009-02-18,11.94,1.49,3.18,11.42,7.42
2009-02-19,11.73,1.46,3.15,11.27,7.33
2009-02-20,11.68,1.43,3.1,11.08,7.29
2009-02-23,11.23,1.38,2.98,10.72,7.05
2009-02-24,11.76,1.44,3.07,11.25,7.3
2009-02-25,11.62,1.42,3.04,11.15,7.22
2009-02-26,11.38,1.4,2.99,11.03,7.06
2009-02-27,11.24,1.37,2.93,10.67,6.96
2009-03-02,10.68,1.3,2.77,10.1,6.63
2009-03-03,10.52,1.28,2.73,9.98,6.63
2009-03-04,10.74,1.31,2.76,10.19,6.82
2009-03-05,10.17,1.23,2.61,9.69,6.59
2009-03-06,10.15,1.23,2.61,9.73,6.57
2009-03-09,10.06,1.21,2.56,9.7,6.53
2009-03-10,10.71,1.3,2.75,10.41,6.95
2009-03-11,10.72,1.32,2.78,10.41,7.02
2009-03-12,11.17,1.42,2.89,10.93,7.24
2009-03-13,11.28,1.4,2.93,11.02,7.29
2009-03-16,11.17,1.4,2.94,10.99,7.24
2009-03-17,11.55,1.45,3.03,11.36,7.47
2009-03-18,11.91,1.52,3.1,11.72,7.59
2009-03-19,11.76,1.5,3.07,11.5,7.56
2009-03-20,11.48,1.46,3.01,11.2,7.4
2009-03-23,12.35,1.58,3.2,12.11,7.83
2009-03-24,12.0,1.55,3.15,11.8,7.7
2009-03-25,12.16,1.57,3.17,11.97,7.76
2009-03-26,12.46,1.62,3.27,12.21,8.03
2009-03-27,12.18,1.58,3.21,11.96,7.84
2009-03-30,11.71,1.52,3.09,11.44,7.62
2009-03-31,11.95,1.54,3.13,11.62,7.71
2009-04-01,12.14,1.58,3.18,11.87,7.83
2009-04-02,12.56,1.63,3.28,12.22,8.08
2009-04-03,12.79,1.64,3.31,12.38,8.14
2009-04-06,12.68,1.62,3.29,12.26,8.06
2009-04-07,12.32,1.59,3.22,11.96,7.86
2009-04-08,12.57,1.62,3.27,12.05,8.02
2009-04-09,13.16,1.71,3.41,12.66,8.27
2009-04-13,13.16,1.74,3.44,12.74,8.25
2009-04-14,12.83,1.7,3.38,12.38,8.15
2009-04-15,13.01,1.74,3.43,12.64,8.19
2009-04-16,13.36,1.76,3.48,12.8,8.33
2009-04-17,13.47,1.76,3.5,12.9,8.37
2009-04-20,12.84,1.67,3.36,12.2,8.05
