date,price
2-Jan-2009,14.32
5-Jan-2009,14.2
6-Jan-2009,14.32
7-Jan-2009,13.84
8-Jan-2009,13.91
9-Jan-2009,13.62
12-Jan-2009,13.23
13-Jan-2009,13.28
14-Jan-2009,12.79
15-Jan-2009,12.73
16-Jan-2009,12.8
20-Jan-2009,12.03
21-Jan-2009,12.62
22-Jan-2009,12.37
23-Jan-2009,12.46
26-Jan-2009,12.5
27-Jan-2009,12.66
28-Jan-2009,13.15
29-Jan-2009,12.62
30-Jan-2009,12.32
2-Feb-2009,12.3
3-Feb-2009,12.41
4-Feb-2009,12.3
5-Feb-2009,12.47
6-Feb-2009,12.86
9-Feb-2009,12.91
10-Feb-2009,12.17
11-Feb-2009,12.31
12-Feb-2009,12.29
13-Feb-2009,12.13
17-Feb-2009,11.48
18-Feb-2009,11.42
19-Feb-2009,11.27
20-Feb-2009,11.08
23-Feb-2009,10.72
24-Feb-2009,11.25
25-Feb-2009,11.15
26-Feb-2009,11.03
27-Feb-2009,10.67
2-Mar-2009,10.1
3-Mar-2009,9.98
4-Mar-2009,10.19
5-Mar-2009,9.69
6-Mar-2009,9.73
9-Mar-2009,9.7
10-Mar-2009,10.41
11-Mar-2009,10.41
12-Mar-2009,10.93
13-Mar-2009,11.02
16-Mar-2009,10.99
17-Mar-2009,11.36
18-Mar-2009,11.72
19-Mar-2009,11.5
20-Mar-2009,11.2
23-Mar-2009,12.11
24-Mar-2009,11.8
25-Mar-2009,11.97
26-Mar-2009,12.21
27-Mar-2009,11.96
30-Mar-2009,11.44
31-Mar-2009,11.62
1-Apr-2009,11.87
2-Apr-2009,12.22
3-Apr-2009,12.38
6-Apr-2009,12.26
7-Apr-2009,11.96
8-Apr-2009,12.05
9-Apr-2009,12.66
13-Apr-2009,12.74
14-Apr-2009,12.38
15-Apr-2009,12.64
16-Apr-2009,12.8
17-Apr-2009,12.9
20-Apr-2009,12.2
21-Apr-2009,12.53
22-Apr-2009,12.39
23-Apr-2009,12.55
24-Apr-2009,12.76
27-Apr-2009,12.57
28-Apr-2009,12.53
29-Apr-2009,12.85
30-Apr-2009,12.82
1-May-2009,12.91
