date,price
2-Jan-2009,8.25
5-Jan-2009,8.25
6-Jan-2009,8.4
7-Jan-2009,8.21
8-Jan-2009,8.28
9-Jan-2009,8.1
12-Jan-2009,7.92
13-Jan-2009,7.92
14-Jan-2009,7.67
15-Jan-2009,7.77
16-Jan-2009,7.87
20-Jan-2009,7.5
21-Jan-2009,7.74
22-Jan-2009,7.64
23-Jan-2009,7.66
26-Jan-2009,7.7
27-Jan-2009,7.76
28-Jan-2009,7.95
29-Jan-2009,7.71
30-Jan-2009,7.58
2-Feb-2009,7.56
3-Feb-2009,7.7
4-Feb-2009,7.69
5-Feb-2009,7.84
6-Feb-2009,8.02
9-Feb-2009,8.03
10-Feb-2009,7.74
11-Feb-2009,7.76
12-Feb-2009,7.79
13-Feb-2009,7.75
17-Feb-2009,7.43
18-Feb-2009,7.42
19-Feb-2009,7.33
20-Feb-2009,7.29
23-Feb-2009,7.05
24-Feb-2009,7.3
25-Feb-2009,7.22
26-Feb-2009,7.06
27-Feb-2009,6.96
2-Mar-2009,6.63
3-Mar-2009,6.63
4-Mar-2009,6.82
5-Mar-2009,6.59
6-Mar-2009,6.57
9-Mar-2009,6.53
10-Mar-2009,6.95
11-Mar-2009,7.02
12-Mar-2009,7.24
13-Mar-2009,7.29
16-Mar-2009,7.24
17-Mar-2009,7.47
18-Mar-2009,7.59
19-Mar-2009,7.56
20-Mar-2009,7.4
23-Mar-2009,7.83
24-Mar-2009,7.7
25-Mar-2009,7.76
26-Mar-2009,8.03
27-Mar-2009,7.84
30-Mar-2009,7.62
31-Mar-2009,7.71
1-Apr-2009,7.83
2-Apr-2009,8.08
3-Apr-2009,8.14
6-Apr-2009,8.06
7-Apr-2009,7.86
8-Apr-2009,8.02
9-Apr-2009,8.27
13-Apr-2009,8.25
14-Apr-2009,8.15
15-Apr-2009,8.19
16-Apr-2009,8.33
17-Apr-2009,8.37
20-Apr-2009,8.05
21-Apr-2009,8.19
22-Apr-2009,8.18
23-Apr-2009,8.19
24-Apr-2009,8.36
27-Apr-2009,8.25
28-Apr-2009,8.24
29-Apr-2009,8.39
30-Apr-2009,8.41
1-May-2009,8.43
4-May-2009,8.7
5-May-2009,8.67
6-May-2009,8.77
7-May-2009,8.58
8-May-2009,8.71
11-May-2009,8.57
12-May-2009,8.54
13-May-2009,8.34
14-May-2009,8.45
15-May-2009,8.38
18-May-2009,8.61
19-May-2009,8.63
20-May-2009,8.62
21-May-2009,8.46
22-May-2009,8.45
26-May-2009,8.68
27-May-2009,8.55
28-May-2009,8.62
29-May-2009,8.76
1-Jun-2009,9.01
2-Jun-2009,9.06
3-Jun-2009,8.91
4-Jun-2009,8.97
5-Jun-2009,8.96
8-Jun-2009,8.95
9-Jun-2009,9.04
10-Jun-2009,9.02
11-Jun-2009,9.06
12-Jun-2009,9.06
15-Jun-2009,8.84
16-Jun-2009,8.75
17-Jun-2009,8.77
18-Jun-2009,8.77
19-Jun-2009,8.81
22-Jun-2009,8.54
23-Jun-2009,8.57
24-Jun-2009,8.63
25-Jun-2009,8.83
26-Jun-2009,8.83
29-Jun-2009,8.87
30-Jun-2009,8.8
1-Jul-2009,8.85
2-Jul-2009,8.62
6-Jul-2009,8.62
7-Jul-2009,8.44
8-Jul-2009,8.48
9-Jul-2009,8.54
10-Jul-2009,8.51
13-Jul-2009,8.66
14-Jul-2009,8.72
15-Jul-2009,8.97
16-Jul-2009,9.08
17-Jul-2009,9.09
20-Jul-2009,9.23
21-Jul-2009,9.26
22-Jul-2009,9.25
23-Jul-2009,9.48
24-Jul-2009,9.5
27-Jul-2009,9.49
28-Jul-2009,9.5
29-Jul-2009,9.45
30-Jul-2009,9.53
31-Jul-2009,9.56
3-Aug-2009,9.73
4-Aug-2009,9.75
5-Aug-2009,9.7
6-Aug-2009,9.65
7-Aug-2009,9.76
10-Aug-2009,9.68
11-Aug-2009,9.62
12-Aug-2009,9.74
13-Aug-2009,9.78
14-Aug-2009,9.66
17-Aug-2009,9.44
18-Aug-2009,9.55
19-Aug-2009,9.6
20-Aug-2009,9.69
21-Aug-2009,9.84
24-Aug-2009,9.8
25-Aug-2009,9.84
26-Aug-2009,9.84
27-Aug-2009,9.88
28-Aug-2009,9.89
31-Aug-2009,9.78
1-Sep-2009,9.61
2-Sep-2009,9.61
3-Sep-2009,9.69
4-Sep-2009,9.83
8-Sep-2009,9.92
9-Sep-2009,10.01
10-Sep-2009,10.11
11-Sep-2009,10.12
14-Sep-2009,10.18
15-Sep-2009,10.24
16-Sep-2009,10.37
17-Sep-2009,10.32
18-Sep-2009,10.35
21-Sep-2009,10.33
22-Sep-2009,10.39
23-Sep-2009,10.29
24-Sep-2009,10.18
25-Sep-2009,10.1
28-Sep-2009,10.27
29-Sep-2009,10.25
30-Sep-2009,10.24
1-Oct-2009,9.97
2-Oct-2009,9.91
5-Oct-2009,10.01
6-Oct-2009,10.15
7-Oct-2009,10.18
8-Oct-2009,10.29
9-Oct-2009,10.33
12-Oct-2009,10.36
13-Oct-2009,10.36
14-Oct-2009,10.53
15-Oct-2009,10.55
16-Oct-2009,10.49
19-Oct-2009,10.61
20-Oct-2009,10.49
21-Oct-2009,10.4
22-Oct-2009,10.48
23-Oct-2009,10.36
26-Oct-2009,10.27
27-Oct-2009,10.2
28-Oct-2009,9.99
29-Oct-2009,10.2
30-Oct-2009,9.96
2-Nov-2009,10
3-Nov-2009,10.02
4-Nov-2009,10.02
5-Nov-2009,10.23
6-Nov-2009,10.26
9-Nov-2009,10.48
10-Nov-2009,10.47
11-Nov-2009,10.53
12-Nov-2009,10.43
13-Nov-2009,10.5
16-Nov-2009,10.64
17-Nov-2009,10.64
18-Nov-2009,10.62
19-Nov-2009,10.46
20-Nov-2009,10.44
23-Nov-2009,10.56
24-Nov-2009,10.57
25-Nov-2009,10.67
27-Nov-2009,10.5
30-Nov-2009,10.51
1-Dec-2009,10.68
2-Dec-2009,10.73
3-Dec-2009,10.65
4-Dec-2009,10.72
7-Dec-2009,10.71
8-Dec-2009,10.62
9-Dec-2009,10.64
10-Dec-2009,10.68
11-Dec-2009,10.7
14-Dec-2009,10.82
15-Dec-2009,10.79
16-Dec-2009,10.83
17-Dec-2009,10.69
18-Dec-2009,10.76
21-Dec-2009,10.88
22-Dec-2009,10.96
23-Dec-2009,11.02
24-Dec-2009,11.06
28-Dec-2009,11.05
29-Dec-2009,11.05
30-Dec-2009,11.05
31-Dec-2009,10.94
4-Jan-2010,11.08
5-Jan-2010,11.1
6-Jan-2010,11.12
7-Jan-2010,11.13
8-Jan-2010,11.19
11-Jan-2010,11.19
12-Jan-2010,11.06
13-Jan-2010,11.17
14-Jan-2010,11.18
15-Jan-2010,11.07
19-Jan-2010,11.19
20-Jan-2010,11.07
21-Jan-2010,10.93
22-Jan-2010,10.71
25-Jan-2010,10.73
26-Jan-2010,10.72
27-Jan-2010,10.79
28-Jan-2010,10.64
29-Jan-2010,10.48
1-Feb-2010,10.63
2-Feb-2010,10.78
3-Feb-2010,10.75
4-Feb-2010,10.43
5-Feb-2010,10.43
8-Feb-2010,10.38
9-Feb-2010,10.53
10-Feb-2010,10.47
11-Feb-2010,10.6
12-Feb-2010,10.59
16-Feb-2010,10.75
17-Feb-2010,10.81
18-Feb-2010,10.88
19-Feb-2010,10.92
22-Feb-2010,10.89
23-Feb-2010,10.74
24-Feb-2010,10.82
25-Feb-2010,10.81
26-Feb-2010,10.82
1-Mar-2010,10.97
2-Mar-2010,11.01
3-Mar-2010,11.05
4-Mar-2010,11.06
5-Mar-2010,11.21
8-Mar-2010,11.21
9-Mar-2010,11.23
10-Mar-2010,11.3
11-Mar-2010,11.33
12-Mar-2010,11.34
15-Mar-2010,11.32
16-Mar-2010,11.4
17-Mar-2010,11.43
18-Mar-2010,11.45
19-Mar-2010,11.39
22-Mar-2010,11.46
23-Mar-2010,11.55
24-Mar-2010,11.46
25-Mar-2010,11.41
26-Mar-2010,11.41
29-Mar-2010,11.48
30-Mar-2010,11.48
31-Mar-2010,11.46
1-Apr-2010,11.52
5-Apr-2010,11.6
6-Apr-2010,11.59
7-Apr-2010,11.53
8-Apr-2010,11.57
9-Apr-2010,11.65
12-Apr-2010,11.67
13-Apr-2010,11.68
14-Apr-2010,11.82
15-Apr-2010,11.87
16-Apr-2010,11.72
19-Apr-2010,11.73
20-Apr-2010,11.82
21-Apr-2010,11.79
22-Apr-2010,11.84
23-Apr-2010,11.95
26-Apr-2010,11.93
27-Apr-2010,11.65
28-Apr-2010,11.68
29-Apr-2010,11.83
30-Apr-2010,11.64
