date,price
2-Jan-2004,35.26
5-Jan-2004,35.76
6-Jan-2004,35.96
7-Jan-2004,36.12
8-Jan-2004,36.38
9-Jan-2004,36.14
12-Jan-2004,36.42
13-Jan-2004,36.24
14-Jan-2004,36.5
15-Jan-2004,36.65
16-Jan-2004,36.95
20-Jan-2004,36.94
21-Jan-2004,37.17
22-Jan-2004,37.07
23-Jan-2004,37.05
26-Jan-2004,37.33
27-Jan-2004,37.05
28-Jan-2004,36.46
29-Jan-2004,36.48
30-Jan-2004,36.54
2-Feb-2004,36.59
3-Feb-2004,36.54
4-Feb-2004,36.14
5-Feb-2004,36.13
6-Feb-2004,36.77
9-Feb-2004,36.79
10-Feb-2004,37.01
11-Feb-2004,37.5
12-Feb-2004,37.3
13-Feb-2004,37
17-Feb-2004,37.41
18-Feb-2004,37.55
19-Feb-2004,37.5
20-Feb-2004,37.29
23-Feb-2004,36.99
24-Feb-2004,37.01
25-Feb-2004,37.27
26-Feb-2004,37.44
27-Feb-2004,37.44
1-Mar-2004,37.91
2-Mar-2004,37.76
3-Mar-2004,37.78
4-Mar-2004,37.94
5-Mar-2004,38.03
8-Mar-2004,37.65
9-Mar-2004,37.33
10-Mar-2004,36.64
11-Mar-2004,36.06
12-Mar-2004,36.61
15-Mar-2004,35.92
16-Mar-2004,36.03
17-Mar-2004,36.63
18-Mar-2004,36.52
19-Mar-2004,36.29
22-Mar-2004,35.74
23-Mar-2004,35.75
24-Mar-2004,35.72
25-Mar-2004,36.3
26-Mar-2004,36.31
29-Mar-2004,36.83
30-Mar-2004,37.01
31-Mar-2004,37.09
1-Apr-2004,37.35
2-Apr-2004,37.92
5-Apr-2004,38.17
6-Apr-2004,38
7-Apr-2004,37.81
8-Apr-2004,37.71
12-Apr-2004,38.03
13-Apr-2004,37.47
14-Apr-2004,37.45
15-Apr-2004,37.38
16-Apr-2004,37.53
19-Apr-2004,37.75
20-Apr-2004,37.16
21-Apr-2004,37.55
22-Apr-2004,38.14
23-Apr-2004,38.12
26-Apr-2004,37.95
27-Apr-2004,37.96
28-Apr-2004,37.23
29-Apr-2004,36.75
30-Apr-2004,36.63
3-May-2004,36.99
4-May-2004,37.11
5-May-2004,37.27
6-May-2004,36.89
7-May-2004,36.46
10-May-2004,36.02
11-May-2004,36.44
12-May-2004,36.44
13-May-2004,36.42
14-May-2004,36.3
17-May-2004,35.9
18-May-2004,36.16
19-May-2004,36.18
20-May-2004,36.1
21-May-2004,36.32
24-May-2004,36.49
25-May-2004,37.12
26-May-2004,37.02
27-May-2004,37.18
28-May-2004,37.21
1-Jun-2004,37.29
2-Jun-2004,37.36
3-Jun-2004,36.9
4-Jun-2004,37.18
7-Jun-2004,37.91
8-Jun-2004,37.94
9-Jun-2004,37.42
10-Jun-2004,37.51
14-Jun-2004,37.09
15-Jun-2004,37.37
16-Jun-2004,37.42
17-Jun-2004,37.36
18-Jun-2004,37.35
21-Jun-2004,37.25
22-Jun-2004,37.45
23-Jun-2004,37.9
24-Jun-2004,37.88
25-Jun-2004,37.99
28-Jun-2004,37.92
29-Jun-2004,38.15
30-Jun-2004,38.36
1-Jul-2004,38
2-Jul-2004,37.83
6-Jul-2004,37.41
7-Jul-2004,37.59
8-Jul-2004,37.07
9-Jul-2004,37.21
12-Jul-2004,37.09
13-Jul-2004,37.11
14-Jul-2004,36.93
15-Jul-2004,36.85
16-Jul-2004,36.59
19-Jul-2004,36.41
20-Jul-2004,36.81
21-Jul-2004,36.21
22-Jul-2004,36.3
23-Jul-2004,35.97
26-Jul-2004,35.72
27-Jul-2004,36.12
28-Jul-2004,36.25
29-Jul-2004,36.64
30-Jul-2004,36.65
2-Aug-2004,36.74
3-Aug-2004,36.44
4-Aug-2004,36.29
5-Aug-2004,35.75
6-Aug-2004,35.17
9-Aug-2004,35.11
10-Aug-2004,35.61
11-Aug-2004,35.42
12-Aug-2004,34.98
13-Aug-2004,35.03
16-Aug-2004,35.61
17-Aug-2004,35.64
18-Aug-2004,36.21
19-Aug-2004,36.08
20-Aug-2004,36.44
23-Aug-2004,36.3
24-Aug-2004,36.28
25-Aug-2004,36.56
26-Aug-2004,36.59
27-Aug-2004,36.76
30-Aug-2004,36.4
31-Aug-2004,36.53
1-Sep-2004,36.71
2-Sep-2004,37.14
3-Sep-2004,36.84
7-Sep-2004,37.05
8-Sep-2004,36.98
9-Sep-2004,37.29
10-Sep-2004,37.65
13-Sep-2004,37.75
14-Sep-2004,37.89
15-Sep-2004,37.6
16-Sep-2004,37.67
17-Sep-2004,37.9
20-Sep-2004,37.84
21-Sep-2004,38.24
22-Sep-2004,37.72
23-Sep-2004,37.63
24-Sep-2004,37.64
27-Sep-2004,37.35
28-Sep-2004,37.63
29-Sep-2004,37.92
30-Sep-2004,38.02
1-Oct-2004,38.62
4-Oct-2004,38.84
5-Oct-2004,38.7
6-Oct-2004,39
7-Oct-2004,38.51
8-Oct-2004,38.17
11-Oct-2004,38.26
12-Oct-2004,38.12
13-Oct-2004,37.86
14-Oct-2004,37.68
15-Oct-2004,37.91
18-Oct-2004,38.04
19-Oct-2004,37.83
20-Oct-2004,37.94
21-Oct-2004,38.15
22-Oct-2004,37.75
25-Oct-2004,37.73
26-Oct-2004,38.19
27-Oct-2004,38.74
28-Oct-2004,38.73
29-Oct-2004,38.8
1-Nov-2004,38.73
2-Nov-2004,38.75
3-Nov-2004,39.15
4-Nov-2004,39.6
5-Nov-2004,39.85
8-Nov-2004,39.75
9-Nov-2004,39.67
10-Nov-2004,39.59
11-Nov-2004,39.91
12-Nov-2004,40.14
15-Nov-2004,40.15
16-Nov-2004,39.88
17-Nov-2004,40.13
18-Nov-2004,40.17
19-Nov-2004,39.69
22-Nov-2004,39.98
23-Nov-2004,40.05
24-Nov-2004,40.35
26-Nov-2004,40.39
29-Nov-2004,40.35
30-Nov-2004,40.19
1-Dec-2004,40.78
2-Dec-2004,40.77
3-Dec-2004,40.83
6-Dec-2004,40.8
7-Dec-2004,40.48
8-Dec-2004,40.71
9-Dec-2004,40.86
10-Dec-2004,40.64
13-Dec-2004,40.99
14-Dec-2004,41.22
15-Dec-2004,41.34
16-Dec-2004,41.2
17-Dec-2004,40.99
20-Dec-2004,41
21-Dec-2004,41.3
22-Dec-2004,41.41
23-Dec-2004,41.48
27-Dec-2004,41.3
28-Dec-2004,41.7
29-Dec-2004,41.82
30-Dec-2004,41.8
31-Dec-2004,41.73
3-Jan-2005,41.28
4-Jan-2005,40.6
5-Jan-2005,40.36
6-Jan-2005,40.46
7-Jan-2005,40.42
10-Jan-2005,40.6
11-Jan-2005,40.3
12-Jan-2005,40.5
13-Jan-2005,40.18
14-Jan-2005,40.46
18-Jan-2005,40.7
19-Jan-2005,40.22
20-Jan-2005,39.75
21-Jan-2005,39.49
24-Jan-2005,39.15
25-Jan-2005,39.3
26-Jan-2005,39.57
27-Jan-2005,39.57
28-Jan-2005,39.37
31-Jan-2005,39.85
1-Feb-2005,40.06
2-Feb-2005,40.28
3-Feb-2005,40.2
4-Feb-2005,40.7
7-Feb-2005,40.7
8-Feb-2005,40.78
9-Feb-2005,40.46
10-Feb-2005,40.69
11-Feb-2005,41.11
14-Feb-2005,41.1
15-Feb-2005,41.23
16-Feb-2005,41.27
17-Feb-2005,41.02
18-Feb-2005,41.15
22-Feb-2005,40.73
23-Feb-2005,40.91
24-Feb-2005,41.33
25-Feb-2005,41.76
28-Feb-2005,40.73
1-Mar-2005,40.99
2-Mar-2005,40.91
3-Mar-2005,40.95
4-Mar-2005,41.23
7-Mar-2005,41.56
8-Mar-2005,41.33
9-Mar-2005,41.02
10-Mar-2005,40.96
11-Mar-2005,40.74
14-Mar-2005,40.95
15-Mar-2005,40.54
16-Mar-2005,40.24
17-Mar-2005,40.43
18-Mar-2005,40.48
21-Mar-2005,40.24
22-Mar-2005,40.01
23-Mar-2005,39.97
24-Mar-2005,39.95
28-Mar-2005,39.99
29-Mar-2005,39.65
30-Mar-2005,40.23
31-Mar-2005,40.09
1-Apr-2005,39.83
4-Apr-2005,39.79
5-Apr-2005,40
6-Apr-2005,40.18
7-Apr-2005,40.43
8-Apr-2005,40.06
11-Apr-2005,40.03
12-Apr-2005,40.12
13-Apr-2005,39.53
14-Apr-2005,39.03
15-Apr-2005,38.41
18-Apr-2005,38.39
19-Apr-2005,38.79
20-Apr-2005,38.43
21-Apr-2005,39.24
22-Apr-2005,38.88
25-Apr-2005,39.15
26-Apr-2005,38.9
27-Apr-2005,38.83
28-Apr-2005,38.47
29-Apr-2005,38.87
2-May-2005,39.08
3-May-2005,39.07
4-May-2005,39.66
5-May-2005,39.64
6-May-2005,39.7
9-May-2005,39.95
10-May-2005,39.49
11-May-2005,39.69
12-May-2005,39.3
13-May-2005,39.25
16-May-2005,39.5
17-May-2005,39.8
18-May-2005,40.3
19-May-2005,40.51
20-May-2005,40.42
23-May-2005,40.62
24-May-2005,40.7
25-May-2005,40.64
26-May-2005,41.07
27-May-2005,41.15
31-May-2005,40.96
1-Jun-2005,41.31
2-Jun-2005,41.36
3-Jun-2005,41.01
6-Jun-2005,40.99
7-Jun-2005,40.92
8-Jun-2005,40.86
9-Jun-2005,41.13
10-Jun-2005,40.91
13-Jun-2005,41.05
14-Jun-2005,41.2
15-Jun-2005,41.35
16-Jun-2005,41.62
17-Jun-2005,41.7
20-Jun-2005,41.6
21-Jun-2005,41.56
22-Jun-2005,41.6
23-Jun-2005,40.99
24-Jun-2005,40.64
27-Jun-2005,40.5
28-Jun-2005,40.79
29-Jun-2005,40.85
30-Jun-2005,40.5
1-Jul-2005,40.6
5-Jul-2005,40.91
6-Jul-2005,40.74
7-Jul-2005,40.87
8-Jul-2005,41.47
11-Jul-2005,41.78
12-Jul-2005,41.9
13-Jul-2005,42.01
14-Jul-2005,42.16
15-Jul-2005,42.2
18-Jul-2005,42.06
19-Jul-2005,42.51
