date,price
3-Jan-2011,24.97
4-Jan-2011,24.95
5-Jan-2011,25.03
6-Jan-2011,25.01
7-Jan-2011,24.97
10-Jan-2011,24.91
11-Jan-2011,25.02
12-Jan-2011,25.24
13-Jan-2011,25.19
14-Jan-2011,25.36
18-Jan-2011,25.41
19-Jan-2011,25.18
20-Jan-2011,25.16
21-Jan-2011,25.24
24-Jan-2011,25.38
25-Jan-2011,25.41
26-Jan-2011,25.52
27-Jan-2011,25.61
28-Jan-2011,25.09
31-Jan-2011,25.22
1-Feb-2011,25.67
2-Feb-2011,25.62
3-Feb-2011,25.7
4-Feb-2011,25.77
7-Feb-2011,25.91
8-Feb-2011,26.05
9-Feb-2011,25.89
10-Feb-2011,25.88
11-Feb-2011,26.01
14-Feb-2011,26.07
15-Feb-2011,26
16-Feb-2011,26.15
17-Feb-2011,26.27
18-Feb-2011,26.32
22-Feb-2011,25.81
23-Feb-2011,25.67
24-Feb-2011,25.67
25-Feb-2011,25.95
28-Feb-2011,26.06
1-Mar-2011,25.67
2-Mar-2011,25.69
3-Mar-2011,26.13
4-Mar-2011,25.97
7-Mar-2011,25.74
8-Mar-2011,25.98
9-Mar-2011,26
10-Mar-2011,25.53
11-Mar-2011,25.76
14-Mar-2011,25.59
15-Mar-2011,25.32
16-Mar-2011,24.82
17-Mar-2011,25.16
18-Mar-2011,25.28
21-Mar-2011,25.66
22-Mar-2011,25.56
23-Mar-2011,25.66
24-Mar-2011,25.87
25-Mar-2011,25.98
28-Mar-2011,25.92
29-Mar-2011,26.09
30-Mar-2011,26.29
31-Mar-2011,26.25
1-Apr-2011,26.4
4-Apr-2011,26.43
5-Apr-2011,26.45
6-Apr-2011,26.53
7-Apr-2011,26.5
8-Apr-2011,26.37
11-Apr-2011,26.31
12-Apr-2011,26.1
13-Apr-2011,26.11
14-Apr-2011,26.08
15-Apr-2011,26.21
18-Apr-2011,25.93
19-Apr-2011,26.08
20-Apr-2011,26.46
21-Apr-2011,26.59
25-Apr-2011,26.55
26-Apr-2011,26.8
27-Apr-2011,26.98
28-Apr-2011,27.04
29-Apr-2011,27.05
2-May-2011,26.98
3-May-2011,26.92
4-May-2011,26.71
5-May-2011,26.52
6-May-2011,26.6
9-May-2011,26.7
10-May-2011,26.94
11-May-2011,26.7
12-May-2011,26.85
13-May-2011,26.62
16-May-2011,26.47
17-May-2011,26.48
18-May-2011,26.69
19-May-2011,26.73
20-May-2011,26.48
23-May-2011,26.14
24-May-2011,26.13
25-May-2011,26.2
26-May-2011,26.25
27-May-2011,26.32
31-May-2011,26.59
1-Jun-2011,26.05
2-Jun-2011,25.97
3-Jun-2011,25.72
6-Jun-2011,25.46
7-Jun-2011,25.48
8-Jun-2011,25.37
9-Jun-2011,25.53
10-Jun-2011,25.19
13-Jun-2011,25.21
14-Jun-2011,25.56
15-Jun-2011,25.12
16-Jun-2011,25.21
17-Jun-2011,25.31
20-Jun-2011,25.44
21-Jun-2011,25.79
22-Jun-2011,25.6
23-Jun-2011,25.58
24-Jun-2011,25.25
27-Jun-2011,25.5
28-Jun-2011,25.83
29-Jun-2011,26.01
30-Jun-2011,26.31
1-Jul-2011,26.69
5-Jul-2011,26.63
6-Jul-2011,26.71
7-Jul-2011,27.02
8-Jul-2011,26.82
11-Jul-2011,26.34
12-Jul-2011,26.26
13-Jul-2011,26.34
14-Jul-2011,26.17
15-Jul-2011,26.28
18-Jul-2011,26.1
19-Jul-2011,26.52
20-Jul-2011,26.56
21-Jul-2011,26.96
22-Jul-2011,26.98
25-Jul-2011,26.82
26-Jul-2011,26.68
27-Jul-2011,26.13
28-Jul-2011,25.99
29-Jul-2011,25.84
1-Aug-2011,25.73
2-Aug-2011,25.1
3-Aug-2011,25.21
4-Aug-2011,24.06
5-Aug-2011,24.11
8-Aug-2011,22.51
9-Aug-2011,23.53
10-Aug-2011,22.51
11-Aug-2011,23.52
12-Aug-2011,23.6
15-Aug-2011,24.13
16-Aug-2011,23.95
17-Aug-2011,24
18-Aug-2011,22.99
19-Aug-2011,22.59
22-Aug-2011,22.66
23-Aug-2011,23.42
24-Aug-2011,23.7
25-Aug-2011,23.26
26-Aug-2011,23.64
29-Aug-2011,24.33
30-Aug-2011,24.38
31-Aug-2011,24.48
1-Sep-2011,24.2
2-Sep-2011,23.59
6-Sep-2011,23.41
7-Sep-2011,24.09
8-Sep-2011,23.82
9-Sep-2011,23.19
12-Sep-2011,23.37
13-Sep-2011,23.6
14-Sep-2011,23.94
15-Sep-2011,24.32
16-Sep-2011,24.44
19-Sep-2011,24.2
20-Sep-2011,24.17
21-Sep-2011,23.44
22-Sep-2011,22.69
23-Sep-2011,22.73
26-Sep-2011,23.24
27-Sep-2011,23.44
28-Sep-2011,22.97
29-Sep-2011,23.15
30-Sep-2011,22.59
3-Oct-2011,21.95
4-Oct-2011,22.44
5-Oct-2011,22.86
6-Oct-2011,23.27
7-Oct-2011,23.12
10-Oct-2011,23.91
11-Oct-2011,23.9
12-Oct-2011,24.11
13-Oct-2011,24.06
14-Oct-2011,24.48
17-Oct-2011,24.01
18-Oct-2011,24.44
19-Oct-2011,24.13
20-Oct-2011,24.24
21-Oct-2011,24.69
24-Oct-2011,25
25-Oct-2011,24.51
26-Oct-2011,24.78
27-Oct-2011,25.59
28-Oct-2011,25.57
31-Oct-2011,24.99
1-Nov-2011,24.32
2-Nov-2011,24.68
3-Nov-2011,25.14
4-Nov-2011,25.01
7-Nov-2011,25.18
8-Nov-2011,25.46
9-Nov-2011,24.56
10-Nov-2011,24.78
11-Nov-2011,25.25
14-Nov-2011,25.02
15-Nov-2011,25.15
16-Nov-2011,24.71
17-Nov-2011,24.32
18-Nov-2011,24.32
21-Nov-2011,23.89
22-Nov-2011,23.8
23-Nov-2011,23.28
25-Nov-2011,23.23
28-Nov-2011,23.91
29-Nov-2011,23.98
30-Nov-2011,25
1-Dec-2011,24.96
2-Dec-2011,24.93
5-Dec-2011,25.16
6-Dec-2011,25.19
7-Dec-2011,25.26
8-Dec-2011,24.74
9-Dec-2011,25.16
12-Dec-2011,24.8
13-Dec-2011,24.6
14-Dec-2011,24.33
15-Dec-2011,24.43
16-Dec-2011,24.49
19-Dec-2011,24.24
20-Dec-2011,24.96
21-Dec-2011,25.01
22-Dec-2011,25.2
23-Dec-2011,25.45
27-Dec-2011,25.47
28-Dec-2011,25.16
29-Dec-2011,25.43
30-Dec-2011,25.32
3-Jan-2012,25.67
4-Jan-2012,25.68
5-Jan-2012,25.75
6-Jan-2012,25.7
9-Jan-2012,25.74
10-Jan-2012,25.96
11-Jan-2012,25.96
12-Jan-2012,26
13-Jan-2012,25.91
17-Jan-2012,26.02
18-Jan-2012,26.28
19-Jan-2012,26.39
20-Jan-2012,26.42
23-Jan-2012,26.42
24-Jan-2012,26.39
25-Jan-2012,26.62
26-Jan-2012,26.47
27-Jan-2012,26.42
30-Jan-2012,26.36
31-Jan-2012,26.34
1-Feb-2012,26.61
2-Feb-2012,26.64
3-Feb-2012,27.02
6-Feb-2012,27
7-Feb-2012,27.08
8-Feb-2012,27.17
9-Feb-2012,27.25
10-Feb-2012,27.08
13-Feb-2012,27.28
14-Feb-2012,27.27
15-Feb-2012,27.11
16-Feb-2012,27.41
17-Feb-2012,27.51
21-Feb-2012,27.54
22-Feb-2012,27.47
23-Feb-2012,27.58
24-Feb-2012,27.64
27-Feb-2012,27.69
28-Feb-2012,27.8
29-Feb-2012,27.69
1-Mar-2012,27.88
2-Mar-2012,27.78
5-Mar-2012,27.7
6-Mar-2012,27.28
7-Mar-2012,27.47
8-Mar-2012,27.73
9-Mar-2012,27.83
12-Mar-2012,27.85
13-Mar-2012,28.35
14-Mar-2012,28.34
15-Mar-2012,28.49
16-Mar-2012,28.52
19-Mar-2012,28.64
20-Mar-2012,28.55
21-Mar-2012,28.5
22-Mar-2012,28.31
23-Mar-2012,28.4
26-Mar-2012,28.81
27-Mar-2012,28.75
28-Mar-2012,28.6
29-Mar-2012,28.56
30-Mar-2012,28.65
2-Apr-2012,28.89
3-Apr-2012,28.8
4-Apr-2012,28.53
5-Apr-2012,28.52
9-Apr-2012,28.21
10-Apr-2012,27.73
11-Apr-2012,27.95
12-Apr-2012,28.31
13-Apr-2012,27.97
16-Apr-2012,27.94
17-Apr-2012,28.36
18-Apr-2012,28.25
19-Apr-2012,28.06
20-Apr-2012,28.12
23-Apr-2012,27.89
24-Apr-2012,27.95
25-Apr-2012,28.35
26-Apr-2012,28.57
27-Apr-2012,28.62
30-Apr-2012,28.49
1-May-2012,28.63
2-May-2012,28.57
3-May-2012,28.35
4-May-2012,27.89
7-May-2012,27.88
8-May-2012,27.76
9-May-2012,27.57
10-May-2012,27.65
11-May-2012,27.53
14-May-2012,27.23
15-May-2012,27.09
16-May-2012,27
17-May-2012,26.57
18-May-2012,26.37
21-May-2012,26.79
22-May-2012,26.79
23-May-2012,26.83
24-May-2012,26.89
25-May-2012,26.83
29-May-2012,27.11
30-May-2012,26.76
31-May-2012,26.71
1-Jun-2012,26.06
4-Jun-2012,26.06
5-Jun-2012,26.23
6-Jun-2012,26.84
7-Jun-2012,26.85
8-Jun-2012,27.07
11-Jun-2012,26.74
12-Jun-2012,27.07
13-Jun-2012,26.88
14-Jun-2012,27.18
15-Jun-2012,27.46
18-Jun-2012,27.51
19-Jun-2012,27.75
20-Jun-2012,27.73
21-Jun-2012,27.14
22-Jun-2012,27.34
25-Jun-2012,26.92
26-Jun-2012,27.06
27-Jun-2012,27.28
28-Jun-2012,27.22
29-Jun-2012,27.9
2-Jul-2012,28
3-Jul-2012,28.15
5-Jul-2012,28.02
