,Fund_Ticker,Status,TTM_Yield_in_percent,PortfolioMktValue_in_millions,TotalAssets_in_millions,ExpenseRatio_in_percent,Net Expense Ratio %,Gross Expense Ratio %,Turnover_in_percent,Yield_in_percent,Status,FeeLevel,Fund_Manager,Manager_Start_Date,Fund_Inception,MorningstarCategory,InvestmentStyle,FeeLevel,Load,Max Front Load %,Max Back Load %,Return
0,VFINX,Open,1.67,16800.0,197500.0,0.17,0.17,0.17,3,1.79,Open,Low,Michael H. Buek,1991-12-31 00:00:00,08/31/1976,Large Blend,Large Blend,Low,None,,,11.04
1,VBINX,Open,1.70,16800.0,24500.0,0.24,0.24,0.24,47,1.66,Open,Low,Paul M. Malloy,2013-03-22 00:00:00,11/09/1992,Moderate Allocation,Large Blend,Low,None,,,8.29
2,VCAIX,Open,3.01,16800.0,8700.0,0.20,0.20,0.20,12,1.55,Open,Low,Adam M. Ferguson,2013-06-28 00:00:00,03/04/1994,Muni California Intermediate,High/Moderate,Low,None,,,5.1
3,VCITX,Open,3.66,16800.0,3100.0,0.20,0.20,0.20,14,2.12,Open,Low,James M. D'Arcy,2011-07-22 00:00:00,04/07/1986,Muni California Long,Mid/Moderate,Low,None,,,6.23
4,VHCOX,Limited,0.13,16800.0,13800.0,0.47,0.48,0.48,7,0.52,Limited,Low,M. Mohsin Ansari,2007-12-31 00:00:00,08/14/1995,Large Growth,Large Growth,Low,None,,,12.36
5,VCVLX,Open,0.67,16800.0,1600.0,0.47,0.41,0.41,90,0.84,Open,Low,David W. Palmer,2009-12-22 00:00:00,12/17/2001,Large Blend,Mid Blend,Low,None,,,7.37
6,VCVSX,Open,2.87,16800.0,2000.0,0.63,0.63,0.63,101,2.11,Open,Low,Abe Ofer,2010-12-20 00:00:00,06/17/1986,Convertibles,--,Low,None,,,8.56
7,VTMGX,Open,3.47,16800.0,45500.0,0.09,0.09,0.09,13,--,Open,Low,Christine D. Franquin,2013-02-22 00:00:00,08/17/1999,Foreign Large Blend,Large Blend,Low,None,,,4.08
8,VDEQX,Open,0.82,16800.0,1500.0,0.40,0.40,0.40,5,0.96,Open,Low,Walter Nejman,2013-02-28 00:00:00,06/10/2005,Large Growth,Large Growth,Low,None,,,7.67
9,VDIGX,Open,1.77,16800.0,23400.0,0.31,0.31,0.31,18,1.84,Open,Low,Donald J. Kilbride,2006-02-01 00:00:00,05/15/1992,Large Blend,Large Blend,Low,None,,,8.25
10,VGOVX,Open,4.24,16800.0,407.2,0.49,0.49,0.49,38,4.50,Open,Low,Yan Pu,2013-05-14 00:00:00,05/14/2013,Emerging Markets Bond,Low/Extensive,Low,None,,,2.90
11,VMMSX,Open,1.33,16800.0,303.3,0.94,0.94,0.94,54,--,Open,Low,Matthew Vaight,2011-06-27 00:00:00,06/27/2011,Diversified Emerging Mkts,Large Blend,Low,None,,,1.22
12,VEIEX,Open,2.63,16800.0,65600.0,0.33,0.33,0.33,26,--,Open,Low,Michael Perre,2008-08-29 00:00:00,05/04/1994,Diversified Emerging Mkts,Large Blend,Low,None,,,7.12
