,Year,ABALX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,3.47,13.49,10.71,-10.03,-7.24,0.66,48.0,82.0
1,2000,15.86,1.68,1.82,14.18,14.03,0.69,16.0,5.0
2,2001,8.19,-2.46,-5.05,10.65,13.24,0.68,50.0,3.0
3,2002,-6.27,-6.69,-12.02,0.43,5.76,0.7,41.0,8.0
4,2003,22.82,22.48,20.35,0.34,2.47,0.67,0.67,26.0
5,2004,8.92,11.48,8.86,-2.56,0.06,0.62,0.62,48.0
6,2005,3.12,7.04,5.13,-3.93,-2.01,0.59,35.0,79.0
7,2006,11.81,12.95,11.29,-1.15,0.51,0.58,34.0,36.0
8,2007,6.6,8.63,5.99,-2.04,0.6,0.58,35.0,41.0
9,2008,-25.73,-22.19,-28.0,-3.54,2.28,0.59,41.0,28.0
10,2009,21.08,21.77,24.13,-0.69,-3.05,0.67,46.0,70.0
11,2010,13.02,12.33,11.83,0.68,1.18,0.63,37.0,30.0
12,2011,3.82,0.59,-0.11,3.23,3.93,0.62,47.0,8.0
13,2012,14.19,12.04,11.72,2.15,2.48,0.63,54.0,13.0
14,2013,21.73,14.31,16.48,7.42,5.25,0.61,55.0,7.0
15,YTD,9.26,5.81,6.95,3.45,2.31,2.31,2.31,19.0
