,Year,ABDAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2005,3.25,7.04,2.97,-3.79,0.28,0.59,51.0,53.0
1,2006,6.39,12.95,8.16,-6.57,-1.77,0.59,23.0,74.0
2,2007,6.17,8.63,4.53,-2.46,1.64,0.49,54.0,25.0
3,2008,-11.91,-22.19,-18.61,10.28,6.7,0.45,29.0,15.0
4,2009,15.86,21.77,20.77,-5.91,-4.91,0.47,27.0,80.0
5,2010,8.62,12.33,10.03,-3.71,-1.41,0.47,26.0,74.0
6,2011,2.57,0.59,1.7,1.98,0.87,0.48,16.0,31.0
7,2012,8.81,12.04,9.4,-3.23,-0.58,0.49,88.0,61.0
8,2013,4.26,14.31,7.23,-10.05,-2.97,0.48,19.0,80.0
9,YTD,5.0,5.81,4.98,-0.8,0.02,0.5,22.0,47.0
