,Year,ABNDX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,2.39,-0.82,-1.35,3.21,3.74,0.69,47.0,3.0
1,2000,6.09,11.63,9.44,-5.53,-3.34,0.72,62.0,92.0
2,2001,7.15,8.44,7.64,-1.29,-0.49,0.71,64.0,65.0
3,2002,6.11,10.26,8.04,-4.14,-1.92,0.71,50.0,86.0
4,2003,12.22,4.1,5.1,8.11,7.11,0.67,0.67,3.0
5,2004,5.85,4.34,3.91,1.51,1.94,0.65,0.65,5.0
6,2005,1.94,2.43,1.8,-0.49,0.13,0.62,50.0,44.0
7,2006,5.87,4.33,4.15,1.54,1.72,0.62,53.0,8.0
8,2007,3.37,6.97,4.7,-3.59,-1.33,0.61,58.0,83.0
9,2008,-12.24,5.24,-4.7,-17.49,-7.55,0.63,57.0,86.0
10,2009,14.91,5.93,13.97,8.98,0.93,0.65,84.0,39.0
11,2010,7.3,6.54,7.72,0.76,-0.42,0.59,99.0,53.0
12,2011,6.51,7.84,5.86,-1.33,0.65,0.6,154.0,43.0
13,2012,5.9,4.21,7.01,1.68,-1.11,0.6,264.0,62.0
14,2013,-1.99,-2.02,-1.42,0.03,-0.57,0.61,419.0,62.0
15,YTD,5.68,5.87,5.34,-0.19,0.33,0.33,0.33,44.0
