,Year,ABUAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2005,5.36,7.04,5.13,-1.69,0.23,0.59,29.0,43.0
1,2006,11.24,12.95,11.29,-1.71,-0.05,0.53,15.0,48.0
2,2007,6.96,8.63,5.99,-1.67,0.97,0.43,24.0,36.0
3,2008,-24.39,-22.19,-28.0,-2.19,3.62,0.41,27.0,21.0
4,2009,24.89,21.77,24.13,3.12,0.76,0.43,34.0,43.0
5,2010,13.13,12.33,11.83,0.79,1.29,0.45,26.0,28.0
6,2011,0.42,0.59,-0.11,-0.17,0.53,0.43,9.0,43.0
7,2012,11.85,12.04,11.72,-0.19,0.13,0.43,58.0,54.0
8,2013,13.74,14.31,16.48,-0.57,-2.74,0.46,23.0,79.0
9,YTD,5.9,5.81,6.95,0.09,-1.05,0.46,23.0,68.0
