,Year,ACINX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,79.19,30.63,83.28,48.57,-4.08,1.11,46.0,46.0
1,2000,-19.98,-15.31,-15.12,-4.67,-4.86,1.05,63.0,64.0
2,2001,-21.15,-19.73,-24.44,-1.41,3.29,1.06,45.0,30.0
3,2002,-16.1,-14.95,-15.43,-1.15,-0.67,1.06,52.0,58.0
4,2003,47.8,40.83,54.17,6.97,-6.37,1.05,1.05,67.0
5,2004,29.47,20.91,24.38,8.57,5.09,1.08,1.08,23.0
6,2005,21.81,16.62,24.86,5.19,-3.05,0.99,27.0,57.0
7,2006,34.53,26.65,26.79,7.88,7.75,0.93,31.0,16.0
8,2007,17.28,16.65,12.03,0.63,5.26,0.91,28.0,30.0
9,2008,-45.89,-45.53,-49.02,-0.36,3.13,0.96,38.0,34.0
10,2009,50.97,41.45,49.24,9.52,1.73,0.99,31.0,22.0
11,2010,22.7,11.15,23.04,11.54,-0.34,0.97,25.0,40.0
12,2011,-14.06,-13.71,-14.72,-0.36,0.66,0.95,32.0,30.0
13,2012,21.6,16.83,22.2,4.77,-0.6,0.93,33.0,56.0
14,2013,22.33,15.29,26.61,7.04,-4.28,0.93,45.0,66.0
15,YTD,-2.05,-0.27,-3.86,-1.78,1.81,1.81,1.81,33.0
