,Year,ACTWX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,29.3,21.04,60.49,8.26,-31.19,1.37,101.0,27.0
1,2000,11.68,-9.1,-4.78,20.78,16.45,1.34,116.0,38.0
2,2001,8.0,-11.89,-19.98,19.89,27.98,1.35,82.0,2.0
3,2002,-7.81,-22.1,-27.24,14.29,19.43,1.26,40.0,1.0
4,2003,30.61,28.68,35.96,1.93,-5.34,1.12,1.12,76.0
5,2004,18.58,10.88,13.23,7.69,5.35,1.13,1.13,13.0
6,2005,11.08,4.91,9.84,6.17,1.24,0.99,19.0,42.0
7,2006,19.68,15.79,9.0,3.89,10.69,0.94,21.0,3.0
8,2007,9.2,5.49,15.09,3.7,-5.89,0.91,14.0,78.0
9,2008,-49.18,-37.0,-43.77,-12.18,-5.4,0.95,28.0,84.0
10,2009,66.17,26.46,39.11,39.7,27.06,0.99,19.0,1.0
11,2010,22.88,15.06,24.61,7.82,-1.73,0.97,28.0,67.0
12,2011,-16.37,2.11,-3.96,-18.48,-12.41,0.97,21.0,98.0
13,2012,17.15,16.0,14.07,1.15,3.08,1.03,15.0,21.0
14,2013,34.16,32.39,34.93,1.78,-0.76,1.02,20.0,59.0
15,YTD,2.06,13.98,6.96,-11.92,-4.9,-4.9,-4.9,88.0
