,Year,AFTEX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.32,-2.06,-2.06,-0.26,-0.25,-0.25,-0.25,62.0
1,2000,9.67,11.68,9.16,-2.01,0.51,0.67,29.0,33.0
2,2001,5.57,5.13,4.39,0.44,1.18,0.66,21.0,5.0
3,2002,8.44,9.6,8.57,-1.16,-0.13,0.63,8.0,51.0
4,2003,5.18,5.31,4.1,-0.13,1.09,0.61,8.0,9.0
5,2004,4.37,4.48,2.83,-0.1,1.54,0.61,0.61,5.0
6,2005,3.35,3.51,1.8,-0.17,1.55,0.57,9.0,4.0
7,2006,4.76,4.84,3.67,-0.08,1.09,0.56,9.0,7.0
8,2007,1.72,3.36,2.75,-1.64,-1.03,0.54,8.0,83.0
9,2008,-7.09,-2.47,-2.32,-4.62,-4.78,0.53,20.0,87.0
10,2009,15.24,12.91,11.41,2.33,3.83,0.56,18.0,13.0
11,2010,2.08,2.38,2.22,-0.3,-0.14,0.54,16.0,57.0
12,2011,10.22,10.7,9.0,-0.48,1.22,0.55,12.0,18.0
13,2012,8.91,6.78,5.62,2.13,3.29,0.55,14.0,9.0
14,2013,-2.73,-2.55,-2.27,-0.17,-0.46,0.55,16.0,66.0
15,YTD,9.03,8.5,6.44,0.53,2.59,0.56,10.0,12.0
