,Year,AGTHX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,45.7,21.04,38.87,24.66,6.83,6.83,46.0,3.0
1,2000,7.49,-9.1,-13.05,16.59,20.53,0.7,47.0,4.0
2,2001,-12.28,-11.89,-22.3,-0.39,10.03,0.71,36.0,12.0
3,2002,-22.02,-22.1,-27.64,0.08,5.62,0.75,30.0,15.0
4,2003,32.9,28.68,28.66,4.21,4.24,0.76,25.0,18.0
5,2004,11.95,10.88,7.81,1.07,4.14,0.7,0.7,16.0
6,2005,14.23,4.91,6.71,9.32,7.51,0.66,20.0,7.0
7,2006,10.94,15.79,7.05,-4.85,3.89,0.63,22.0,17.0
8,2007,10.95,5.49,13.35,5.46,-2.4,0.62,26.0,64.0
9,2008,-39.07,-37.0,-40.67,-2.07,1.6,0.62,32.0,39.0
10,2009,34.48,26.46,35.68,8.02,-1.2,0.75,38.0,49.0
11,2010,12.28,15.06,15.53,-2.78,-3.25,0.69,33.0,77.0
12,2011,-4.89,2.11,-2.46,-7.0,-2.43,0.68,34.0,73.0
13,2012,20.54,16.0,15.34,4.54,5.2,0.71,18.0,7.0
14,2013,33.79,32.39,33.92,1.4,-0.13,0.7,27.0,49.0
15,YTD,10.26,13.98,10.79,-3.72,-0.53,0.66,26.0,59.0
