,Year,AHITX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,7.44,-0.82,5.05,8.26,2.39,2.39,30.0,22.0
1,2000,-3.37,11.63,-7.12,-15.0,3.75,0.82,46.0,23.0
2,2001,7.49,8.44,2.39,-0.95,5.1,0.83,44.0,13.0
3,2002,-3.55,10.26,-1.52,-13.81,-2.04,0.88,34.0,72.0
4,2003,28.73,4.1,24.36,24.63,4.38,0.75,41.0,19.0
5,2004,9.78,4.34,9.99,5.44,-0.21,0.67,0.67,50.0
6,2005,3.63,2.43,2.59,1.2,1.04,0.65,39.0,18.0
7,2006,12.19,4.33,10.14,7.86,2.05,0.65,41.0,10.0
8,2007,1.53,6.97,1.47,-5.44,0.06,0.66,42.0,62.0
9,2008,-27.52,5.24,-26.41,-32.76,-1.1,0.67,35.0,67.0
10,2009,48.42,5.93,46.7,42.49,1.72,0.79,43.0,45.0
11,2010,14.98,6.54,14.24,8.44,0.74,0.68,47.0,28.0
12,2011,1.99,7.84,2.83,-5.85,-0.84,0.67,51.0,72.0
13,2012,14.52,4.21,14.67,10.31,-0.15,0.69,38.0,53.0
14,2013,6.44,-2.02,6.9,8.46,-0.46,0.66,61.0,52.0
15,YTD,2.29,5.87,2.83,-3.58,-0.54,0.66,62.0,67.0
