,Year,AIBAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,0.97,-0.82,2.21,1.79,-1.24,-1.24,70.0,80.0
1,2000,10.16,11.63,7.59,-1.47,2.57,0.83,48.0,7.0
2,2001,6.95,8.44,7.27,-1.5,-0.33,0.76,73.0,67.0
3,2002,7.05,10.26,5.47,-3.21,1.58,0.76,59.0,21.0
4,2003,2.6,4.1,2.54,-1.5,0.06,0.7,65.0,43.0
5,2004,2.01,4.34,1.63,-2.32,0.39,0.7,0.7,28.0
6,2005,1.62,2.43,1.45,-0.8,0.18,0.69,76.0,38.0
7,2006,4.02,4.33,4.05,-0.32,-0.03,0.68,71.0,50.0
8,2007,5.03,6.97,4.29,-1.94,0.74,0.67,63.0,45.0
9,2008,-1.43,5.24,-4.23,-6.67,2.79,0.67,80.0,43.0
10,2009,6.33,5.93,9.3,0.4,-2.97,0.68,87.0,68.0
11,2010,4.75,6.54,4.11,-1.8,0.64,0.62,43.0,28.0
12,2011,3.71,7.84,1.66,-4.13,2.05,0.6,80.0,4.0
13,2012,2.7,4.21,3.67,-1.51,-0.97,0.61,146.0,66.0
14,2013,-1.17,-2.02,0.45,0.85,-1.63,0.6,199.0,92.0
15,YTD,2.43,5.87,1.45,-3.43,0.98,0.61,165.0,10.0
