,Year,AIOAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2003,,,,,,1.16,26.0,26.0
1,2004,10.3,4.34,9.99,5.96,0.31,1.08,1.08,39.0
2,2005,3.72,2.43,2.59,1.29,1.12,1.09,124.0,17.0
3,2006,8.48,4.33,10.14,4.15,-1.66,1.14,130.0,85.0
4,2007,2.77,6.97,1.47,-4.2,1.3,1.14,122.0,24.0
5,2008,-19.57,5.24,-26.41,-24.81,6.85,1.15,75.0,12.0
6,2009,40.25,5.93,46.7,34.32,-6.45,1.19,81.0,79.0
7,2010,13.12,6.54,14.24,6.57,-1.13,1.11,86.0,74.0
8,2011,6.13,7.84,2.83,-1.71,3.3,1.07,84.0,3.0
9,2012,14.11,4.21,14.67,9.89,-0.56,1.02,55.0,64.0
10,2013,4.65,-2.02,6.9,6.68,-2.24,1.08,59.0,90.0
11,YTD,4.52,5.87,2.83,-1.35,1.69,1.08,65.0,11.0
