,Year,ALDAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2004,3.25,4.34,1.63,-1.09,1.62,0.96,0.96,8.0
1,2005,1.52,2.43,1.45,-0.91,0.07,0.94,316.0,45.0
2,2006,4.09,4.33,4.05,-0.24,0.04,0.9,328.0,44.0
3,2007,4.88,6.97,4.29,-2.08,0.59,0.89,263.0,49.0
4,2008,-6.04,5.24,-4.23,-11.28,-1.82,0.88,218.0,72.0
5,2009,15.47,5.93,9.3,9.54,6.17,0.89,335.0,8.0
6,2010,6.17,6.54,4.11,-0.37,2.07,0.85,101.0,13.0
7,2011,2.41,7.84,1.66,-5.43,0.75,0.86,113.0,23.0
8,2012,5.77,4.21,3.67,1.55,2.1,0.84,106.0,15.0
9,2013,1.2,-2.02,0.45,3.23,0.75,0.85,87.0,20.0
10,YTD,1.36,5.87,1.45,-4.51,-0.1,0.84,93.0,47.0
