,Year,AMECX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,0.52,13.49,10.71,-12.98,-10.19,-10.19,44.0,90.0
1,2000,9.98,1.68,1.82,8.3,8.16,0.63,35.0,12.0
2,2001,5.41,-2.46,-5.05,7.88,10.46,0.62,44.0,4.0
3,2002,-4.37,-6.69,-12.02,2.32,7.65,0.61,36.0,5.0
4,2003,25.27,22.48,20.35,2.79,4.92,0.61,28.0,12.0
5,2004,12.92,11.48,8.86,1.44,4.06,0.57,0.57,7.0
6,2005,3.41,7.04,5.13,-3.63,-1.72,0.54,24.0,75.0
7,2006,20.29,12.95,11.29,7.34,9.0,0.53,35.0,1.0
8,2007,3.77,8.63,5.99,-4.87,-2.23,0.54,32.0,78.0
9,2008,-28.85,-22.19,-28.0,-6.65,-0.84,0.54,38.0,55.0
10,2009,24.51,21.77,24.13,2.73,0.38,0.63,49.0,46.0
11,2010,11.97,12.33,11.83,-0.36,0.14,0.61,35.0,48.0
12,2011,5.58,0.59,-0.11,4.99,5.69,0.58,38.0,4.0
13,2012,11.95,12.04,11.72,-0.09,0.24,0.59,41.0,52.0
14,2013,18.26,14.31,16.48,3.95,1.78,0.58,47.0,36.0
15,YTD,9.57,5.81,6.95,3.77,2.62,0.57,0.57,14.0
