,Year,AMUSX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-1.67,-0.82,-1.35,-0.85,-0.32,-0.32,81.0,55.0
1,2000,11.98,11.63,10.86,0.35,1.12,0.85,63.0,17.0
2,2001,6.47,8.44,6.81,-1.97,-0.34,0.85,44.0,65.0
3,2002,8.98,10.26,9.23,-1.27,-0.24,0.8,95.0,47.0
4,2003,1.83,4.1,1.9,-2.28,-0.07,0.76,82.0,48.0
5,2004,2.88,4.34,3.01,-1.46,-0.13,0.71,0.71,57.0
6,2005,2.27,2.43,1.91,-0.16,0.37,0.74,104.0,32.0
7,2006,3.15,4.33,3.47,-1.18,-0.31,0.74,146.0,62.0
8,2007,6.67,6.97,6.09,-0.29,0.59,0.76,110.0,34.0
9,2008,7.73,5.24,4.76,2.49,2.97,0.74,92.0,29.0
10,2009,2.16,5.93,4.74,-3.77,-2.59,0.63,166.0,65.0
11,2010,5.69,6.54,5.66,-0.85,0.03,0.62,95.0,41.0
12,2011,7.77,7.84,6.7,-0.07,1.08,0.61,212.0,19.0
13,2012,2.1,4.21,2.8,-2.11,-0.69,0.6,353.0,67.0
14,2013,-3.16,-2.02,-2.72,-1.13,-0.44,0.61,488.0,68.0
15,YTD,5.07,5.87,4.77,-0.8,0.3,0.64,423.0,38.0
