,Year,ANCFX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,24.58,21.04,20.16,3.54,4.42,0.63,46.0,5.0
1,2000,4.27,-9.1,-6.31,13.37,10.58,0.64,43.0,65.0
2,2001,-9.55,-11.89,-13.5,2.34,3.95,0.65,29.0,76.0
3,2002,-17.34,-22.1,-22.25,4.76,4.91,0.67,38.0,39.0
4,2003,31.96,28.68,27.05,3.28,4.92,0.66,0.66,19.0
5,2004,13.91,10.88,10.02,3.03,3.88,0.63,0.63,36.0
6,2005,11.68,4.91,5.88,6.77,5.8,0.6,24.0,5.0
7,2006,19.24,15.79,14.17,3.44,5.07,0.58,21.0,5.0
8,2007,13.55,5.49,6.16,8.06,7.39,0.57,27.0,7.0
9,2008,-39.7,-37.0,-37.79,-2.7,-1.9,0.61,29.0,71.0
10,2009,33.36,26.46,28.17,6.89,5.19,0.69,30.0,17.0
11,2010,14.05,15.06,14.01,-1.01,0.04,0.64,32.0,47.0
12,2011,-1.89,2.11,-1.27,-4.0,-0.62,0.63,28.0,60.0
13,2012,17.14,16.0,14.96,1.13,2.17,0.65,28.0,19.0
14,2013,31.5,32.39,31.5,-0.89,-0.0,0.63,34.0,56.0
15,YTD,9.63,13.98,11.28,-4.34,-1.65,-1.65,-1.65,75.0
