,Year,ANEFX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,45.87,21.04,38.87,24.83,7.0,0.78,48.0,3.0
1,2000,-16.2,-9.1,-13.05,-7.09,-3.15,0.81,54.0,94.0
2,2001,-17.34,-11.89,-22.3,-5.46,4.96,0.82,41.0,81.0
3,2002,-26.01,-22.1,-27.64,-3.91,1.63,0.89,37.0,39.0
4,2003,38.71,28.68,28.66,10.03,10.05,0.89,0.89,8.0
5,2004,12.45,10.88,7.81,1.57,4.64,0.84,0.84,12.0
6,2005,12.17,4.91,6.71,7.25,5.45,0.79,32.0,13.0
7,2006,14.73,15.79,7.05,-1.06,7.68,0.78,41.0,5.0
8,2007,11.39,5.49,13.35,5.9,-1.96,0.76,40.0,61.0
9,2008,-41.86,-37.0,-40.67,-4.86,-1.19,0.79,52.0,62.0
10,2009,45.16,26.46,35.68,18.69,9.48,0.94,51.0,13.0
11,2010,13.4,15.06,15.53,-1.66,-2.13,0.86,47.0,66.0
12,2011,-5.65,2.11,-2.46,-7.77,-3.19,0.85,45.0,79.0
13,2012,24.02,16.0,15.34,8.01,8.68,0.87,37.0,2.0
14,2013,43.36,32.39,33.92,10.97,9.44,0.83,29.0,5.0
15,YTD,6.17,13.98,10.79,-7.8,-4.61,-4.61,-4.61,90.0
