,Year,ANWPX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,40.07,30.63,41.13,9.44,-1.05,-1.05,-1.05,44.0
1,2000,-7.24,-15.31,-9.14,8.07,1.9,1.9,34.0,36.0
2,2001,-8.3,-19.73,-17.51,11.43,9.21,0.78,32.0,13.0
3,2002,-16.05,-14.95,-19.36,-1.11,3.31,0.82,26.0,23.0
4,2003,36.76,40.83,34.49,-4.07,2.27,0.83,28.0,33.0
5,2004,14.27,20.91,15.27,-6.64,-1.0,0.78,0.78,57.0
6,2005,11.28,16.62,11.61,-5.34,-0.33,0.74,30.0,54.0
7,2006,19.87,26.65,19.72,-6.79,0.15,0.71,32.0,50.0
8,2007,16.04,16.65,11.28,-0.62,4.76,0.7,30.0,25.0
9,2008,-37.83,-45.53,-41.91,7.69,4.07,0.71,42.0,21.0
10,2009,37.43,41.45,35.27,-4.02,2.16,0.84,32.0,33.0
11,2010,12.76,11.15,13.74,1.61,-0.98,0.79,24.0,49.0
12,2011,-7.6,-13.71,-7.93,6.11,0.33,0.77,24.0,46.0
13,2012,20.77,16.83,15.84,3.94,4.93,0.8,16.0,17.0
14,2013,26.77,15.29,25.19,11.48,1.58,0.79,30.0,41.0
15,YTD,5.46,-0.27,4.54,5.73,0.92,0.76,25.0,39.0
