,Year,APSAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2005,2.22,2.43,2.09,-0.2,0.14,0.84,43.0,41.0
1,2006,-0.05,4.33,0.09,-4.38,-0.14,0.84,58.0,54.0
2,2007,10.9,6.97,9.86,3.93,1.03,0.84,76.0,40.0
3,2008,-0.67,5.24,-4.08,-5.91,3.42,0.83,59.0,12.0
4,2009,7.77,5.93,10.88,1.84,-3.11,0.85,160.0,88.0
5,2010,4.87,6.54,5.94,-1.67,-1.08,0.85,177.0,86.0
6,2011,12.39,7.84,10.93,4.55,1.46,0.85,99.0,38.0
7,2012,7.47,4.21,6.45,3.25,1.02,0.85,93.0,18.0
8,2013,-8.7,-2.02,-7.85,-6.68,-0.85,0.85,114.0,45.0
9,YTD,3.52,5.87,3.23,-2.35,0.29,0.85,91.0,58.0
