,Year,AQEAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2003,,,,,,1.22,17.0,17.0
1,2004,9.96,10.88,10.02,-0.92,-0.07,1.13,1.13,54.0
2,2005,6.2,4.91,5.88,1.29,0.32,1.25,64.0,42.0
3,2006,16.47,15.79,14.17,0.67,2.3,1.02,137.0,14.0
4,2007,5.27,5.49,6.16,-0.23,-0.9,1.03,62.0,53.0
5,2008,-38.74,-37.0,-37.79,-1.74,-0.95,0.96,58.0,64.0
6,2009,21.42,26.46,28.17,-5.05,-6.75,0.95,61.0,84.0
7,2010,15.14,15.06,14.01,0.08,1.13,1.0,103.0,28.0
8,2011,5.51,2.11,-1.27,3.4,6.78,1.12,57.0,5.0
9,2012,15.5,16.0,14.96,-0.5,0.54,1.08,71.0,46.0
10,2013,33.53,32.39,31.5,1.14,2.03,1.16,69.0,31.0
11,YTD,15.33,13.98,11.28,1.35,4.05,1.11,73.0,5.0
