,Year,AUGAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2003,3.11,4.1,1.9,-0.99,1.21,0.99,227.0,7.0
1,2004,4.06,4.34,3.01,-0.28,1.04,0.98,0.98,13.0
2,2005,2.22,2.43,1.91,-0.21,0.32,0.95,137.0,36.0
3,2006,4.35,4.33,3.47,0.01,0.88,0.89,178.0,14.0
4,2007,5.04,6.97,6.09,-1.93,-1.05,0.89,306.0,80.0
5,2008,-3.15,5.24,4.76,-8.39,-7.9,0.89,354.0,94.0
6,2009,12.52,5.93,4.74,6.59,7.78,0.89,431.0,7.0
7,2010,10.27,6.54,5.66,3.73,4.61,0.89,519.0,1.0
8,2011,8.79,7.84,6.7,0.95,2.1,0.87,465.0,9.0
9,2012,6.95,4.21,2.8,2.73,4.15,0.85,545.0,5.0
10,2013,-1.54,-2.02,-2.72,0.49,1.18,0.86,576.0,14.0
11,YTD,5.48,5.87,4.77,-0.39,0.71,0.86,413.0,22.0
