,Year,AXBAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2005,7.71,7.04,7.35,0.66,0.35,0.59,40.0,25.0
1,2006,14.72,12.95,13.07,1.77,1.65,0.59,24.0,43.0
2,2007,7.46,8.63,7.43,-1.18,0.02,0.49,40.0,32.0
3,2008,-35.62,-22.19,-34.34,-13.43,-1.29,0.46,40.0,25.0
4,2009,29.82,21.77,29.37,8.04,0.45,0.5,35.0,33.0
5,2010,15.9,12.33,13.49,3.57,2.41,0.51,28.0,20.0
6,2011,-3.0,0.59,-3.8,-3.6,0.8,0.5,10.0,46.0
7,2012,14.55,12.04,13.42,2.5,1.13,0.49,83.0,35.0
8,2013,22.54,14.31,21.31,8.23,1.23,0.51,21.0,37.0
9,YTD,6.7,5.81,6.72,0.9,-0.01,0.52,29.0,45.0
