,Year,AXEAX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2001,-26.88,-19.73,-19.15,-7.14,-7.73,-7.73,297.0,85.0
1,2002,-18.99,-14.95,-13.89,-4.04,-5.09,1.54,110.0,55.0
2,2003,27.64,40.83,39.0,-13.19,-11.36,1.54,1.54,94.0
3,2004,13.94,20.91,21.4,-6.97,-7.46,1.49,1.49,86.0
4,2005,9.4,16.62,15.27,-7.22,-5.88,1.48,56.0,69.0
5,2006,32.83,26.65,33.56,6.18,-0.72,1.52,64.0,53.0
6,2007,16.69,16.65,12.52,0.04,4.17,1.43,114.0,14.0
7,2008,-40.6,-45.53,-49.79,4.93,9.19,1.58,180.0,9.0
8,2009,33.76,41.45,47.32,-7.69,-13.56,1.61,154.0,37.0
9,2010,18.34,11.15,10.51,7.19,7.82,1.41,115.0,18.0
10,2011,-12.18,-13.71,-15.15,1.53,2.97,1.51,121.0,40.0
11,2012,20.69,16.83,20.94,3.86,-0.25,1.52,126.0,64.0
12,2013,29.31,15.29,26.52,14.02,2.78,1.42,73.0,34.0
13,YTD,-4.71,-0.27,-4.09,-4.44,-0.62,-0.62,-0.62,67.0
