,Year,BFMCX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-0.62,-0.82,-1.35,0.2,0.73,0.55,328.0,27.0
1,2000,12.23,11.63,9.44,0.6,2.79,0.55,248.0,6.0
2,2001,8.2,8.44,7.64,-0.25,0.55,0.63,304.0,31.0
3,2002,9.68,10.26,8.04,-0.58,1.64,0.55,359.0,22.0
4,2003,4.3,4.1,5.1,0.2,-0.8,0.55,659.0,50.0
5,2004,4.53,4.34,3.91,0.19,0.62,0.55,0.55,27.0
6,2005,2.26,2.43,1.8,-0.17,0.46,0.55,351.0,25.0
7,2006,4.28,4.33,4.15,-0.05,0.13,0.47,197.0,35.0
8,2007,5.82,6.97,4.7,-1.15,1.11,0.48,0.48,34.0
9,2008,-8.02,5.24,-4.7,-13.26,-3.33,0.49,1007.0,68.0
10,2009,14.49,5.93,13.97,8.56,0.51,0.53,610.0,42.0
11,2010,8.21,6.54,7.72,1.67,0.5,0.58,724.0,34.0
12,2011,5.29,7.84,5.86,-2.55,-0.57,0.58,726.0,74.0
13,2012,7.39,4.21,7.01,3.17,0.38,0.56,739.0,41.0
14,2013,-1.38,-2.02,-1.42,0.64,0.04,0.56,805.0,41.0
15,YTD,6.53,5.87,5.34,0.66,1.18,1.18,702.0,14.0
