,Year,BFMSX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,4.06,-0.82,2.21,4.88,1.85,0.56,177.0,8.0
1,2000,8.27,11.63,7.59,-3.36,0.67,0.55,183.0,31.0
2,2001,7.72,8.44,7.27,-0.72,0.45,0.45,16.0,40.0
3,2002,5.94,10.26,5.47,-4.32,0.47,0.55,195.0,41.0
4,2003,1.88,4.1,2.54,-2.22,-0.66,0.55,195.0,70.0
5,2004,1.35,4.34,1.63,-2.99,-0.27,0.55,0.55,56.0
6,2005,1.53,2.43,1.45,-0.9,0.08,0.55,127.0,44.0
7,2006,4.05,4.33,4.05,-0.29,-0.0,0.49,72.0,48.0
8,2007,5.69,6.97,4.29,-1.28,1.39,0.44,148.0,22.0
9,2008,-8.97,5.24,-4.23,-14.21,-4.75,0.45,149.0,79.0
10,2009,13.94,5.93,9.3,8.01,4.64,0.44,154.0,15.0
11,2010,5.43,6.54,4.11,-1.11,1.33,0.46,140.0,17.0
12,2011,2.32,7.84,1.66,-5.52,0.66,0.45,280.0,24.0
13,2012,5.21,4.21,3.67,1.0,1.54,0.45,203.0,19.0
14,2013,1.32,-2.02,0.45,3.34,0.87,0.45,301.0,18.0
15,YTD,1.84,5.87,1.45,-4.02,0.39,0.39,70.0,24.0
