,Year,BGPAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-0.19,-0.82,-1.35,0.63,1.15,1.15,124.0,32.0
1,2000,11.67,11.63,10.86,0.05,0.81,1.08,184.0,26.0
2,2001,9.5,8.44,6.81,1.06,2.7,1.07,773.0,1.0
3,2002,8.28,10.26,9.23,-1.97,-0.94,1.07,401.0,69.0
4,2003,2.72,4.1,1.9,-1.38,0.82,1.11,1365.0,13.0
5,2004,3.46,4.34,3.01,-0.88,0.44,1.05,1.05,31.0
6,2005,2.14,2.43,1.91,-0.28,0.24,0.86,521.0,41.0
7,2006,3.81,4.33,3.47,-0.53,0.34,0.87,320.0,32.0
8,2007,6.68,6.97,6.09,-0.29,0.59,0.85,553.0,34.0
9,2008,8.36,5.24,4.76,3.12,3.6,0.81,2637.0,20.0
10,2009,5.73,5.93,4.74,-0.2,0.99,0.85,1435.0,34.0
11,2010,7.2,6.54,5.66,0.66,1.55,0.9,847.0,14.0
12,2011,6.57,7.84,6.7,-1.27,-0.13,0.91,743.0,51.0
13,2012,3.77,4.21,2.8,-0.44,0.97,0.9,741.0,15.0
14,2013,-2.87,-2.02,-2.72,-0.85,-0.15,0.9,1405.0,58.0
15,YTD,5.81,5.87,4.77,-0.05,1.04,0.92,1258.0,11.0
