,Year,BGSAX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2001,-38.65,-16.82,-36.89,-21.82,-1.75,-1.75,748.0,50.0
1,2002,-35.11,-19.89,-42.86,-15.23,7.74,1.67,587.0,11.0
2,2003,58.36,33.11,55.77,25.25,2.59,1.83,226.0,35.0
3,2004,2.18,14.72,4.24,-12.54,-2.07,1.89,1.89,56.0
4,2005,11.15,9.49,5.76,1.66,5.39,1.84,113.0,16.0
5,2006,7.67,20.07,7.08,-12.4,0.59,1.77,132.0,39.0
6,2007,19.18,9.04,16.12,10.14,3.06,1.73,92.0,34.0
7,2008,-39.89,-40.71,-45.33,0.83,5.44,1.75,89.0,14.0
8,2009,56.21,29.99,61.99,26.23,-5.77,1.77,158.0,61.0
9,2010,17.99,11.76,20.0,6.23,-2.0,1.79,97.0,57.0
10,2011,-11.31,-5.54,-7.62,-5.77,-3.69,1.78,103.0,81.0
11,2012,7.25,15.83,13.08,-8.57,-5.83,1.71,320.0,87.0
12,2013,44.93,26.68,35.45,18.25,9.48,1.7,86.0,17.0
13,YTD,9.18,6.66,13.32,2.52,-4.14,-4.14,99.0,76.0
