,Year,BHYAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,8.13,-0.82,5.05,8.95,3.07,1.15,185.0,19.0
1,2000,-7.55,11.63,-7.12,-19.17,-0.42,1.17,235.0,55.0
2,2001,6.55,8.44,2.39,-1.9,4.16,1.33,331.0,18.0
3,2002,0.61,10.26,-1.52,-9.64,2.13,1.17,301.0,33.0
4,2003,27.49,4.1,24.36,23.38,3.13,1.22,212.0,28.0
5,2004,11.92,4.34,9.99,7.58,1.93,1.1,1.1,14.0
6,2005,3.52,2.43,2.59,1.09,0.93,0.96,129.0,22.0
7,2006,11.29,4.33,10.14,6.96,1.15,0.96,105.0,21.0
8,2007,2.43,6.97,1.47,-4.54,0.96,0.96,69.0,33.0
9,2008,-28.05,5.24,-26.41,-33.29,-1.64,0.96,65.0,72.0
10,2009,52.24,5.93,46.7,46.31,5.54,0.98,99.0,27.0
11,2010,17.96,6.54,14.24,11.42,3.72,1.04,113.0,6.0
12,2011,2.88,7.84,2.83,-4.97,0.05,0.98,91.0,59.0
13,2012,16.77,4.21,14.67,12.55,2.1,0.92,69.0,19.0
14,2013,8.95,-2.02,6.9,10.97,2.05,0.92,84.0,14.0
15,YTD,4.96,5.87,2.83,-0.91,2.13,2.13,87.0,7.0
