,Year,BMEAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,220.11,21.04,60.49,199.06,159.62,1.9,346.0,1.0
1,2000,-8.17,-9.1,-4.78,0.93,-3.4,-3.4,-3.4,57.0
2,2001,-14.34,-11.89,-19.98,-2.45,5.64,5.64,5.64,65.0
3,2002,-39.03,-22.1,-27.24,-16.93,-11.79,1.92,361.0,86.0
4,2003,47.16,28.68,35.96,18.48,11.21,2.0,248.0,35.0
5,2004,17.9,10.88,13.23,7.02,4.67,2.04,2.04,21.0
6,2005,14.15,4.91,9.84,9.24,4.31,1.97,94.0,18.0
7,2006,18.24,15.79,9.0,2.45,9.24,1.66,120.0,4.0
8,2007,20.8,5.49,15.09,15.31,5.71,1.48,106.0,25.0
9,2008,-35.21,-37.0,-43.77,1.79,8.56,1.48,164.0,8.0
10,2009,35.61,26.46,39.11,9.14,-3.5,1.56,166.0,65.0
11,2010,24.28,15.06,24.61,9.21,-0.34,1.51,123.0,55.0
12,2011,-9.61,2.11,-3.96,-11.72,-5.65,1.49,120.0,88.0
13,2012,10.38,16.0,14.07,-5.63,-3.7,1.51,106.0,83.0
14,2013,39.39,32.39,34.93,7.0,4.46,1.47,82.0,15.0
15,YTD,11.18,13.98,6.96,-2.79,4.22,4.22,66.0,16.0
