,Year,BPRAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2004,,,,,,0.16,0.16,0.16
1,2005,3.62,2.43,2.09,1.19,1.53,0.69,419.0,6.0
2,2006,0.75,4.33,0.09,-3.59,0.66,0.71,235.0,15.0
3,2007,11.83,6.97,9.86,4.86,1.97,0.66,219.0,4.0
4,2008,0.23,5.24,-4.08,-5.01,4.31,0.63,249.0,3.0
5,2009,10.15,5.93,10.88,4.22,-0.73,0.69,193.0,53.0
6,2010,5.82,6.54,5.94,-0.73,-0.13,0.74,213.0,53.0
7,2011,11.48,7.84,10.93,3.63,0.55,0.76,131.0,61.0
8,2012,6.62,4.21,6.45,2.4,0.17,0.76,120.0,38.0
9,2013,-8.34,-2.02,-7.85,-6.32,-0.49,0.76,86.0,33.0
10,YTD,3.64,5.87,3.23,-2.22,0.41,0.76,66.0,51.0
