,Year,BRACX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2005,2.53,2.43,1.94,0.1,0.59,0.59,0.59,13.0
1,2006,4.64,4.33,4.36,0.31,0.28,0.28,0.28,32.0
2,2007,6.01,6.97,4.17,-0.96,1.84,1.84,70.0,16.0
3,2008,-3.4,5.24,-7.9,-8.64,4.5,4.5,51.0,27.0
4,2009,14.61,5.93,22.61,8.68,-8.0,-8.0,51.0,88.0
5,2010,9.07,6.54,10.0,2.53,-0.93,-0.93,51.0,70.0
6,2011,8.47,7.84,7.46,0.62,1.0,1.0,55.0,23.0
7,2012,11.21,4.21,11.06,7.0,0.15,0.15,41.0,47.0
8,2013,-0.5,-2.02,-1.06,1.52,0.56,0.56,51.0,44.0
9,YTD,8.41,5.87,7.18,2.55,1.24,1.24,43.0,19.0
