,Year,BRAMX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2005,2.05,2.43,1.8,-0.37,0.25,0.25,50.0,37.0
1,2006,4.96,4.33,4.15,0.63,0.81,0.81,42.0,16.0
2,2007,7.38,6.97,4.7,0.41,2.68,2.68,7.0,7.0
3,2008,-5.27,5.24,-4.7,-10.51,-0.57,0.01,51.0,56.0
4,2009,8.68,5.93,13.97,2.75,-5.29,-5.29,21.0,77.0
5,2010,8.5,6.54,7.72,1.96,0.78,0.78,178.0,29.0
6,2011,14.3,7.84,5.86,6.46,8.44,8.44,301.0,1.0
7,2012,5.7,4.21,7.01,1.49,-1.31,-1.31,523.0,66.0
8,2013,-1.8,-2.02,-1.42,0.22,-0.38,-0.38,798.0,55.0
9,YTD,6.92,5.87,5.34,1.06,1.58,1.58,1879.0,8.0
