,Year,BRASX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2005,2.69,2.43,1.94,0.26,0.75,0.75,0.75,12.0
1,2006,4.57,4.33,4.36,0.23,0.2,0.2,0.2,35.0
2,2007,5.58,6.97,4.17,-1.38,1.42,1.42,53.0,23.0
3,2008,2.56,5.24,-7.9,-2.68,10.46,10.46,71.0,4.0
4,2009,9.23,5.93,22.61,3.3,-13.38,-13.38,22.0,94.0
5,2010,4.71,6.54,10.0,-1.83,-5.29,-5.29,117.0,100.0
6,2011,2.96,7.84,7.46,-4.88,-4.5,-4.5,131.0,93.0
7,2012,5.58,4.21,11.06,1.37,-5.48,-5.48,192.0,95.0
8,2013,1.53,-2.02,-1.06,3.55,2.59,2.59,123.0,1.0
9,YTD,2.17,5.87,7.18,-3.7,-5.01,-5.01,239.0,100.0
