,Year,BREAX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,150.5,30.63,40.28,119.88,110.22,1.8,224.0,8.0
1,2000,-8.6,-15.31,-16.34,6.72,7.74,7.74,7.74,19.0
2,2001,-17.6,-19.73,-21.67,2.13,4.07,4.07,4.07,15.0
3,2002,-3.45,-14.95,-16.69,11.5,13.24,1.8,104.0,9.0
4,2003,48.59,40.83,33.58,7.76,15.01,1.89,72.0,60.0
5,2004,23.53,20.91,17.39,2.62,6.14,1.89,1.89,58.0
6,2005,31.8,16.62,14.72,15.18,17.07,1.75,87.0,16.0
7,2006,31.46,26.65,24.77,4.81,6.69,1.63,91.0,27.0
8,2007,18.13,16.65,12.71,1.47,5.42,1.6,76.0,24.0
9,2008,-43.34,-45.53,-43.99,2.19,0.65,1.58,138.0,11.0
10,2009,36.59,41.45,31.24,-4.86,5.34,1.68,143.0,22.0
11,2010,11.42,11.15,10.24,0.27,1.18,1.59,116.0,36.0
12,2011,-14.42,-13.71,-13.97,-0.71,-0.45,1.53,116.0,58.0
13,2012,18.02,16.83,18.29,1.19,-0.26,1.57,99.0,53.0
14,2013,22.14,15.29,19.44,6.85,2.7,1.52,157.0,23.0
15,YTD,-8.61,-0.27,-1.63,-8.34,-6.97,-6.97,138.0,98.0
