,Year,CBALX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,12.7,13.49,10.71,-0.79,1.99,1.99,133.0,36.0
1,2000,0.82,1.68,1.82,-0.86,-1.0,0.65,105.0,45.0
2,2001,-7.4,-2.46,-5.05,-4.93,-2.34,0.67,111.0,70.0
3,2002,-12.97,-6.69,-12.02,-6.27,-0.94,0.7,98.0,62.0
4,2003,18.73,22.48,20.35,-3.75,-1.62,0.77,110.0,58.0
5,2004,6.64,11.48,8.86,-4.84,-2.22,0.77,0.77,80.0
6,2005,5.76,7.04,5.13,-1.28,0.64,0.77,63.0,36.0
7,2006,10.66,12.95,11.29,-2.29,-0.63,0.72,59.0,62.0
8,2007,10.01,8.63,5.99,1.38,4.02,0.77,78.0,11.0
9,2008,-23.27,-22.19,-28.0,-1.08,4.73,0.74,94.0,17.0
10,2009,28.38,21.77,24.13,6.61,4.25,0.79,102.0,23.0
11,2010,12.7,12.33,11.83,0.37,0.87,0.77,89.0,34.0
12,2011,1.57,0.59,-0.11,0.98,1.69,0.78,99.0,27.0
13,2012,13.89,12.04,11.72,1.85,2.17,0.86,130.0,16.0
14,2013,21.3,14.31,16.48,6.99,4.82,0.88,141.0,10.0
15,YTD,10.43,5.81,6.95,4.62,3.48,0.84,109.0,7.0
