,Year,CGRWX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-4.71,21.04,6.72,-25.75,-11.43,1.02,135.0,92.0
1,2000,-1.54,-9.1,7.87,7.57,-9.4,1.17,88.0,86.0
2,2001,2.98,-11.89,-4.99,14.87,7.97,1.26,336.0,11.0
3,2002,-13.03,-22.1,-18.69,9.07,5.67,1.22,150.0,9.0
4,2003,32.22,28.68,28.44,3.53,3.78,1.22,1.22,18.0
5,2004,15.25,10.88,12.97,4.37,2.28,1.07,1.07,21.0
6,2005,6.45,4.91,5.95,1.54,0.5,0.99,72.0,39.0
7,2006,15.79,15.79,18.15,-0.0,-2.36,0.93,22.0,80.0
8,2007,6.31,5.49,1.42,0.82,4.89,0.89,130.0,18.0
9,2008,-41.69,-37.0,-37.09,-4.69,-4.6,0.94,157.0,85.0
10,2009,33.65,26.46,24.13,7.18,9.52,1.1,132.0,10.0
11,2010,14.7,15.06,13.66,-0.36,1.04,1.06,99.0,31.0
12,2011,-4.76,2.11,-0.75,-6.88,-4.02,1.02,91.0,78.0
13,2012,13.51,16.0,14.57,-2.5,-1.06,1.03,72.0,67.0
14,2013,30.26,32.39,31.21,-2.12,-0.95,0.99,149.0,64.0
15,YTD,9.9,13.98,10.25,-4.08,-0.35,-0.35,-0.35,61.0
