,Year,CMGUX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2004,,,,,,0.25,0.25,0.25
1,2005,2.34,2.43,2.53,-0.08,-0.18,0.25,75.0,57.0
2,2006,4.67,4.33,4.7,0.33,-0.03,0.25,48.0,45.0
3,2007,2.62,6.97,2.42,-4.35,0.2,0.25,108.0,58.0
4,2008,0.32,5.24,-7.89,-4.92,8.21,0.25,69.0,21.0
5,2009,4.18,5.93,6.67,-1.75,-2.49,0.25,103.0,67.0
6,2010,1.6,6.54,2.27,-4.94,-0.68,0.24,90.0,48.0
7,2011,0.78,7.84,0.25,-7.06,0.53,0.25,51.0,18.0
8,2012,1.38,4.21,1.99,-2.83,-0.61,0.25,66.0,57.0
9,2013,0.35,-2.02,0.49,2.38,-0.14,0.25,67.0,57.0
10,YTD,0.34,5.87,0.49,-5.52,-0.15,0.25,68.0,63.0
