,Year,CMUAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2002,-13.15,-22.1,-13.25,8.95,0.1,1.5,19.0,54.0
1,2003,36.38,28.68,33.85,7.7,2.53,1.41,98.0,27.0
2,2004,20.64,10.88,17.85,9.76,2.79,1.28,1.28,30.0
3,2005,15.02,4.91,8.82,10.1,6.2,1.2,61.0,5.0
4,2006,16.74,15.79,15.87,0.95,0.87,1.08,41.0,36.0
5,2007,7.38,5.49,0.83,1.89,6.56,1.12,53.0,12.0
6,2008,-41.78,-37.0,-36.77,-4.78,-5.01,1.1,24.0,81.0
7,2009,32.25,26.46,35.41,5.79,-3.16,1.17,46.0,60.0
8,2010,22.93,15.06,21.92,7.87,1.01,1.17,56.0,42.0
9,2011,-4.28,2.11,-3.96,-6.39,-0.33,1.13,50.0,50.0
10,2012,16.49,16.0,16.6,0.48,-0.11,1.18,39.0,50.0
11,2013,35.16,32.39,35.14,2.77,0.01,1.19,36.0,48.0
12,YTD,12.39,13.98,8.68,-1.59,3.71,1.17,48.0,17.0
