,Year,COLTX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-4.93,-2.06,-4.7,-2.88,-0.23,-0.23,37.0,58.0
1,2000,10.91,11.68,11.24,-0.77,-0.33,1.0,15.0,59.0
2,2001,3.12,5.13,3.92,-2.0,-0.79,0.98,15.0,77.0
3,2002,9.62,9.6,8.45,0.02,1.17,0.94,19.0,22.0
4,2003,6.15,5.31,4.9,0.83,1.25,0.91,0.91,10.0
5,2004,4.57,4.48,3.77,0.09,0.79,0.86,0.86,20.0
6,2005,4.03,3.51,3.1,0.52,0.94,0.82,4.0,12.0
7,2006,5.56,4.84,4.57,0.72,1.0,0.8,5.0,11.0
8,2007,2.18,3.36,1.27,-1.18,0.91,0.78,13.0,32.0
9,2008,-7.19,-2.47,-9.45,-4.71,2.26,0.78,14.0,42.0
10,2009,14.83,12.91,17.3,1.91,-2.47,0.8,12.0,60.0
11,2010,1.86,2.38,1.65,-0.52,0.21,0.8,11.0,43.0
12,2011,11.95,10.7,10.64,1.25,1.31,0.75,11.0,13.0
13,2012,8.99,6.78,8.87,2.21,0.11,0.76,5.0,46.0
14,2013,-3.41,-2.55,-4.59,-0.85,1.18,0.76,8.0,18.0
15,YTD,10.14,8.5,9.8,1.63,0.34,0.77,10.0,43.0
