,Year,COSIX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,1.28,-0.82,2.89,2.1,-1.62,-1.62,44.0,62.0
1,2000,-0.68,11.63,1.73,-12.31,-2.41,1.17,35.0,74.0
2,2001,2.33,8.44,4.22,-6.11,-1.89,1.21,106.0,78.0
3,2002,7.97,10.26,6.76,-2.28,1.21,1.23,62.0,34.0
4,2003,19.29,4.1,16.18,15.19,3.11,1.27,59.0,31.0
5,2004,10.04,4.34,8.38,5.7,1.67,1.17,1.17,20.0
6,2005,1.26,2.43,2.12,-1.16,-0.85,1.09,57.0,75.0
7,2006,6.76,4.33,6.9,2.42,-0.15,0.99,56.0,54.0
8,2007,5.67,6.97,4.45,-1.29,1.23,0.95,49.0,33.0
9,2008,-6.46,5.24,-15.41,-11.7,8.95,0.95,41.0,9.0
10,2009,18.67,5.93,29.22,12.74,-10.55,0.98,43.0,83.0
11,2010,9.96,6.54,10.86,3.42,-0.89,0.99,50.0,62.0
12,2011,6.11,7.84,3.37,-1.73,2.74,1.0,128.0,9.0
13,2012,11.6,4.21,11.71,7.39,-0.1,1.02,48.0,51.0
14,2013,0.07,-2.02,1.87,2.1,-1.8,1.03,113.0,68.0
15,YTD,4.48,5.87,4.67,-1.38,-0.18,-0.18,-0.18,51.0
