,Year,COTZX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2002,,,,,,0.62,11.0,11.0
1,2003,19.79,22.48,12.34,-2.69,7.45,0.38,0.38,84.0
2,2004,9.17,11.48,5.46,-2.31,3.71,0.25,0.25,81.0
3,2005,5.5,7.04,2.97,-1.55,2.53,0.25,96.0,85.0
4,2006,10.86,12.95,8.16,-2.1,2.7,0.12,66.0,84.0
5,2007,8.49,8.63,4.53,-0.14,3.96,0.25,128.0,33.0
6,2008,-30.53,-22.19,-18.61,-8.34,-11.92,0.25,130.0,10.0
7,2009,32.29,21.77,20.77,10.52,11.52,0.25,17.0,19.0
8,2010,17.58,12.33,10.03,5.25,7.55,0.25,118.0,5.0
9,2011,4.85,0.59,1.7,4.26,3.15,0.25,130.0,1.0
10,2012,13.69,12.04,9.4,1.65,4.29,0.25,109.0,50.0
11,2013,9.3,14.31,7.23,-5.01,2.07,0.25,92.0,94.0
12,YTD,5.68,5.81,4.98,-0.13,0.7,0.7,0.7,32.0
